"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"64310000000017","Nodes","17",21.000000,48.702846,"Default Known Flow Node","Known Flow",304850.000000,676950.000000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64310000000033","Nodes","-1462476",21.000000,48.702846,"Default Known Flow Node","Known Flow",304836.500000,676918.000000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64310000000011","Nodes","11",21.000000,48.964068,"Default Known Flow Node","Known Flow",304878.375000,676952.625000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64310000000040","Nodes","-4904539",21.000000,49.889479,"Default Known Flow Node","Known Flow",304901.375000,676916.625000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64310000000042","Nodes","-5",21.000000,45.618467,"Default Known Flow Node","Known Flow",304787.125000,676936.000000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64310000000044","Nodes","-7",21.000000,48.357672,"Default Known Flow Node","Known Flow",304842.250000,676949.375000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64310000000035","Nodes","-1462480",21.000000,45.618467,"Default Known Flow Node","Known Flow",304781.625000,676999.375000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64310000000031","Nodes","-1462473",21.000000,48.357672,"Default Known Flow Node","Known Flow",304820.750000,676981.750000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64310000000001","Nodes","PHILPSTOUN DG, TEL, SITE ID 5770",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",304897.625000,676913.125000,,226.560004,,,,,167.442278,187.249998,,"",,,,
"64310000000038","Nodes","-20",21.000000,28.581881,"Default Known Flow Node","Known Flow",304385.875000,677294.375000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64310000000034","Nodes","-1462479",21.000000,28.625638,"Default Known Flow Node","Known Flow",304461.625000,677273.750000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64310000000018","Nodes","18",21.000000,41.891680,"DDS demands","Known Flow",304744.125000,676989.375000,,0.000000,0.000000,,-29.709999,,-26.567213,-29.709999,,"","C1 PROFILE",,"D1 PROFILE",
"64310000000026","Nodes","-12",21.000000,40.717260,"DDS demands","Known Flow",304745.875000,677034.250000,,0.000000,,,-13.990000,,-12.510108,-13.990000,,"",,,"D1 PROFILE",
"64310000000012","Nodes","12",21.000000,46.824933,"DDS demands","Known Flow",304864.500000,677060.125000,,0.000000,,,-9.850000,,-8.808046,-9.850000,,"",,,"D1 PROFILE",
"64310000000036","Nodes","-18",21.000000,45.061247,"Default Known Flow Node","Known Flow",304961.125000,677129.375000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64310000000013","Nodes","13",21.000000,41.680837,"DDS demands","Known Flow",304818.875000,677081.125000,,0.000000,,,-9.170000,,-8.199978,-9.170000,,"",,,"D1 PROFILE",
"64310000000015","Nodes","15",21.000000,39.302725,"DDS demands","Known Flow",304902.250000,677171.000000,,0.000000,,,-16.729999,,-14.960265,-16.729999,,"",,,"D1 PROFILE",
"64310000000037","Nodes","-19",21.000000,40.606223,"DDS demands","Known Flow",304814.250000,677133.125000,,0.000000,,,-5.179999,,-4.632048,-5.179999,,"",,,"D1 PROFILE",
"64310000000028","Nodes","-14",21.000000,40.091435,"DDS demands","Known Flow",304654.000000,677046.375000,,0.000000,-5.409999,,-3.690000,,-8.137382,-9.099999,,"","C1 PROFILE",,"D1 PROFILE",
"64310000000029","Nodes","-1462469",21.000000,40.606223,"Default Known Flow Node","Known Flow",304781.250000,677131.750000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64310000000016","Nodes","16",21.000000,41.362952,"DDS demands","Known Flow",305322.470533,677111.773135,,0.000000,,,-15.590000,,-13.940857,-15.590000,,"",,,"D1 PROFILE",
"64310000000039","Nodes","-4",21.000000,42.726039,"DDS demands","Known Flow",304747.125000,676921.375000,,0.000000,,,-7.920000,,-7.082205,-7.920000,,"",,,"D1 PROFILE",
"64310000000002","Nodes","2",21.000000,41.305837,"DDS demands","Known Flow",304638.875000,676965.625000,,0.000000,,,-9.220000,,-8.244689,-9.220000,,"",,,"D1 PROFILE",
"64310000000043","Nodes","-6",21.000000,41.748691,"Default Known Flow Node","Known Flow",304666.250000,676936.750000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64310000000025","Nodes","25",21.000000,41.262953,"Default Known Flow Node","Known Flow",304621.375000,676918.750000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64310000000041","Nodes","-4904540",21.000000,42.716246,"Default Known Flow Node","Known Flow",304746.250000,676921.500000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64310000000030","Nodes","-1462472",21.000000,41.748691,"Default Known Flow Node","Known Flow",304682.375000,676975.250000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64310000000014","Nodes","14",21.000000,39.457036,"DDS demands","Known Flow",304780.875000,677199.000000,,0.000000,-6.000000,,-9.520000,,-13.878262,-15.520000,,"","C1 PROFILE",,"D1 PROFILE",
"64310000000023","Nodes","23",21.000000,39.919284,"Default Known Flow Node","Known Flow",304545.625000,677055.000000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64310000000027","Nodes","-13",21.000000,39.984524,"DDS demands","Known Flow",304531.500000,677042.625000,,0.000000,,,-16.879999,,-15.094397,-16.879999,,"",,,"D1 PROFILE",
"64310000000032","Nodes","-1462474",21.000000,39.984524,"Default Known Flow Node","Known Flow",304563.750000,677044.750000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64310000000024","Nodes","P00078129, PARDOVAN FARM CSEP, 16.25",22.999998,26.578314,"CSEP DDS Matched","Known Flow",304385.062500,677356.125000,,0.000000,,-6.370000,,-9.880000,-14.531041,-16.250001,,"",,"CT PROFILE",,"DC PROFILE"
"64310000000019","Nodes","19",21.000000,26.177145,"DDS demands","Known Flow",304384.500000,677398.875000,,0.000000,,,-12.140000,,-10.855805,-12.140000,,"",,,"D1 PROFILE",
"64310000000003","Nodes",,21.000000,43.575435,"Default Known Flow Node","Known Flow",305102.478518,677145.014470,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64310000000004","Nodes",,21.000000,43.575435,"Default Known Flow Node","Known Flow",305086.781560,677146.637453,,0.000000,,,,,0.000000,0.000000,,"",,,,
