"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)"
"64404300000209","Nodes","-47",21.000000,46.077385,"Default Known Flow Node","Known Flow",268213.375000,648476.125000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000121","Nodes","121",21.000000,34.551170,"DDS demands","Known Flow",268282.873344,648351.697262,,0.000000,,-1.019999,-9.180000,,-9.121022,-10.199999,,"",,"C4 PROFILE","D1 PROFILE",
"64404300000122","Nodes","122",21.000000,33.977148,"DDS demands","Known Flow",268198.434479,648376.107720,,0.000000,,,-8.810000,,-7.878060,-8.810000,,"",,,"D1 PROFILE",
"64404300000116","Nodes","116",21.000000,46.081725,"DDS demands","Known Flow",268213.000000,648476.500000,,0.000000,,,-1.500000,,-1.341326,-1.500000,,"",,,"D1 PROFILE",
"64404300000118","Nodes","118",21.000000,37.579313,"DDS demands","Known Flow",268239.864523,648403.294212,,0.000000,,,-2.450000,,-2.190834,-2.450000,,"",,,"D1 PROFILE",
"64404300000111","Nodes","111",21.000000,24.386266,"DDS demands","Known Flow",268522.750000,648451.000000,,0.000000,-9.980000,,-11.579999,,-19.279338,-21.560001,,"","C1 PROFILE",,"D1 PROFILE",
"64404300000112","Nodes","112",21.000000,24.305880,"DDS demands","Known Flow",268552.250000,648411.000000,,0.000000,,,-4.839999,,-4.328014,-4.839999,,"",,,"D1 PROFILE",
"64404300000107","Nodes","107",21.000000,28.979959,"DDS demands","Known Flow",268418.875000,648397.875000,,0.000000,,,-20.850000,,-18.644443,-20.850000,,"",,,"D1 PROFILE",
"64404300000108","Nodes","108",21.000000,28.049152,"DDS demands","Known Flow",268505.125000,648354.500000,,0.000000,,,-12.210000,,-10.918401,-12.210000,,"",,,"D1 PROFILE",
"64404300000214","Nodes","-64",21.000000,23.711680,"Default Known Flow Node","Known Flow",268555.750000,648571.000000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000103","Nodes","103",21.000000,23.730987,"DDS demands","Known Flow",268557.864331,648568.311062,,0.000000,,,-20.300000,,-18.152622,-20.300000,,"",,,"D1 PROFILE",
"64404300000099","Nodes","99",21.000000,26.942504,"DDS demands","Known Flow",268459.985347,648435.531005,,0.000000,,,-2.619999,,-2.342850,-2.619999,,"",,,"D1 PROFILE",
"64404300000101","Nodes","101",21.000000,27.692495,"DDS demands","Known Flow",268457.174185,648513.799669,,0.000000,-5.769999,,-34.389998,,-35.911788,-40.159998,,"","",,"D1 PROFILE",
"64404300000034","Nodes","34",21.000000,32.182908,"Default Known Flow Node","Known Flow",268406.250000,648649.125000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000000","Nodes","0",21.000000,45.995082,"Default Known Flow Node","Known Flow",268178.875000,648510.250000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000020","Nodes","20",21.000000,45.995082,"Default Known Flow Node","Known Flow",268183.500000,648511.875000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000001","Nodes","CHAPELTON DG, Tel, Clocked, SITE ID 5402",21.000000,46.999998,"Default Known Pressure Node","Known Pressure",268219.000000,648470.875000,,999998.967025,,,,,360.065743,402.659984,,"",,,,
"64404300000117","Nodes","117",21.000000,46.250066,"Default Known Flow Node","Known Flow",268220.625000,648474.375000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000124","Nodes","124",21.000000,46.013193,"Default Known Flow Node","Known Flow",268189.625000,648503.375000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000023","Nodes","23",21.000000,37.939297,"DDS demands","Known Flow",268267.625000,648560.000000,,0.000000,,,-13.709999,,-12.259727,-13.709999,,"",,,"D1 PROFILE",
"64404300000024","Nodes","24",21.000000,36.142191,"DDS demands","Known Flow",268244.625000,648593.750000,,0.000000,,,-20.879998,,-18.671268,-20.879998,,"",,,"D1 PROFILE",
"64404300000027","Nodes","27",21.000000,37.439204,"DDS demands","Known Flow",268351.000000,648519.000000,,0.000000,,,-10.239999,,-9.156791,-10.239999,,"",,,"D1 PROFILE",
"64404300000025","Nodes","25",21.000000,35.569100,"DDS demands","Known Flow",268189.750000,648550.500000,,0.000000,,,-12.090000,,-10.811094,-12.090000,,"",,,"D1 PROFILE",
"64404300000032","Nodes","32",21.000000,33.857018,"DDS demands","Known Flow",268293.125000,648685.500000,,0.000000,,,-16.330000,,-14.602578,-16.330000,,"",,,"D1 PROFILE",
"64404300000026","Nodes","26",21.000000,35.569100,"Default Known Flow Node","Known Flow",268186.125000,648545.125000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000028","Nodes","28",21.000000,37.439204,"Default Known Flow Node","Known Flow",268359.625000,648515.125000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000029","Nodes","29",21.000000,31.914414,"Default Known Flow Node","Known Flow",268314.500000,648597.625000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000030","Nodes","30",21.000000,31.914414,"DDS demands","Known Flow",268329.500000,648609.875000,,0.000000,,,-3.849999,,-3.442738,-3.849999,,"",,,"D1 PROFILE",
"64404300000031","Nodes","31",21.000000,31.936398,"DDS demands","Known Flow",268345.500000,648623.250000,,0.000000,,,-5.509999,,-4.927140,-5.509999,,"",,,"D1 PROFILE",
"64404300000037","Nodes","37",21.000000,31.861148,"DDS demands","Known Flow",268350.750000,648617.375000,,0.000000,,,-14.049999,,-12.563761,-14.049999,,"",,,"D1 PROFILE",
"64404300000036","Nodes","36",21.000000,33.087412,"DDS demands","Known Flow",268324.875000,648734.250000,,0.000000,,,-3.020000,,-2.700538,-3.020000,,"",,,"D1 PROFILE",
"64404300000110","Nodes","110",21.000000,33.087412,"Default Known Flow Node","Known Flow",268306.000000,648753.625000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000100","Nodes","100",21.000000,30.067858,"DDS demands","Known Flow",268394.209268,648431.633952,,0.000000,,,-16.370001,,-14.638348,-16.370001,,"",,,"D1 PROFILE",
"64404300000113","Nodes","113",21.000000,32.054009,"DDS demands","Known Flow",268329.375000,648408.250000,,0.000000,,,-12.350000,,-11.043591,-12.350000,,"",,,"D1 PROFILE",
"64404300000105","Nodes","105",21.000000,22.989990,"DDS demands","Known Flow",268612.375000,648602.000000,,0.000000,,,-20.640000,,-18.456658,-20.640000,,"",,,"D1 PROFILE",
"64404300000106","Nodes","106",21.000000,22.712259,"DDS demands","Known Flow",268586.375000,648635.875000,,0.000000,,,-10.039999,,-8.977947,-10.039999,,"",,,"D1 PROFILE",
"64404300000109","Nodes","109",21.000000,24.349234,"DDS demands","Known Flow",268553.375000,648480.375000,,0.000000,,,-5.469999,,-4.891371,-5.469999,,"",,,"D1 PROFILE",
"64404300000114","Nodes","114",21.000000,31.620368,"DDS demands","Known Flow",268402.250000,648372.125000,,0.000000,,,-7.649999,,-6.840766,-7.649999,,"",,,"D1 PROFILE",
"64404300000119","Nodes","119",21.000000,36.817155,"Default Known Flow Node","Known Flow",268255.719916,648398.056773,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000120","Nodes","120",21.000000,34.348061,"DDS demands","Known Flow",268311.504763,648318.942409,,0.000000,,,-1.900000,,-1.699014,-1.900000,,"",,,"D1 PROFILE",
"64404300000123","Nodes","123",21.000000,34.258174,"DDS demands","Known Flow",268330.139754,648309.489877,,0.000000,,,-7.349999,,-6.572501,-7.349999,,"",,,"D1 PROFILE",
"64404300000149","Nodes","149",21.000000,27.296443,"Default Known Flow Node","Known Flow",268455.471435,648421.671229,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000148","Nodes","148",21.000000,27.251040,"Default Known Flow Node","Known Flow",268449.375000,648366.375000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000150","Nodes","150",21.000000,26.183232,"Default Known Flow Node","Known Flow",268417.839056,648604.258841,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000151","Nodes","151",21.000000,26.183232,"Default Known Flow Node","Known Flow",268386.125000,648568.500000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000125","Nodes","125",21.000000,45.821444,"DDS demands","Known Flow",268139.375000,648512.750000,,0.000000,,,-5.619999,,-5.025504,-5.619999,,"",,,"D1 PROFILE",
"64404300000021","Nodes","21",21.000000,45.976211,"Default Known Flow Node","Known Flow",268183.750000,648512.000000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000126","Nodes","126",21.000000,45.849553,"DDS demands","Known Flow",268087.625000,648575.500000,,0.000000,,,-1.669999,,-1.493343,-1.669999,,"",,,"D1 PROFILE",
"64404300000215","Nodes",,21.000000,26.228731,"DDS demands","Known Flow",268433.374424,648583.809224,,0.000000,,-4.060000,,,-3.630524,-4.060000,,"",,"C4 PROFILE",,
"64404300000102","Nodes","102",21.000000,26.094861,"DDS demands","Known Flow",268429.490582,648592.369529,,0.000000,,,-17.649999,,-15.782945,-17.649999,,"",,,"D1 PROFILE",
"64404300000153","Nodes","153",21.000000,26.183232,"Default Known Flow Node","Known Flow",268410.546944,648625.976651,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000152","Nodes","152",21.000000,26.137736,"Default Known Flow Node","Known Flow",268364.375000,648583.125000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000213","Nodes","-60",21.000000,23.579267,"Default Known Flow Node","Known Flow",268571.270338,648550.714807,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000211","Nodes","-57",21.000000,25.260730,"Default Known Flow Node","Known Flow",268519.750000,648547.000000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000212","Nodes","-58",21.000000,23.535614,"Default Known Flow Node","Known Flow",268577.625000,648549.750000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000203","Nodes","-1462479",21.000000,25.260730,"Default Known Flow Node","Known Flow",268523.125000,648540.875000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000210","Nodes","-56",21.000000,23.535614,"Default Known Flow Node","Known Flow",268578.000000,648535.500000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000205","Nodes","-1462494",21.000000,23.535614,"Default Known Flow Node","Known Flow",268578.375000,648522.750000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000201","Nodes","-1462472",21.000000,23.535614,"Default Known Flow Node","Known Flow",268610.875000,648535.750000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000095","Nodes","95",21.000000,21.730294,"Default Known Flow Node","Known Flow",268475.375000,648650.500000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000216","Nodes","-70",21.000000,21.776122,"Default Known Flow Node","Known Flow",268515.529572,648618.092053,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000003","Nodes",,21.000000,29.394731,"Default Known Flow Node","Known Flow",268438.795453,648496.573632,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000002","Nodes",,21.000000,30.156851,"Default Known Flow Node","Known Flow",268389.597976,648429.057054,,0.000000,,,,,0.000000,0.000000,,"",,,,
"64404300000004","Nodes",,21.000000,27.679634,"Default Known Flow Node","Known Flow",268465.015847,648489.238992,,0.000000,,,,,0.000000,0.000000,,"",,,,
