"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-DC)"
"64403300004869","Nodes","4869","21.000000","25.625095","Default Known Flow Node","Known Flow","296107.789729","698325.748230","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64403300004868","Nodes","4868","21.000000","25.525411","DDS demands","Known Flow","296104.051991","698324.477052","","0.000000","","","","","-0.850000","","","","-0.760085","-0.850000","","","","","","","D1 PROFILE","","",""
"64403300000377","Nodes","377","21.000000","36.396986","Default Known Flow Node","Known Flow","295972.832693","698137.528179","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64403300000068","Nodes","68","21.000000","38.447313","DDS demands","Known Flow","295901.209786","697909.258576","","0.000000","","-13.899999","","","-6.049999","","","","-17.839646","-19.949999","","","","C2 PROFILE","","","D1 PROFILE","","",""
"64403300000219","Nodes","219","21.000000","38.819219","DDS demands","Known Flow","295905.324674","697917.468119","","0.000000","","","","","-6.610000","","","","-5.910780","-6.610000","","","","","","","D1 PROFILE","","",""
"64403300000218","Nodes","218","21.000000","39.104795","Default Known Flow Node","Known Flow","295907.561675","697979.059136","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64403300000073","Nodes","73","21.000000","35.342896","DDS demands","Known Flow","295765.183636","697948.188128","","0.000000","","","","","-12.870000","","","","-11.508585","-12.870000","","","","","","","D1 PROFILE","","",""
"64403300000074","Nodes","74","21.000000","32.986727","DDS demands","Known Flow","295800.682646","697860.423104","","0.000000","","","","","-11.560000","","","","-10.337159","-11.560000","","","","","","","D1 PROFILE","","",""
"64403300000300","Nodes","300","21.000000","24.005421","DDS demands","Known Flow","295502.789565","698030.707150","","0.000000","","","","","-14.810000","","","","-13.243367","-14.810000","","","","","","","D1 PROFILE","","",""
"64403300001002","Nodes","Logger 9252, 17 Strachan Crescent","21.000000","24.011633","Val Log Cath","Known Flow","295523.327798","698044.743215","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64403300000165","Nodes","165","21.000000","24.623233","DDS demands","Known Flow","295516.896568","698197.774195","","0.000000","","","","","-16.030001","","","","-14.334314","-16.030001","","","","","","","D1 PROFILE","","",""
"64403300000228","Nodes","228","21.000000","31.041534","DDS demands","Known Flow","295587.989588","697853.839102","","0.000000","","","","","-14.510000","","","","-12.975102","-14.510000","","","","","","","D1 PROFILE","","",""
"64403300001001","Nodes","Logger 9764, 33 Murray Place","21.000000","30.970662","Val Log Cath","Known Flow","295546.930672","697835.463635","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64403300000229","Nodes","229","21.000000","30.931417","DDS demands","Known Flow","295488.496561","697809.312090","","0.000000","","","","","-2.970000","","","","-2.655827","-2.970000","","","","","","","D1 PROFILE","","",""
"64403300004931","Nodes","4931","21.000000","37.441699","Default Known Flow Node","Known Flow","296262.651771","697857.608103","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64403300000146","Nodes","146","21.000000","37.331899","DDS demands","Known Flow","296301.302782","697862.967104","","0.000000","","","","","-6.390000","","","","-5.714052","-6.390000","","","","","","","D1 PROFILE","","",""
"64403300004933","Nodes","4933","21.000000","37.330543","Default Known Flow Node","Known Flow","296301.970782","697861.948104","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64403300004753","Nodes","4753","21.000000","37.925119","Default Known Flow Node","Known Flow","296189.720752","697938.961125","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64403300004943","Nodes","4943","21.000000","37.789157","Default Known Flow Node","Known Flow","296193.038752","697910.935117","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64403300004936","Nodes","4936","21.000000","37.598505","Default Known Flow Node","Known Flow","296197.752754","697866.383105","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64403300000145","Nodes","145","21.000000","37.546732","DDS demands","Known Flow","296199.404754","697850.770101","","0.000000","","","","","-10.350000","","","","-9.255155","-10.350000","","","","","","","D1 PROFILE","","",""
"64403300004928","Nodes","4928","21.000000","37.545331","Default Known Flow Node","Known Flow","296202.633755","697850.245101","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64403300000310","Nodes","310","21.000000","36.934616","DDS demands","Known Flow","296306.270393","697806.818388","","0.000000","","","","","-7.190000","","","","-6.429426","-7.190000","","","","","","","D1 PROFILE","","",""
