"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)"
"64310400000014","Nodes","14",21.000000,67.000997,"DDS","Known Flow",273207.125000,559984.375000,,0.000000,-8.819999,,-7.887001,-8.819999,,"","D1 PROFILE",
"64310400000015","Nodes","15",21.000000,66.750459,"Default Known Flow Node","Known Flow",273244.125000,559920.375000,,0.000000,,,0.000000,0.000000,,"",,
"64310400000012","Nodes","12",21.000000,68.655072,"DDS","Known Flow",273188.750000,559971.000000,,0.000000,-5.650000,-4.269999,-5.052331,-5.650000,,"","D1 PROFILE","DM PROFILE"
"64310400000002","Nodes","Bridge of Dee RRI",21.000000,69.999999,"Default Known Pressure Node","Known Pressure",273178.375000,559962.130000,,499.999994,,,46.374135,51.860001,,"",,
"64310400000004","Nodes","4",21.000000,68.782042,"Default Known Flow Node","Known Flow",274355.000000,559873.500000,,0.000000,,,0.000000,0.000000,,"",,
"64310400000003","Nodes","3",21.000000,68.782042,"Default Known Flow Node","Known Flow",274341.375000,559862.875000,,0.000000,,,0.000000,0.000000,,"",,
"64310400000006","Nodes","6",21.000000,52.594809,"DDS","Known Flow",274197.750000,559730.500000,,0.000000,-22.609999,,-20.218265,-22.609999,,"","D1 PROFILE",
"64310400000007","Nodes","7",21.000000,52.157754,"DDS","Known Flow",274285.500000,559665.125000,,0.000000,-10.859999,,-9.711205,-10.859999,,"","D1 PROFILE",
"64310400000008","Nodes","8",21.000000,52.543678,"DDS","Known Flow",274024.625000,559640.250000,,0.000000,-0.779999,,-0.697489,-0.779999,,"","D1 PROFILE",
"64310400000005","Nodes","5",21.000000,54.669321,"DDS","Known Flow",274222.875000,559771.750000,,0.000000,-19.610001,,-17.535615,-19.610001,,"","D1 PROFILE",
"64310400000009","Nodes","9",21.000000,54.669321,"Default Known Flow Node","Known Flow",274148.125000,559768.125000,,0.000000,,,0.000000,0.000000,,"",,
"64310400000001","Nodes","Rhonehouse DG, Tel, Constant, Site ID 6208",21.000000,69.999999,"Default Known Pressure Node","Known Pressure",274332.750000,559870.625000,,999998.967025,,,48.162571,53.859999,,"",,
"64310400000011","Nodes","11",21.000000,54.543773,"Default Known Flow Node","Known Flow",274066.500000,559767.125000,,0.000000,,,0.000000,0.000000,,"",,
"64310400000013","Nodes","13",21.000000,68.655072,"Default Known Flow Node","Known Flow",273123.875000,559977.125000,,0.000000,,,0.000000,0.000000,,"",,
"64310400000018","Nodes","18",21.000000,64.781807,"DDS","Known Flow",273371.000000,560061.500000,,0.000000,-3.059999,,-2.736306,-3.059999,,"","D1 PROFILE",
"64310400000019","Nodes","19",21.000000,64.904565,"Default Known Flow Node","Known Flow",273280.250000,560112.250000,,0.000000,,,0.000000,0.000000,,"",,
"64310400000020","Nodes","20",21.000000,64.697967,"DDS","Known Flow",273411.250000,559997.625000,,0.000000,-4.050000,,-3.621582,-4.050000,,"","D1 PROFILE",
"64310400000016","Nodes","16",21.000000,65.154235,"DDS","Known Flow",273252.250000,560005.875000,,0.000000,-17.610000,,-15.747177,-17.610000,,"","D1 PROFILE",
"64310400000017","Nodes","17",21.000000,64.846225,"Default Known Flow Node","Known Flow",273331.375000,559978.375000,,0.000000,,,0.000000,0.000000,,"",,
"64310400000010","Nodes",,21.000000,66.791210,"DDS","Known Flow",273230.560107,559931.050199,,0.000000,-6.119999,,-5.472613,-6.119999,,"","D1 PROFILE",
"64310400000021","Nodes",,21.000000,64.846225,"DDS","Known Flow",273305.037434,559965.998103,,0.000000,-6.550000,,-5.857127,-6.550000,,"","D1 PROFILE",
"64310400000022","Nodes",,21.000000,54.669321,"Default Known Flow Node","Known Flow",274144.875000,559768.250000,,0.000000,,,0.000000,0.000000,,"",,
