"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"64403000000122","Nodes","122","21.000000","29.129674","DDS demands","Known Flow","282114.342428","667939.511987","","0.000000","","","-15.680000","-10.779999","","","","","","","-23.661004","-26.459999","","","","","","C4 PROFILE","D1 PROFILE","","","","","","",""
"64403000001006","Nodes","1006","21.000000","28.411980","Default Known Flow Node","Known Flow","282125.250000","668027.500000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000174","Nodes","174","21.000000","27.550995","DDS demands","Known Flow","282206.812500","668053.937500","","0.000000","-0.039999","","","-19.730000","","","","","","","-17.678687","-19.769999","","","","C1 PROFILE","","","D1 PROFILE","","","","","","",""
"64403000003064","Nodes","-535","21.000000","28.315195","Default Known Flow Node","Known Flow","282133.875000","668026.375000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000126","Nodes","126","21.000000","29.749646","DDS demands","Known Flow","282107.688396","667889.933926","","0.000000","","","","-0.430000","","","","","","","-0.384513","-0.430000","","","","","","","D1 PROFILE","","","","","","",""
"64403000001004","Nodes","1004","21.000000","29.405198","Default Known Flow Node","Known Flow","282111.266715","667915.609302","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000000394","Nodes","394","21.000000","27.641076","Default Known Flow Node","Known Flow","282204.875000","668113.500000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000003049","Nodes","-491","21.000000","29.429003","Default Known Flow Node","Known Flow","282107.229190","667915.642728","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000001008","Nodes","1008","21.000000","28.370837","Default Known Flow Node","Known Flow","282102.000000","668030.125000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"64403000003038","Nodes","-478","21.000000","29.449039","Default Known Flow Node","Known Flow","282062.982627","667881.758180","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
