"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-DC)"
"64305600000203","Nodes","-1462471",21.000000,25.634654,"Default Known Flow Node","Known Flow",392147.750000,660935.000000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600000207","Nodes","-1462492",21.000000,33.064380,"Default Known Flow Node","Known Flow",392443.758731,660783.993495,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600000111","Nodes","111",21.000000,25.763562,"DDS demands","Known Flow",392440.006792,661050.247893,,0.000000,,,-1.549999,,,-1.386037,-1.549999,,"",,,"D1 PROFILE",,
"64305600000112","Nodes","112",21.000000,25.761641,"DDS demands","Known Flow",392430.250000,661061.625000,,0.000000,,,-2.499999,,,-2.235544,-2.499999,,"",,,"D1 PROFILE",,
"64305600000217","Nodes","-49",21.000000,23.066907,"Default Known Flow Node","Known Flow",392239.625000,661267.375000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600000024","Nodes","24",21.000000,23.080481,"DDS demands","Known Flow",392248.125000,661257.750000,,0.000000,,,-11.459999,,,-10.247737,-11.459999,,"",,,"D1 PROFILE",,
"64305600000215","Nodes","-36",21.000000,23.771822,"Default Known Flow Node","Known Flow",392368.875000,661161.875000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600000209","Nodes","-1462494",21.000000,23.859857,"Default Known Flow Node","Known Flow",392401.875000,661135.250000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600000212","Nodes","-21",21.000000,26.140313,"Default Known Flow Node","Known Flow",392401.750000,661019.375000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600000204","Nodes","0204, P13132464, OLD TOWN, SCH 7.29",22.999998,25.745778,"CSEP Unmatched","Known Flow",392450.144381,661058.085751,,0.000000,,,,,-7.289999,-6.518848,-7.289999,,"",,,,,"DC PROFILE"
"64305600000122","Nodes","122",21.000000,22.495478,"DDS demands","Known Flow",392073.625000,661074.250000,,0.000000,,,-3.150000,,,-2.816786,-3.150000,,"",,,"D1 PROFILE",,
"64305600000105","Nodes","105",21.000000,22.726127,"DDS demands","Known Flow",392100.816710,661214.101609,,0.000000,,,-13.439999,,,-12.018288,-13.439999,,"",,,"D1 PROFILE",,
"64305600000216","Nodes","-42",21.000000,22.723380,"Default Known Flow Node","Known Flow",392097.125000,661215.125000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64305600000023","Nodes","23",21.000000,22.971451,"DDS demands","Known Flow",392179.250000,661185.625000,,0.000000,,,-19.370000,,,-17.321001,-19.370000,,"",,,"D1 PROFILE",,
"64305600000026","Nodes","26",21.000000,23.521099,"DDS demands","Known Flow",392313.750000,661206.125000,,0.000000,,,-12.300000,,,-10.998880,-12.300000,,"",,,"D1 PROFILE",,
"64305600000102","Nodes","102",21.000000,23.571409,"DDS demands","Known Flow",392281.750000,661110.250000,,0.000000,,-9.760000,-4.650000,,,-12.885679,-14.410000,,"",,"C3  PROFILE","D1 PROFILE",,
"64305600000103","Nodes","103",21.000000,23.214932,"DDS demands","Known Flow",392240.181910,661051.638151,,0.000000,,,-8.140000,,,-7.278933,-8.140000,,"",,,"D1 PROFILE",,
"64305600000108","Nodes","108",21.000000,23.743465,"DDS demands","Known Flow",392295.125000,661097.250000,,0.000000,,,-1.999999,,,-1.788435,-1.999999,,"",,,"D1 PROFILE",,
"64305600000025","Nodes","25",21.000000,24.017115,"DDS demands","Known Flow",392312.625000,661084.250000,,0.000000,-2.190000,,-7.329999,,,-8.512954,-9.519999,,"","C1 PROFILE",,"D1 PROFILE",,
"64305600000214","Nodes","-31",21.000000,24.006449,"Default Known Flow Node","Known Flow",392315.125000,661092.250000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
