"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"64401900009145","Nodes","-496","21.000000","30.658423","Default Known Flow Node","Known Flow","285002.677707","650826.797305","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64401900009060","Nodes","-1462759","21.000000","30.658423","Default Known Flow Node","Known Flow","285022.732713","650831.393307","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64401900009197","Nodes","-666","21.000000","28.895844","Default Known Flow Node","Known Flow","285352.489772","649453.401610","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64401900009063","Nodes","-1462772","21.000000","27.857105","Default Known Flow Node","Known Flow","285294.767787","649453.228932","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64401900000869","Nodes","869","21.000000","27.766827","DDS demands","Known Flow","285267.400779","649486.348941","","0.000000","","","","","-5.789999","","","","","-5.177521","-5.789999","","","","","","","D1 PROFILE","","","",""
"64401900000564","Nodes","564","21.000000","27.393376","DDS demands","Known Flow","285180.825933","649374.858905","","0.000000","","","","","-6.650000","","","","","-5.946549","-6.650000","","","","","","","D1 PROFILE","","","",""
"64401900000566","Nodes","566","21.000000","27.797863","DDS demands","Known Flow","285224.036111","649437.707302","","0.000000","","","","","-10.199999","","","","","-9.121022","-10.199999","","","","","","","D1 PROFILE","","","",""
"64401900000568","Nodes","568","21.000000","27.817038","DDS demands","Known Flow","285239.754772","649467.149935","","0.000000","","","","","-6.099999","","","","","-5.454729","-6.099999","","","","","","","D1 PROFILE","","","",""
"64401900000569","Nodes","569","21.000000","27.768872","DDS demands","Known Flow","285261.430778","649491.390942","","0.000000","","","","","-10.110000","","","","","-9.040542","-10.110000","","","","","","","D1 PROFILE","","","",""
"64401900000173","Nodes","173","21.000000","29.195428","DDS demands","Known Flow","285330.973797","649494.258943","","0.000000","","","","","-6.820000","","","","","-6.098566","-6.820000","","","","","","","D1 PROFILE","","","",""
"64401900000269","Nodes","269","21.000000","29.012298","DDS demands","Known Flow","285340.857799","649475.580938","","0.000000","","","","","-14.420000","","","","","-12.894622","-14.420000","","","","","","","D1 PROFILE","","","",""
"64401900000151","Nodes","0151","21.000000","27.303641","DDS demands","Known Flow","285161.130751","649421.577923","","0.000000","","","","","-8.709999","","","","","-7.788637","-8.709999","","","","","","","D1 PROFILE","","","",""
"64401900009237","Nodes","-96","21.000000","27.403934","Default Known Flow Node","Known Flow","284232.534272","649965.368768","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64401900009234","Nodes","-93","21.000000","27.945870","Default Known Flow Node","Known Flow","284321.772911","649962.361545","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64401900009230","Nodes","-91","21.000000","27.966611","Default Known Flow Node","Known Flow","284324.526816","649956.681744","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64401900000675","Nodes","675","21.000000","29.696116","DDS demands","Known Flow","284451.917887","649935.484862","","0.000000","","","","","-2.019999","","","","","-1.806320","-2.019999","","","","","","","D1 PROFILE","","","",""
