"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"64305400801573","Nodes","801573",21.000000,35.141739,"Default Known Flow Node","Known Flow",352639.965112,647793.403480,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305400001018","Nodes","P07113307, Stow Road, 47.8 (CT80.31)",25.000000,36.266264,"CSEP DDS Matched","Known Flow",352568.430781,647760.488556,,0.000000,,,,,0.000000,,-47.799997,,,,-42.743613,-47.799997,,"",,,,,"CT PROFILE",,"DC PROFILE",,,
"64305400801569","Nodes","801569",21.000000,36.191852,"Default Known Flow Node","Known Flow",352573.079312,647764.897404,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305400801598","Nodes","801598",21.000000,33.407853,"Default Known Flow Node","Known Flow",352516.069449,648022.554187,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305400001017","Nodes","Logger 10251, 3 Brownsmuir Park, Lauder",21.000000,33.190355,"Val Log Cath","Known Flow",352487.000448,647991.561201,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305400000164","Nodes","164",21.000000,33.326031,"DDS demands","Known Flow",352469.515128,647964.486382,,0.000000,,,,,,-13.220000,,,,,-11.821560,-13.220000,,"",,,,,,"D1 PROFILE",,,,
"64305400722149","Nodes","722149",21.000000,33.275855,"Default Known Flow Node","Known Flow",352993.429208,647612.862431,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305400000175","Nodes","175",21.000000,27.868373,"DDS demands","Known Flow",353054.488737,647297.270855,,0.000000,,,,,,-3.059999,,,,,-2.736306,-3.059999,,"",,,,,,"D1 PROFILE",,,,
"64305400001015","Nodes","Logger 7042, Lauderdale Drive",21.000000,27.442025,"Val Log Cath","Known Flow",353026.461989,647297.490908,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305400801485","Nodes","801485",21.000000,27.588872,"Default Known Flow Node","Known Flow",353023.487827,647297.506962,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305400000182","Nodes","182",21.000000,26.919891,"DDS demands","Known Flow",353371.505311,647422.929379,,0.000000,,,,,,-4.050000,,,,,-3.621582,-4.050000,,"",,,,,,"D1 PROFILE",,,,
"64305400801499","Nodes","801499",21.000000,28.645461,"Default Known Flow Node","Known Flow",353199.580647,647376.140257,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305400801510","Nodes","801510",21.000000,27.582454,"Default Known Flow Node","Known Flow",353312.045295,647455.865388,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305400000181","Nodes","181",21.000000,27.255002,"DDS demands","Known Flow",353320.013297,647452.568387,,0.000000,,,,,,-13.709999,,,,,-12.259727,-13.709999,,"",,,,,,"D1 PROFILE",,,,
"64305400723666","Nodes","723666",21.000000,29.755226,"Default Known Flow Node","Known Flow",353064.763228,647483.337396,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305400000039","Nodes","39",21.000000,30.044667,"DDS demands","Known Flow",353085.583187,647468.477963,,0.000000,,,,,,-8.539999,,,,,-7.636620,-8.539999,,"",,,,,,"D1 PROFILE",,,,
"64305400801512","Nodes","801512",21.000000,30.045493,"Default Known Flow Node","Known Flow",353085.859339,647468.324153,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305400000050","Nodes","50",21.000000,28.612336,"DDS demands","Known Flow",353194.969783,647349.666683,,0.000000,,,,,,-11.819999,,,,,-10.569655,-11.819999,,"",,,,,,"D1 PROFILE",,,,
"64305400801494","Nodes","801494",21.000000,28.721236,"Default Known Flow Node","Known Flow",353191.055895,647337.939115,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64305402410659","Nodes","2410659",21.000000,28.610568,"Default Known Flow Node","Known Flow",353196.397900,647353.991590,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
