"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-DC)"
"64403600000001","Nodes","1, HALLGLEN DISTRICT DG, Clocked, Site ID 5151",21.000000,31.000000,"Default Known Pressure Node","Known Pressure",289853.345027,678390.336806,,999998.967025,,,,464.760797,519.739991,,"",,,
"64403610000025","Nodes","-25",21.000000,30.943358,"Default Known Flow Node","Known Flow",289853.212759,678387.833433,,0.000000,,,,0.000000,0.000000,,"",,,
"64403600000109","Nodes","109",21.000000,27.851826,"DDS demands","Known Flow",289454.344919,678342.836793,,0.000000,,-3.819999,,-3.415912,-3.819999,,"",,"D1 PROFILE",
"64403600000110","Nodes","110",21.000000,27.851095,"DDS demands","Known Flow",289459.969920,678367.086799,,0.000000,,-9.649999,,-8.629202,-9.649999,,"",,"D1 PROFILE",
"64403600000111","Nodes","111",21.000000,28.027959,"DDS demands","Known Flow",289357.094892,678359.461797,,0.000000,,-12.930000,,-11.562238,-12.930000,,"",,"D1 PROFILE",
"64403601462487","Nodes","-1462487",21.000000,27.982731,"Default Known Flow Node","Known Flow",289439.594915,678399.086808,,0.000000,,,,0.000000,0.000000,,"",,,
"64403600000112","Nodes","112",21.000000,28.292999,"DDS demands","Known Flow",289360.094893,678440.961819,,0.000000,,-13.600000,,-12.161363,-13.600000,,"",,"D1 PROFILE",
"64403600000113","Nodes","113",21.000000,27.604264,"DDS demands","Known Flow",289416.344908,678366.211799,,0.000000,,-12.789999,,-11.437046,-12.789999,,"",,"D1 PROFILE",
"64403600000114","Nodes","114",21.000000,27.575854,"DDS demands","Known Flow",289408.219906,678354.211796,,0.000000,,-5.070000,,-4.533684,-5.070000,,"",,"D1 PROFILE",
"64403610000047","Nodes","-47",21.000000,28.144392,"Default Known Flow Node","Known Flow",289379.691225,678427.669544,,0.000000,,,,0.000000,0.000000,,"",,,
"64403600000103","Nodes","103",21.000000,27.819995,"DDS demands","Known Flow",289470.219923,678442.336820,,0.000000,,-12.310000,,-11.007822,-12.310000,,"",,"D1 PROFILE",
"64403610000045","Nodes","-45",21.000000,27.814342,"Default Known Flow Node","Known Flow",289458.719920,678425.211815,,0.000000,,,,0.000000,0.000000,,"",,,
"64403610000046","Nodes","-46",21.000000,27.858243,"DDS demands","Known Flow",289492.969929,678427.461816,,0.000000,,-2.609999,,-2.333908,-2.609999,,"",,"D1 PROFILE",
"64403600000106","Nodes","106",21.000000,27.888967,"DDS demands","Known Flow",289418.344909,678452.211823,,0.000000,,-5.570000,,-4.980793,-5.570000,,"",,"D1 PROFILE",
"64403601462545","Nodes","-1462545",21.000000,27.801031,"Default Known Flow Node","Known Flow",289428.594912,678466.961827,,0.000000,,,,0.000000,0.000000,,"",,,
"64403600000107","Nodes","107",21.000000,27.884376,"DDS demands","Known Flow",289389.844901,678470.336827,,0.000000,,-3.930000,,-3.514276,-3.930000,,"",,"D1 PROFILE",
"64403600000108","Nodes","108",21.000000,27.985337,"DDS demands","Known Flow",289373.594897,678455.711824,,0.000000,,-3.759999,,-3.362259,-3.759999,,"",,"D1 PROFILE",
"64403601462503","Nodes","-1462503",21.000000,27.985337,"Default Known Flow Node","Known Flow",289362.844894,678469.336827,,0.000000,,,,0.000000,0.000000,,"",,,
"64403610000053","Nodes","-53",21.000000,27.819759,"Default Known Flow Node","Known Flow",289471.094923,678443.711820,,0.000000,,,,0.000000,0.000000,,"",,,
"64403610000028","Nodes","-28",21.000000,27.928133,"Default Known Flow Node","Known Flow",289400.469904,678389.961806,,0.000000,,,,0.000000,0.000000,,"",,,
"64403601462519","Nodes","-1462519",21.000000,28.012552,"Default Known Flow Node","Known Flow",289367.344895,678404.086809,,0.000000,,,,0.000000,0.000000,,"",,,
"64403601462508","Nodes","-1462508",21.000000,27.912420,"DDS demands","Known Flow",289394.844903,678383.336804,,0.000000,,-5.310000,,-4.748297,-5.310000,,"",,"D1 PROFILE",
"64403601462470","Nodes","-1462470",21.000000,27.494400,"DDS demands","Known Flow",289479.219926,678406.336810,,0.000000,,-6.020000,,-5.383191,-6.020000,,"",,"D1 PROFILE",
"64403600000102","Nodes","102",21.000000,27.599594,"DDS demands","Known Flow",289512.844935,678414.586812,,0.000000,,-7.719999,,-6.903361,-7.719999,,"",,"D1 PROFILE",
"64403600000105","Nodes","105",21.000000,27.636448,"DDS demands","Known Flow",289526.594938,678456.836824,,0.000000,,-4.249999,,-3.800425,-4.249999,,"",,"D1 PROFILE",
"64403600000104","Nodes","104",21.000000,27.806894,"DDS demands","Known Flow",289500.594931,678473.586828,,0.000000,,-4.819999,,-4.310130,-4.819999,,"",,"D1 PROFILE",
"64403600000097","Nodes","97",21.000000,27.545499,"DDS demands","Known Flow",289586.969955,678325.461788,,0.000000,,-2.519999,,-2.253428,-2.519999,,"",,"D1 PROFILE",
"64403600000002","Nodes","-2",21.000000,27.563801,"Default Known Flow Node","Known Flow",289563.094948,678319.336786,,0.000000,,,,0.000000,0.000000,,"",,,
"64403601462486","Nodes","-1462486",21.000000,27.538991,"Default Known Flow Node","Known Flow",289531.719940,678376.961802,,0.000000,,,,0.000000,0.000000,,"",,,
"64403610000032","Nodes","-32",21.000000,27.627970,"Default Known Flow Node","Known Flow",289510.844934,678391.211806,,0.000000,,,,0.000000,0.000000,,"",,,
"64403600000100","Nodes","100",21.000000,27.631704,"Default Known Flow Node","Known Flow",289522.219937,678407.586810,,0.000000,,,,0.000000,0.000000,,"",,,
"64403600000021","Nodes","21",21.000000,30.870338,"DDS demands","Known Flow",289849.595026,678389.711806,,0.000000,,-8.390000,,-7.502488,-8.390000,,"",,"D1 PROFILE",
"64403600000022","Nodes","22",21.000000,30.727818,"DDS demands","Known Flow",289872.845033,678368.086800,,0.000000,,-4.980000,,-4.453205,-4.980000,,"",,"D1 PROFILE",
"64403600000026","Nodes","26",21.000000,29.286515,"Default Known Flow Node","Known Flow",289848.720026,678399.711808,,0.000000,,,,0.000000,0.000000,,"",,,
"64403600000024","Nodes","24",21.000000,30.726400,"Default Known Flow Node","Known Flow",289891.095038,678355.711796,,0.000000,,,,0.000000,0.000000,,"",,,
"64403600000010","Nodes","-10",21.000000,30.691388,"Default Known Flow Node","Known Flow",289862.970030,678349.586795,,0.000000,,,,0.000000,0.000000,,"",,,
"64403600000018","Nodes","-18",21.000000,30.671909,"Default Known Flow Node","Known Flow",289909.095043,678366.836799,,0.000000,,,,0.000000,0.000000,,"",,,
"64403600000028","Nodes","28",21.000000,29.208728,"Default Known Flow Node","Known Flow",289886.220036,678406.711810,,0.000000,,,,0.000000,0.000000,,"",,,
"64403600000029","Nodes","29",21.000000,29.208728,"Default Known Flow Node","Known Flow",289878.095034,678424.961815,,0.000000,,,,0.000000,0.000000,,"",,,
"64403600000027","Nodes","27",21.000000,29.208728,"DDS demands","Known Flow",289853.220027,678400.461808,,0.000000,,-6.370000,,-5.696168,-6.370000,,"",,"D1 PROFILE",
"64403610000054","Nodes","P14134565, GLENBURN ROAD CSEP, 22.62 SCMH",24.000000,27.909913,"CSEP Unmatched","Known Flow",289676.088432,678368.488057,,0.000000,,,-22.620000,-20.227208,-22.620000,,"",,,"DC PROFILE"
