"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64304210001953","Nodes","-16","21.000000","37.833537","Default Known Flow Node","Known Flow","333959.603581","663331.291329","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64304200000866","Nodes","866","21.000000","32.937255","DDS demands","Known Flow","334099.354805","663318.332915","","0.000000","","","","-8.499999","","","","","","","","-7.600850","-8.499999","","","","","","D1 PROFILE","","","","","","",""
"64304200000037","Nodes","37","21.000000","47.894003","DDS demands","Known Flow","333743.981970","664716.833085","","0.000000","-6.630000","","","-5.429999","","","","","","","","-10.784266","-12.059999","","","C1 PROFILE","","","D1 PROFILE","","","","","","",""
"64304210001977","Nodes","-220","21.000000","47.937561","Default Known Flow Node","Known Flow","333199.640344","664585.944756","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64304200001016","Nodes","1016","21.000000","47.980075","Default Known Flow Node","Known Flow","333201.173227","664589.810287","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64304200000001","Nodes","Bryans Road DG, Tel, Profiled, Site ID 6084","21.000000","47.999998","Default Known Pressure Node","Known Pressure","333199.606822","664590.708051","","999998.967025","","","","","","","","","","","","1314.473303","1469.970060","","","","","","","","","","","","",""
"64304200000031","Nodes","31","21.000000","47.536768","DDS demands","Known Flow","333267.106841","664584.708049","","0.000000","","","","-1.200000","","","","","","","","-1.073061","-1.200000","","","","","","D1 PROFILE","","","","","","",""
"64304200001013","Nodes","P11126144, CSEP, LANGLAW RD, -95.82 SCMH","24.000000","27.637268","CSEP DDS Matched","Known Flow","334810.054219","665648.181400","","0.000000","","","","","-74.589996","","","","","","","-66.699703","-74.589996","","","","","","","DC PROFILE","","","","","",""
"64304200000768","Nodes","768","21.000000","38.867153","Default Known Flow Node","Known Flow","334621.107209","664666.583071","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64304200001012","Nodes","P11128045 / P09122599, CSEP, SUTTIESLEA RD, - 49.02 SCMH","25.000000","46.576849","CSEP DDS Matched","Known Flow","334101.307908","664703.358958","","0.000000","","","","","-49.019999","","","","","","","-43.834557","-49.019999","","","","","","","DC PROFILE","","","","","",""
"64304210001801","Nodes","-1462494","21.000000","38.867153","Default Known Flow Node","Known Flow","334628.857211","664698.958080","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64304200000570","Nodes","570","21.000000","35.319598","DDS demands","Known Flow","335182.673330","664579.905620","","0.000000","","","","-8.479999","","","","","","","","-7.582966","-8.479999","","","","","","D1 PROFILE","","","","","","",""
"64304200000571","Nodes","571","21.000000","36.315567","Default Known Flow Node","Known Flow","335071.357332","664753.708095","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64304210001778","Nodes","-128","21.000000","42.672306","Default Known Flow Node","Known Flow","333344.169271","664194.416984","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64304210001777","Nodes","-126","21.000000","42.084046","Default Known Flow Node","Known Flow","333314.094853","664183.119940","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64304210001865","Nodes","","21.000000","41.965061","DDS demands","Known Flow","333305.805851","664186.123941","","0.000000","-93.339997","","","","","","","","","","","-83.466285","-93.339997","","","C1 PROFILE","","","","","","","","","",""
"64304200000585","Nodes","585","21.000000","47.516792","DDS demands","Known Flow","333234.188832","664596.414052","","0.000000","","","","-4.409999","","","","","","","","-3.943500","-4.409999","","","","","","D1 PROFILE","","","","","","",""
"64304210001982","Nodes","-232","21.000000","47.516496","Default Known Flow Node","Known Flow","333237.290043","664608.743236","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64304200000035","Nodes","35","21.000000","47.516142","DDS demands","Known Flow","333241.011834","664623.546060","","0.000000","","","-3.609999","-2.710000","","","","-3.020000","","","","-8.351994","-9.339999","","","","","C4 PROFILE","D1 PROFILE","","","","I2 PROFILE","","",""
"64304200000231","Nodes","231","21.000000","33.257759","DDS demands","Known Flow","334882.369149","665201.194101","","0.000000","","","","-5.310000","","","","","","","","-4.748296","-5.310000","","","","","","D1 PROFILE","","","","","","",""
"64304200000501","Nodes","501","21.000000","33.354934","DDS demands","Known Flow","334897.848233","665182.579537","","0.000000","","","","-10.609999","","","","","","","","-9.487649","-10.609999","","","","","","D1 PROFILE","","","","","","",""
"64304210002030","Nodes","-349","21.000000","33.387482","Default Known Flow Node","Known Flow","334902.833286","665176.405210","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64304200000233","Nodes","233","21.000000","33.077241","Default Known Flow Node","Known Flow","334850.987597","665175.275824","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64304200000340","Nodes","340","21.000000","33.077241","Default Known Flow Node","Known Flow","334839.736646","665205.399577","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64304210002032","Nodes","-352","21.000000","33.077241","Default Known Flow Node","Known Flow","334834.658267","665212.985220","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64304200000232","Nodes","232","21.000000","33.091398","Default Known Flow Node","Known Flow","334860.097337","665183.005858","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64304200000240","Nodes","240","21.000000","34.141145","DDS demands","Known Flow","335061.482329","665033.208171","","0.000000","","","","-4.940000","","","","","","","","-4.417436","-4.940000","","","","","","D1 PROFILE","","","","","","",""
"64304200000241","Nodes","241","21.000000","33.555209","DDS demands","Known Flow","335059.076319","665099.210564","","0.000000","","","","-8.749999","","","","","","","","-7.824405","-8.749999","","","","","","D1 PROFILE","","","","","","",""
"64304200000243","Nodes","243","21.000000","33.350050","DDS demands","Known Flow","335041.409837","665126.517042","","0.000000","","","","-6.989999","","","","","","","","-6.250582","-6.989999","","","","","","D1 PROFILE","","","","","","",""
"64304200000244","Nodes","244","21.000000","32.988126","DDS demands","Known Flow","335020.857318","665153.583204","","0.000000","","","","-10.289999","","","","","","","","-9.201501","-10.289999","","","","","","D1 PROFILE","","","","","","",""
"64304200000724","Nodes","724","21.000000","27.384717","Default Known Flow Node","Known Flow","334889.951282","665300.783244","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64304200001004","Nodes","Logger 9736, 5 Lawfield Road","21.000000","27.261351","Default Known Flow Node","Known Flow","334890.764390","665306.022012","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64304200000674","Nodes","674","21.000000","26.039170","Default Known Flow Node","Known Flow","334883.607281","665349.708257","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64304200000676","Nodes","676","21.000000","22.607448","DDS demands","Known Flow","334872.232277","665467.833289","","0.000000","","","","-23.620001","","","","","","","","-21.121424","-23.620001","","","","","","D1 PROFILE","","","","","","",""
"64304200001014","Nodes","1014","21.000000","23.761209","Default Known Flow Node","Known Flow","334901.355477","665447.585406","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64304200001010","Nodes","Logger 9561, 50 The Crescent, Gowkshill","21.000000","31.784754","Default Known Flow Node","Known Flow","334098.788591","663265.460528","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
