"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"64404600001434","Nodes","1434",21.000000,30.641192,"DDS demands","Known Flow",276833.375000,662901.375000,,0.000000,-16.459998,,,-30.320000,,,,,-41.831511,-46.779999,,"","C1 PROFILE",,,"D1 PROFILE",,,,
"644046-308350","Nodes","-308350",21.000000,30.624250,"Default Known Flow Node","Known Flow",276853.875000,662910.000000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404600004510","Nodes","4510",21.000000,30.643768,"Default Known Flow Node","Known Flow",276831.875000,662904.750000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404600002597","Nodes","2597",21.000000,32.683761,"DDS demands","Known Flow",276771.875000,662829.625000,,0.000000,,,,-39.549999,,,,,-35.366318,-39.549999,,"",,,,"D1 PROFILE",,,,
"64404600001420","Nodes","1420",21.000000,30.386863,"DDS demands","Known Flow",276859.625000,662756.125000,,0.000000,,,,-18.170000,,,,,-16.247939,-18.170000,,"",,,,"D1 PROFILE",,,,
"644046-308352","Nodes","-308352",21.000000,30.389388,"Default Known Flow Node","Known Flow",276858.625000,662762.125000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404600000900","Nodes","900",21.000000,25.588156,"DDS demands","Known Flow",276999.625000,662977.625000,,0.000000,-4.750000,,,-4.619999,,,,,-8.378821,-9.369999,,"","C1 PROFILE",,,"D1 PROFILE",,,,
"64404600004508","Nodes","4508",21.000000,25.588156,"Default Known Flow Node","Known Flow",276996.875000,662993.500000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64404600001435","Nodes","1435",21.000000,30.626479,"DDS demands","Known Flow",276904.250000,662921.000000,,0.000000,,,,-3.250000,,,,,-2.906208,-3.250000,,"",,,,"D1 PROFILE",,,,
"644046-308389","Nodes","-308389",21.000000,30.720336,"Default Known Flow Node","Known Flow",276900.250000,662931.375000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
