"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"644046-308309","Nodes","-308309",21.000000,32.773498,"Default Known Flow Node","Known Flow",276807.250000,662619.875000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308303","Nodes","-308303",21.000000,31.754154,"Default Known Flow Node","Known Flow",276800.875000,662805.625000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308313","Nodes","-308313",21.000000,32.836700,"Default Known Flow Node","Known Flow",276810.625000,662600.125000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308311","Nodes","-308311",21.000000,31.570973,"Default Known Flow Node","Known Flow",276808.625000,662862.000000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308322","Nodes","-308322",21.000000,31.570973,"Default Known Flow Node","Known Flow",276817.125000,662864.000000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308306","Nodes","-308306",21.000000,31.570973,"Default Known Flow Node","Known Flow",276803.375000,662861.125000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308308","Nodes","-308308",21.000000,32.889301,"Default Known Flow Node","Known Flow",276806.250000,662785.375000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308314","Nodes","-308314",21.000000,32.754759,"Default Known Flow Node","Known Flow",276810.875000,662760.750000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308337","Nodes","-308337",21.000000,32.976512,"Default Known Flow Node","Known Flow",276838.125000,662604.125000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308330","Nodes","-308330",21.000000,31.488672,"Default Known Flow Node","Known Flow",276825.625000,662816.875000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308326","Nodes","-308326",21.000000,32.774092,"Default Known Flow Node","Known Flow",276821.375000,662700.250000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308320","Nodes","-308320",21.000000,32.905755,"Default Known Flow Node","Known Flow",276815.000000,662735.500000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308327","Nodes","-308327",21.000000,30.629966,"Default Known Flow Node","Known Flow",276822.125000,662883.125000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308324","Nodes","-308324",21.000000,30.629966,"Default Known Flow Node","Known Flow",276819.250000,662892.000000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308328","Nodes","-308328",21.000000,30.629966,"Default Known Flow Node","Known Flow",276823.000000,662876.250000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308329","Nodes","-308329",21.000000,33.065236,"Default Known Flow Node","Known Flow",276825.625000,662676.250000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308332","Nodes","-308332",21.000000,32.928576,"Default Known Flow Node","Known Flow",276831.125000,662644.000000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308334","Nodes","-308334",21.000000,32.976512,"Default Known Flow Node","Known Flow",276834.875000,662621.375000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308346","Nodes","-308346",21.000000,32.976512,"Default Known Flow Node","Known Flow",276847.875000,662589.375000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308355","Nodes","-308355",21.000000,30.806800,"Default Known Flow Node","Known Flow",276863.125000,662882.625000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308340","Nodes","-308340",21.000000,30.389388,"Default Known Flow Node","Known Flow",276841.000000,662759.500000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308338","Nodes","-308338",21.000000,30.389388,"Default Known Flow Node","Known Flow",276839.375000,662767.875000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308341","Nodes","-308341",21.000000,30.389388,"Default Known Flow Node","Known Flow",276842.250000,662752.000000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308344","Nodes","-308344",21.000000,30.266653,"Default Known Flow Node","Known Flow",276846.625000,662719.750000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308345","Nodes","-308345",21.000000,30.266653,"Default Known Flow Node","Known Flow",276847.750000,662711.125000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308343","Nodes","-308343",21.000000,30.407243,"Default Known Flow Node","Known Flow",276844.625000,662727.250000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308347","Nodes","-308347",21.000000,30.499538,"Default Known Flow Node","Known Flow",276852.000000,662801.125000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308333","Nodes","-308333",21.000000,30.499538,"Default Known Flow Node","Known Flow",276834.625000,662798.000000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308371","Nodes","-308371",21.000000,30.499538,"Default Known Flow Node","Known Flow",276874.875000,662805.125000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308356","Nodes","-308356",21.000000,30.624250,"Default Known Flow Node","Known Flow",276864.625000,662896.250000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308351","Nodes","-308351",21.000000,30.656590,"Default Known Flow Node","Known Flow",276858.125000,662645.000000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308354","Nodes","-308354",21.000000,30.658435,"Default Known Flow Node","Known Flow",276860.875000,662628.625000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308370","Nodes","-308370",21.000000,30.613199,"Default Known Flow Node","Known Flow",276874.625000,662901.000000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308361","Nodes","-308361",21.000000,30.277529,"Default Known Flow Node","Known Flow",276868.126083,662704.875392,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"644046-308383","Nodes","-308383",21.000000,30.365703,"Default Known Flow Node","Known Flow",276891.500000,662716.875000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
