"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"64304700000357","Nodes","357",21.000000,49.603102,"DDS demands","Known Flow",312868.654290,581240.189370,,0.000000,,,,,-5.130000,,,,,,-4.587338,-5.130000,,"",,,,,"D1 PROFILE",,,,,
"64304700000356","Nodes","356",21.000000,49.653510,"DDS demands","Known Flow",312819.945277,581213.612363,,0.000000,,,,,-6.260000,,,,,,-5.597804,-6.260000,,"",,,,,"D1 PROFILE",,,,,
"64304700001006","Nodes","1006",21.000000,31.362635,"Default Known Flow Node","Known Flow",313619.820770,581468.758772,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64304700001004","Nodes","1004",21.000000,31.350378,"DDS demands","Known Flow",313620.110451,581469.881597,,0.000000,-99.999997,,,0.000000,,,,,,,-89.421791,-99.999997,,"","C1 PROFILE",,,"C4 PROFILE",,,,,,
"64304700011051","Nodes",,21.000000,31.284076,"Default Known Flow Node","Known Flow",313623.199743,581482.887724,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64304700001008","Nodes","P09120398, Rosebank Place CSEP, -7.19",22.999998,23.289824,"CSEP DDS Matched","Known Flow",313930.632568,581372.800953,,0.000000,,,,,,-7.190000,,,,,-6.429426,-7.190000,,"",,,,,,"DC PROFILE",,,,
"64304700000288","Nodes","288,",21.000000,32.003962,"Default Known Flow Node","Known Flow",313794.803029,582758.982194,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64304700011017","Nodes","-1446110",21.000000,33.455095,"Default Known Flow Node","Known Flow",313818.101548,582750.060781,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64304700011090","Nodes","-400222",21.000000,29.121755,"Default Known Flow Node","Known Flow",313690.160598,582743.134770,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64304700011023","Nodes","-247646",21.000000,26.501974,"DDS demands","Known Flow",313322.524414,582064.767595,,0.000000,,,,,-10.069999,,,,,,-9.004774,-10.069999,,"",,,,,"D1 PROFILE",,,,,
"64304700001000","Nodes","Logger 10023, 20 Kintail Park",21.000000,26.797374,"Val Log Cath","Known Flow",313354.805203,582070.979899,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64304700011077","Nodes",,21.000000,27.129906,"DDS demands","Known Flow",313412.301106,582010.066685,,0.000000,,,,,-7.970000,,,,,,-7.126916,-7.970000,,"",,,,,"D1 PROFILE",,,,,
"64304700011049","Nodes","-248933",21.000000,31.743453,"Default Known Flow Node","Known Flow",313612.384719,581433.500200,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64304700011016","Nodes","Grant Avenue RRI",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",312827.754279,581176.074353,,499.999994,,,,,,,,,,,12.420687,13.890000,,"",,,,,,,,,,
"64304700000364","Nodes","364",21.000000,49.690172,"DDS demands","Known Flow",312816.615276,581226.270367,,0.000000,,,,,-2.499999,,,,,,-2.235544,-2.499999,,"",,,,,"D1 PROFILE",,,,,
"64304700000324","Nodes","324",21.000000,48.993612,"DDS demands","Known Flow",313069.719345,581195.311358,,0.000000,,,,,-2.160000,,,,,,-1.931510,-2.160000,,"",,,,,"D1 PROFILE",,,,,
"64304700000327","Nodes",,21.000000,48.318894,"DDS demands","Known Flow",313012.433131,581104.205486,,0.000000,,,,,-2.480000,,,,,,-2.217660,-2.480000,,"",,,,,"D1 PROFILE",,,,,
"64304700011041","Nodes","-248921",21.000000,30.024286,"Default Known Flow Node","Known Flow",313444.105837,581421.765234,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64304700000024","Nodes","24",21.000000,30.016858,"DDS demands","Known Flow",313442.640446,581424.625421,,0.000000,,,,-4.060000,-16.809999,,,,,,-18.662327,-20.869999,,"",,,,"C4 PROFILE","D1 PROFILE",,,,,
"64304700000213","Nodes","213",21.000000,29.545162,"Default Known Flow Node","Known Flow",313374.547428,581399.899414,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64304700000023","Nodes","23",21.000000,29.362686,"DDS demands","Known Flow",313326.826967,581378.566647,,0.000000,,,,,-7.070000,,,,,,-6.322121,-7.070000,,"",,,,,"D1 PROFILE",,,,,
"64304700011039","Nodes","-248918",21.000000,29.318911,"Default Known Flow Node","Known Flow",313323.828414,581377.145408,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64304700000325","Nodes","325",21.000000,48.770001,"DDS demands","Known Flow",313017.621331,581167.838351,,0.000000,,,,,-8.350000,,,,,,-7.466719,-8.350000,,"",,,,,"D1 PROFILE",,,,,
"64304700000330","Nodes","P00046981, Vallance Drive CSEP, -15.6",22.999998,54.087608,"CSEP DDS Matched","Known Flow",313124.864360,580927.221285,,0.000000,,,,,-12.610000,-15.599999,,,,,-25.225887,-28.210000,,"",,,,,"D1 PROFILE","DC PROFILE",,,,
"64304700000268","Nodes","268",21.000000,24.700580,"Default Known Flow Node","Known Flow",313981.771588,581441.668711,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64304700000071","Nodes","71",21.000000,32.794015,"DDS demands","Known Flow",313610.223345,581341.838401,,0.000000,,,,,-4.269999,,,,,,-3.818310,-4.269999,,"",,,,,"D1 PROFILE",,,,,
"64304700011050","Nodes","-248934",21.000000,32.783838,"Default Known Flow Node","Known Flow",313613.897550,581341.613308,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64304700011052","Nodes","-248944",21.000000,31.203397,"Default Known Flow Node","Known Flow",313624.768496,581494.021439,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64304700000235","Nodes","235",21.000000,31.143452,"DDS demands","Known Flow",313625.270895,581495.769625,,0.000000,-62.849998,,-1.909999,-5.039999,-5.409999,,,,,,-67.254125,-75.209995,,"","C1 PROFILE",,"C3  PROFILE","C4 PROFILE","D1 PROFILE",,,,,
"64304700000073","Nodes","73",21.000000,34.908733,"DDS demands","Known Flow",313635.972499,581127.314340,,0.000000,,,,,-0.699999,,,,,,-0.625952,-0.699999,,"",,,,,"D1 PROFILE",,,,,
