"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"64402400000085","Nodes","85","21.000000","36.565089","DDS demands","Known Flow","285365.276806","696482.762729","","0.000000","","","","","-12.279999","","","","","-10.980995","-12.279999","","","","","","","D1 PROFILE","","","",""
"64402400000081","Nodes","81","21.000000","36.562759","DDS demands","Known Flow","285329.354796","696480.351728","","0.000000","","","","","-6.040000","","","","","-5.401076","-6.040000","","","","","","","D1 PROFILE","","","",""
"64402400002510","Nodes","-4904546","21.000000","49.419736","Default Known Flow Node","Known Flow","283888.169541","696863.297106","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64402400002388","Nodes","-10","21.000000","24.747450","DDS demands","Known Flow","285880.278601","696454.639313","","0.000000","","","","","","","","-38.620000","","-34.534695","-38.620000","","","","","","","","","","I2 PROFILE",""
"64402400000335","Nodes","335","21.000000","24.301010","Default Known Flow Node","Known Flow","285920.545869","696535.642003","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64402400000200","Nodes","","21.000000","43.931502","DDS demands","Known Flow","285089.529731","696965.894860","","0.000000","-16.829999","","","","","","","","","-15.049686","-16.829999","","","C1 PROFILE","","","","","","","",""
"64402400002470","Nodes","-157","21.000000","43.946050","Default Known Flow Node","Known Flow","285091.006428","696965.930020","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64402400000199","Nodes","199","21.000000","43.764373","Default Known Flow Node","Known Flow","285085.909246","696965.558404","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64402400000080","Nodes","80","21.000000","36.562554","DDS demands","Known Flow","285278.511783","696477.391727","","0.000000","","","","","-3.790000","","","","","-3.389085","-3.790000","","","","","","","D1 PROFILE","","","",""
"64402400000082","Nodes","82","21.000000","36.512240","DDS demands","Known Flow","285356.392804","696404.662708","","0.000000","","","","","-15.649999","","","","","-13.994510","-15.649999","","","","","","","D1 PROFILE","","","",""
"64402400000084","Nodes","84","21.000000","36.502533","DDS demands","Known Flow","285439.511826","696410.996709","","0.000000","","","","","-7.179999","","","","","-6.420484","-7.179999","","","","","","","D1 PROFILE","","","",""
"64402400000083","Nodes","83","21.000000","36.469488","DDS demands","Known Flow","285372.807808","696372.749699","","0.000000","","","","","-2.180000","","","","","-1.949395","-2.180000","","","","","","","D1 PROFILE","","","",""
"64402400000086","Nodes","86","21.000000","36.439882","DDS demands","Known Flow","285531.533851","696472.123726","","0.000000","","","","","-28.850001","","","","","-25.798188","-28.850001","","","","","","","D1 PROFILE","","","",""
"64402400002481","Nodes","-2","21.000000","31.350812","Default Known Flow Node","Known Flow","285706.510589","696371.864735","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64402400002501","Nodes","-3","21.000000","27.942042","Default Known Flow Node","Known Flow","285817.515768","696374.501707","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64402400002427","Nodes","-1462476","21.000000","27.974904","Default Known Flow Node","Known Flow","285816.324929","696374.554699","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64402400000021","Nodes","21","21.000000","49.335670","DDS demands","Known Flow","283949.231591","696871.633216","","0.000000","","","","","-4.559999","","","","","-4.077633","-4.559999","","","","","","","D1 PROFILE","","","",""
"64402400002527","Nodes","-99","21.000000","36.138472","Default Known Flow Node","Known Flow","284945.343692","696863.926833","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64402400002453","Nodes","-1462566","21.000000","36.138472","Default Known Flow Node","Known Flow","284952.593694","696851.426829","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64402400000038","Nodes","","21.000000","35.757558","DDS demands","Known Flow","284723.863632","696953.940857","","0.000000","","","","","-11.910000","","","-6.000000","","-16.015443","-17.910000","","","","","","","D1 PROFILE","","","I2 PROFILE",""
"64402400002416","Nodes","-134","21.000000","35.605675","Default Known Flow Node","Known Flow","284724.485632","696941.075854","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64402400000024","Nodes","24","21.000000","34.361806","DDS demands","Known Flow","284727.897633","696879.693837","","0.000000","","","","","-1.980000","","","","","-1.770551","-1.980000","","","","","","","D1 PROFILE","","","",""
"64402400002395","Nodes","-107","21.000000","34.322863","Default Known Flow Node","Known Flow","284713.127629","696878.043836","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64402400002394","Nodes","-106","21.000000","34.320330","Default Known Flow Node","Known Flow","284728.103450","696876.705093","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64402400000027","Nodes","27","21.000000","33.826272","DDS demands","Known Flow","284596.280597","696864.322833","","0.000000","","","","","-8.539999","","","","","-7.636620","-8.539999","","","","","","","D1 PROFILE","","","",""
"64402400002400","Nodes","-112","21.000000","33.869201","Default Known Flow Node","Known Flow","284594.561596","696890.801840","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64402400000029","Nodes","29","21.000000","32.250649","DDS demands","Known Flow","284553.371721","696789.565639","","0.000000","","","","","-11.379999","","","","","-10.176199","-11.379999","","","","","","","D1 PROFILE","","","",""
