"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"64301400000649","Nodes",,21.000000,27.183501,"DDS demands","Known Flow",298951.349503,676349.069250,,0.000000,,,,,,-6.000000,,,,,-5.365307,-6.000000,,"",,,,,,"D1 PROFILE",,,,
"64301400000636","Nodes","636",21.000000,27.234633,"Default Known Flow Node","Known Flow",298953.467504,676319.838242,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64301400000707","Nodes","707",21.000000,27.198105,"DDS demands","Known Flow",298975.323510,676187.836206,,0.000000,,,,,,-1.339999,,,,,-1.198251,-1.339999,,"",,,,,,"D1 PROFILE",,,,
"64301400000708","Nodes","708",21.000000,27.343469,"DDS demands","Known Flow",298957.571505,676171.251202,,0.000000,,,,,,-35.330001,,,,,-31.592719,-35.330001,,"",,,,,,"D1 PROFILE",,,,
"64301400000650","Nodes","650",21.000000,27.058483,"DDS demands","Known Flow",298962.047506,676405.542266,,0.000000,,,,,,-5.639999,,,,,-5.043388,-5.639999,,"",,,,,,"D1 PROFILE",,,,
"64301400000637","Nodes","637",21.000000,27.082021,"Default Known Flow Node","Known Flow",298920.296059,676383.082951,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64301400000644","Nodes","644",21.000000,26.677242,"Default Known Flow Node","Known Flow",298745.415215,676467.089991,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64301400000639","Nodes","639",21.000000,26.911768,"Default Known Flow Node","Known Flow",298795.218796,676453.910974,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64301400000645","Nodes","645",21.000000,26.570845,"DDS demands","Known Flow",298751.219449,676423.097270,,0.000000,,,,,,-21.040001,,,,,-18.814344,-21.040001,,"",,,,,,"D1 PROFILE",,,,
"64301400000638","Nodes","638",21.000000,27.059617,"Default Known Flow Node","Known Flow",298869.606624,676407.231326,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64301400000646","Nodes","646",21.000000,27.061074,"Default Known Flow Node","Known Flow",298831.896411,676346.301161,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64301401462645","Nodes","1462645",21.000000,27.125870,"Default Known Flow Node","Known Flow",298901.442150,676334.738601,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64301400001783","Nodes","1783",21.000000,26.574940,"Default Known Flow Node","Known Flow",298749.502581,676423.435097,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64301401462700","Nodes","1462700",21.000000,26.570845,"Default Known Flow Node","Known Flow",298761.397669,676388.299836,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64301400001610","Nodes","1610",21.000000,26.683376,"Default Known Flow Node","Known Flow",298749.405552,676467.025963,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64301400001611","Nodes","1611",21.000000,26.719041,"DDS demands","Known Flow",298791.178463,676489.018484,,0.000000,,,,,,-3.739999,,,,,-3.344374,-3.739999,,"",,,,,,"D1 PROFILE",,,,
"64301401462864","Nodes","1462864",21.000000,26.723648,"Default Known Flow Node","Known Flow",298816.868710,676490.001575,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64301400001648","Nodes","1648",21.000000,27.198805,"Default Known Flow Node","Known Flow",298976.296510,676189.806207,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64301400000706","Nodes","706",21.000000,27.183224,"DDS demands","Known Flow",298973.040509,676235.725219,,0.000000,,,,,,-1.529999,,,,,-1.368153,-1.529999,,"",,,,,,"D1 PROFILE",,,,
"64301400001716","Nodes","1716",21.000000,27.195349,"Default Known Flow Node","Known Flow",298958.910505,676299.259237,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64301401462773","Nodes","1462773",21.000000,27.151504,"Default Known Flow Node","Known Flow",298991.893514,676304.152238,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64301400000668","Nodes","668",21.000000,34.549678,"Default Known Flow Node","Known Flow",298673.483427,676460.484281,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
