"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-PL)"
"64306000000367","Nodes","-164",21.000000,23.676502,"Default Known Flow Node","Known Flow",311917.230000,672593.335000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000042","Nodes","42",21.000000,23.760896,"DDS demands","Known Flow",311924.855000,672511.335000,,0.000000,,,,,-2.409999,,-2.155065,-2.409999,,"",,,,,"",
"64306000000368","Nodes","-165",21.000000,23.682775,"Default Known Flow Node","Known Flow",311922.855000,672593.960000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000040","Nodes","40",21.000000,23.696150,"DDS demands","Known Flow",311924.855000,672576.960000,,0.000000,,,,,-8.600000,,-7.690274,-8.600000,,"",,,,,"",
"64306000000037","Nodes","37",21.000000,23.811303,"DDS demands","Known Flow",312053.980000,672580.835000,,0.000000,,,,,-12.749999,,-11.401277,-12.749999,,"",,,,,"",
"64306000000038","Nodes","38",21.000000,23.736115,"DDS demands","Known Flow",312047.355000,672640.710000,,0.000000,,,,,-12.210000,,-10.918401,-12.210000,,"",,,,,"",
"64306000000029","Nodes","29",21.000000,24.099480,"DDS demands","Known Flow",312154.480000,672692.335000,,0.000000,,,-6.000000,,-10.199999,,-14.486329,-16.200000,,"",,,"",,"",
"64306000000030","Nodes","30",21.000000,23.511226,"DDS demands","Known Flow",312054.105000,672700.585000,,0.000000,,,,,-9.479999,,-8.477185,-9.479999,,"",,,,,"",
"64306000000361","Nodes","-1462592",21.000000,23.866459,"Default Known Flow Node","Known Flow",312149.730000,672644.835000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000031","Nodes","31",21.000000,23.866459,"DDS demands","Known Flow",312149.855000,672640.835000,,0.000000,,,,,-3.420000,,-3.058225,-3.420000,,"",,,,,"",
"64306000000365","Nodes","-1462612",21.000000,21.421295,"Default Known Flow Node","Known Flow",312196.855000,672665.960000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000109","Nodes","109",21.000000,21.421295,"DDS demands","Known Flow",312215.980000,672666.960000,,0.000000,,,-9.960000,,-5.339999,,-13.681533,-15.300000,,"",,,"",,"",
"64306000000366","Nodes","-1462618",21.000000,23.736115,"Default Known Flow Node","Known Flow",312062.230000,672641.960000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000036","Nodes","36",21.000000,23.915861,"Default Known Flow Node","Known Flow",312146.730000,672534.710000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000357","Nodes","-1462563",21.000000,23.915861,"Default Known Flow Node","Known Flow",312140.730000,672533.585000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000035","Nodes","35",21.000000,23.871950,"DDS demands","Known Flow",312146.730000,672590.085000,,0.000000,-3.170000,,,,,,-2.834670,-3.170000,,"","",,,,,
"64306000000033","Nodes","33",21.000000,23.894639,"DDS demands","Known Flow",312148.480000,672621.960000,,0.000000,-6.000000,,,,,,-5.365307,-6.000000,,"","",,,,,
"64306000000110","Nodes","110",21.000000,22.009759,"DDS demands","Known Flow",311965.480000,672716.460000,,0.000000,-11.660000,,,,-6.079999,,-15.863425,-17.739999,,"","",,,,"",
"64306000000105","Nodes","105",21.000000,26.958250,"DDS demands","Known Flow",312148.605000,672812.210000,,0.000000,,,,,-5.590000,,-4.998678,-5.590000,,"",,,,,"",
"64306000000106","Nodes","106",21.000000,26.840309,"DDS demands","Known Flow",312099.855000,672848.835000,,0.000000,,,,,-4.110000,,-3.675235,-4.110000,,"",,,,,"",
"64306000000372","Nodes","-261",21.000000,24.153067,"DDS demands","Known Flow",312154.605000,672697.960000,,0.000000,,,,,-0.850000,,-0.760085,-0.850000,,"",,,,,"D1 PROFILE",
"64306000000107","Nodes","107",21.000000,21.758660,"DDS demands","Known Flow",312216.730000,672697.835000,,0.000000,,,,,-1.460000,,-1.305558,-1.460000,,"",,,,,"",
"64306000000108","Nodes","108",21.000000,21.618895,"DDS demands","Known Flow",312320.230000,672686.085000,,0.000000,-1.350000,,,,-2.939999,,-3.836194,-4.289999,,"","",,,,"",
"64306000000355","Nodes","-1462549",21.000000,21.421295,"Default Known Flow Node","Known Flow",312240.980000,672667.460000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000370","Nodes","-250",21.000000,21.618895,"Default Known Flow Node","Known Flow",312319.230000,672675.960000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000104","Nodes","104",21.000000,27.452515,"Default Known Flow Node","Known Flow",312174.980000,672839.335000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000371","Nodes",,21.000000,21.815467,"Default Known Flow Node","Known Flow",312213.730000,672697.835000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000111","Nodes",,21.000000,21.099165,"DDS demands","Known Flow",312274.480000,672699.710000,,0.000000,0.000000,,,,,,0.000000,0.000000,,"","C1 PROFILE",,,,,
"64306000000369","Nodes","-231",21.000000,21.662962,"Default Known Flow Node","Known Flow",312310.105000,672657.085000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000350","Nodes","-124",21.000000,24.954832,"Default Known Flow Node","Known Flow",312699.730000,672506.210000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000045","Nodes","45",21.000000,24.999896,"DDS demands","Known Flow",312770.105000,672505.585000,,0.000000,,,,,-3.800000,,-3.398028,-3.800000,,"",,,,,"",
"64306000000002","Nodes","LOCHEND IND ESTATE DG, Tel, Site ID 5984",21.000000,24.999999,"Default Known Pressure Node","Known Pressure",312769.605000,672509.460000,,999998.967025,,,,,,,10.498118,11.740000,,"",,,,,,
"64306000000044","Nodes","44",21.000000,24.999896,"Default Known Flow Node","Known Flow",312795.230000,672504.585000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000060","Nodes","60",21.000000,29.773837,"DDS demands","Known Flow",313359.480000,672532.960000,,0.000000,,,,,-6.300000,,-5.633573,-6.300000,,"",,,,,"",
"64306000000058","Nodes","58",21.000000,29.825603,"DDS demands","Known Flow",313264.730000,672542.335000,,0.000000,,,,,-11.989999,,-10.721671,-11.989999,,"",,,,,"",
"64306000000059","Nodes","59",21.000000,29.821206,"DDS demands","Known Flow",313238.605000,672544.835000,,0.000000,,,,,-8.790000,,-7.860175,-8.790000,,"",,,,,"",
"64306000000380","Nodes","-300",21.000000,23.366258,"Default Known Flow Node","Known Flow",314473.230000,672892.960000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000381","Nodes","-301",21.000000,23.366258,"Default Known Flow Node","Known Flow",314483.105000,672897.210000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000123","Nodes","123",21.000000,23.418647,"DDS demands","Known Flow",314485.230000,672866.210000,,0.000000,-102.889995,,-5.539999,,,,-96.960042,-108.429997,,"","",,"",,,
"64306000000124","Nodes","124",21.000000,23.462575,"Default Known Flow Node","Known Flow",314406.105000,672814.585000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000121","Nodes","121",21.000000,23.601142,"DDS demands","Known Flow",314498.605000,672805.835000,,0.000000,,,,,-0.810000,,-0.724316,-0.810000,,"",,,,,"",
"64306000000374","Nodes","-276",21.000000,23.645063,"Default Known Flow Node","Known Flow",314460.480000,672785.210000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000122","Nodes","122",21.000000,23.601142,"Default Known Flow Node","Known Flow",314493.480000,672776.210000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000375","Nodes","-277",21.000000,23.601142,"Default Known Flow Node","Known Flow",314485.980000,672786.210000,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64306000000006","Nodes","ROYAL HIGHLAND SHOW DG, Clocked, Tel, Site ID 5957",21.000000,24.999999,"Default Known Pressure Node","Known Pressure",314418.980000,672538.710000,,999998.967025,,,,,,,131.843483,147.439994,,"",,,,,,
