"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"64303600001354","Nodes","1354","21.000000","24.923410","Default Known Flow Node","Known Flow","348990.337473","682885.407178","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001453","Nodes","1453","21.000000","30.117765","Default Known Flow Node","Known Flow","348468.799784","682488.165499","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001380","Nodes","1380","21.000000","30.117765","Default Known Flow Node","Known Flow","348464.816304","682455.544898","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001404","Nodes","1404","21.000000","35.286541","Default Known Flow Node","Known Flow","348154.095066","683080.466924","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001362","Nodes","1362","21.000000","29.397437","Default Known Flow Node","Known Flow","348837.905078","682930.501041","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600000037","Nodes","37","21.000000","35.064955","DDS demands","Known Flow","348208.029906","682959.374049","","0.000000","","","","","-11.989999","","","","","-10.721671","-11.989999","","","","","","","D1 PROFILE","","","",""
"64303600001414","Nodes","1414","21.000000","35.412627","Default Known Flow Node","Known Flow","348206.776745","683202.513729","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001357","Nodes","1357","21.000000","29.322833","Default Known Flow Node","Known Flow","348818.296005","682917.504754","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001363","Nodes","1363","21.000000","30.117765","Default Known Flow Node","Known Flow","348486.003982","682516.270928","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001405","Nodes","1405","21.000000","35.320654","Default Known Flow Node","Known Flow","348155.867866","683085.218425","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600000099","Nodes","99","21.000000","35.286541","DDS demands","Known Flow","348155.552892","683081.271082","","0.000000","","","","","-24.639999","","","","","-22.033528","-24.639999","","","","","","","D1 PROFILE","","","",""
"64303600001437","Nodes","1437","21.000000","33.238376","Default Known Flow Node","Known Flow","347579.444727","682854.979758","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600000030","Nodes","30","21.000000","38.426609","DDS demands","Known Flow","347771.496590","682553.512661","","0.000000","","","","","-10.029999","","","","","-8.969005","-10.029999","","","","","","","D1 PROFILE","","","",""
"64303600001002","Nodes","Logger 9190, Edgehill, West Links Rd","21.000000","38.426609","Val Log Cath","Known Flow","347765.963786","682553.516939","","0.000000","","","","0.000000","","","","","","0.000000","0.000000","","","","","","C4 PROFILE","","","","",""
"64303600000448","Nodes","448","21.000000","29.340786","DDS demands","Known Flow","348818.817073","682925.805040","","0.000000","","","","","-2.059999","","","","","-1.842088","-2.059999","","","","","","","D1 PROFILE","","","",""
"64303600001359","Nodes","1359","21.000000","24.923410","Default Known Flow Node","Known Flow","348985.026118","682923.148039","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001396","Nodes","1396","21.000000","30.117765","Default Known Flow Node","Known Flow","348455.364656","682521.837585","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001356","Nodes","1356","21.000000","29.324678","Default Known Flow Node","Known Flow","348820.296073","682911.483036","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001383","Nodes","1383","21.000000","30.161045","Default Known Flow Node","Known Flow","348485.669982","682527.288931","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001361","Nodes","1361","21.000000","29.398472","Default Known Flow Node","Known Flow","348839.118332","682928.471612","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001417","Nodes","1417","21.000000","35.326741","Default Known Flow Node","Known Flow","348187.026423","683252.618905","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001461","Nodes","1461","21.000000","26.800464","Default Known Flow Node","Known Flow","348885.798448","682867.081212","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001004","Nodes","1004","21.000000","33.432334","Default Known Flow Node","Known Flow","348431.710354","682931.376618","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001003","Nodes","1003","21.000000","33.343875","Default Known Flow Node","Known Flow","348418.992964","682950.090046","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600000231","Nodes","P00094103/01, MUIRFIELD DRIVE, 45.10","24.000000","23.748432","CSEP DDS Matched","Known Flow","348947.897872","682721.976329","","0.000000","","","","","","-24.340000","","","","-21.765265","-24.340000","","","","","","","","DC PROFILE","","",""
"64303600001005","Nodes","1005","21.000000","39.095889","Default Known Flow Node","Known Flow","348222.040388","682680.920976","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001006","Nodes","1006","21.000000","33.368290","Default Known Flow Node","Known Flow","347530.942722","682851.418020","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001007","Nodes","1007","21.000000","33.238376","Default Known Flow Node","Known Flow","347575.672734","682853.342020","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001008","Nodes","1008","21.000000","36.475734","Default Known Flow Node","Known Flow","347549.167727","682725.090985","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001010","Nodes","1010","21.000000","33.238376","Default Known Flow Node","Known Flow","347595.572740","682862.424023","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001014","Nodes","1014","21.000000","40.254799","Default Known Flow Node","Known Flow","347927.940830","682635.958961","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001015","Nodes","1015","21.000000","40.838321","Default Known Flow Node","Known Flow","348038.702860","682643.213963","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001028","Nodes","1028","21.000000","32.499764","DDS demands","Known Flow","347795.225215","682939.932624","","0.000000","","","","","-1.019999","","","","","-0.912102","-1.019999","","","","","","","D1 PROFILE","","","",""
"64303600001021","Nodes","1021","21.000000","33.238376","Default Known Flow Node","Known Flow","347580.403736","682850.131019","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001022","Nodes","1022","21.000000","33.238376","Default Known Flow Node","Known Flow","347596.223740","682827.709013","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001009","Nodes","1009","21.000000","35.982192","Default Known Flow Node","Known Flow","347611.254744","682635.795961","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001024","Nodes","1024","21.000000","32.921401","Default Known Flow Node","Known Flow","347665.863469","682895.858110","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001056","Nodes","1056","21.000000","32.856027","DDS demands","Known Flow","347715.465772","682912.541036","","0.000000","","","-2.480000","","-11.839999","","","","","-12.805200","-14.320000","","","","","C3 PROFILE","","D1 PROFILE","","","",""
"64303600001025","Nodes","1025","21.000000","32.921401","Default Known Flow Node","Known Flow","347663.333758","682903.378034","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001027","Nodes","1027","21.000000","32.499764","Default Known Flow Node","Known Flow","347793.585794","682946.837046","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001037","Nodes","1037","21.000000","34.565368","Default Known Flow Node","Known Flow","347688.774765","682827.104013","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001039","Nodes","1039","21.000000","36.304594","Default Known Flow Node","Known Flow","347777.506789","682785.906002","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001044","Nodes","1044","21.000000","38.421283","Default Known Flow Node","Known Flow","347777.105831","682557.993155","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001046","Nodes","1046","21.000000","36.939926","Default Known Flow Node","Known Flow","348011.143853","682878.641027","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001057","Nodes","1057","21.000000","32.726343","Default Known Flow Node","Known Flow","347706.503770","682938.660043","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001058","Nodes","1058","21.000000","40.196562","Default Known Flow Node","Known Flow","347920.822828","682664.059969","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001061","Nodes","1061","21.000000","33.238376","Default Known Flow Node","Known Flow","347578.058735","682854.340020","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001062","Nodes","1062","21.000000","33.801709","Default Known Flow Node","Known Flow","347508.171716","682813.738009","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"64303600001069","Nodes","1069","21.000000","36.566113","Default Known Flow Node","Known Flow","348280.130926","682862.191023","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
