"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"64402500000160","Nodes","","21.000000","23.733212","Default Known Flow Node","Known Flow","275117.139018","646742.485194","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64402500001005","Nodes","","21.000000","23.687873","Default Known Flow Node","Known Flow","275090.076459","646713.634806","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64402500000578","Nodes","","21.000000","23.682122","DDS demands","Known Flow","275072.993364","646718.733315","","0.000000","","","","-5.379999","","","","","-4.810892","-5.379999","","","","","","D1 PROFILE","","","",""
"64402500000643","Nodes","","21.000000","27.858601","DDS demands","Known Flow","275670.879168","646760.890199","","0.000000","","","","-11.920000","","","","","-10.659077","-11.920000","","","","","","D1 PROFILE","","","",""
"64402500001004","Nodes","Logger 10402, 17 Angle Street","21.000000","27.875914","Val Log Cath","Known Flow","275677.042260","646767.344327","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64402500000322","Nodes","","21.000000","28.181062","DDS demands","Known Flow","275703.034809","646794.564306","","0.000000","","","","-0.649999","","","","","-0.581241","-0.649999","","","","","","D1 PROFILE","","","",""
"64402500000553","Nodes","","21.000000","33.027597","Default Known Flow Node","Known Flow","274469.195960","645586.754333","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64402500000118","Nodes","","21.000000","32.673506","DDS demands","Known Flow","274475.181481","645559.804076","","0.000000","","","","-7.869999","","","","","-7.037494","-7.869999","","","","","","D1 PROFILE","","","",""
"64402500000445","Nodes","","21.000000","35.746807","Default Known Flow Node","Known Flow","274665.631439","645824.300353","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64402500000144","Nodes","","21.000000","36.117546","DDS demands","Known Flow","274702.033307","645844.547687","","0.000000","","","","-8.479999","","","","","-7.582967","-8.479999","","","","","","D1 PROFILE","","","",""
"64402500000143","Nodes","","21.000000","35.583401","Default Known Flow Node","Known Flow","274662.423412","645809.140638","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64402500000639","Nodes","","21.000000","26.976807","Default Known Flow Node","Known Flow","275048.054505","646262.801762","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64402500000367","Nodes","","21.000000","26.952799","DDS demands","Known Flow","275054.920001","646271.944066","","0.000000","","","","-0.799999","","","","","-0.715374","-0.799999","","","","","","D1 PROFILE","","","",""
"64402500001000","Nodes","","21.000000","36.795120","Default Known Flow Node","Known Flow","274814.865668","645879.789816","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64402500000647","Nodes","","21.000000","38.287819","Default Known Flow Node","Known Flow","274818.235122","645909.946600","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"64402500000333","Nodes","","21.000000","33.405402","DDS demands","Known Flow","274574.145694","645654.847685","","0.000000","","","","-12.729999","","","","","-11.383393","-12.729999","","","","","","D1 PROFILE","","","",""
"64402500000653","Nodes","","21.000000","32.931722","Default Known Flow Node","Known Flow","274418.118367","645612.521981","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
