"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64304500002422","Nodes","2422","21.000000","56.829522","DDS demands","Known Flow","305567.220303","663952.979877","","0.000000","","","","","","","-1.510000","","","","","","","","-1.350269","-1.510000","","","","","","","","","D1 PROFILE","","","","","","",""
"64304500001269","Nodes","1269","21.000000","22.307334","DDS demands","Known Flow","305417.224262","665828.333387","","0.000000","","","","","","","-4.039999","","","","","","","","-3.612640","-4.039999","","","","","","","","","D1 PROFILE","","","","","","",""
"64304500001064","Nodes","","21.000000","22.218600","Default Known Flow Node","Known Flow","305413.029157","665814.838636","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"64304500001270","Nodes","1270","21.000000","21.892680","DDS demands","Known Flow","305375.224251","665799.458380","","0.000000","","","","","","","-4.190000","","","","","","","","-3.746773","-4.190000","","","","","","","","","D1 PROFILE","","","","","","",""
"64304500225761","Nodes","-225761","21.000000","33.301327","Default Known Flow Node","Known Flow","304273.473951","668883.084219","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"64304500001052","Nodes","1052,P08120231, Peel House, -35.17","24.000000","29.767487","CSEP DDS Matched","Known Flow","304816.023814","667985.821070","","0.000000","","","","","","","","-35.169998","","","","","","","-31.449643","-35.169998","","","","","","","","","","DC PROFILE","","","","","",""
"64304500001334","Nodes","1334","21.000000","33.973178","DDS demands","Known Flow","304316.223963","668910.334226","","0.000000","","","","","","","-11.579999","","","","","","","","-10.355043","-11.579999","","","","","","","","","D1 PROFILE","","","","","","",""
"64304500001935","Nodes","1935","21.000000","32.218138","DDS demands","Known Flow","303114.473636","668730.584177","","0.000000","","","","","","","-8.859999","","","","","","","","-7.922770","-8.859999","","","","","","","","","D1 PROFILE","","","","","","",""
"64304500001040","Nodes","1040, 178 Lenzie Avenue, ID9184","21.000000","32.588484","Val Log Cath","Known Flow","303084.817936","668725.244266","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"64304500001934","Nodes","1934","21.000000","32.651869","DDS demands","Known Flow","303066.223623","668718.084174","","0.000000","","","","","","","-17.799998","","","","","","","","-15.917077","-17.799998","","","","","","","","","D1 PROFILE","","","","","","",""
