"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"64305200002478","Nodes","-1462509","21.000000","40.882692","Default Known Flow Node","Known Flow","383851.794121","639487.547018","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64305200000049","Nodes","49","21.000000","25.786008","DDS demands","Known Flow","384735.658592","640446.745215","","0.000000","","","","","","-3.420000","0.000000","","","","","-3.058225","-3.420000","","","","","","","","D1 PROFILE","DC PROFILE","","","",""
"64305200002509","Nodes","-192","21.000000","25.411476","Default Known Flow Node","Known Flow","385226.804371","640925.851317","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64305200000231","Nodes","231","21.000000","28.389240","DDS demands","Known Flow","384095.863672","640216.073418","","0.000000","","","","","","-3.599999","","","","","","-3.219184","-3.599999","","","","","","","","D1 PROFILE","","","","",""
"64305200000234","Nodes","234","21.000000","32.419231","DDS demands","Known Flow","384163.536690","639875.666326","","0.000000","","","","","","-3.140000","","","","","","-2.807844","-3.140000","","","","","","","","D1 PROFILE","","","","",""
"64305200000229","Nodes","229","21.000000","28.386357","DDS demands","Known Flow","384019.439578","640225.061261","","0.000000","","","","","","-9.050000","","","","","","-8.092672","-9.050000","","","","","","","","D1 PROFILE","","","","",""
"64305200002511","Nodes","-25","21.000000","40.883058","Default Known Flow Node","Known Flow","383855.606037","639490.146964","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64305200000236","Nodes","236","21.000000","34.694660","DDS demands","Known Flow","384134.432124","639736.653776","","0.000000","","","","","","-17.139999","","","","","","-15.326894","-17.139999","","","","","","","","D1 PROFILE","","","","",""
"64305200000102","Nodes","102","21.000000","30.758615","DDS demands","Known Flow","383856.855804","639859.566778","","0.000000","","","","","","-6.820000","","","","","","-6.098566","-6.820000","","","","","","","","D1 PROFILE","","","","",""
"64305200002492","Nodes","-1462553","21.000000","30.800927","Default Known Flow Node","Known Flow","383816.741596","639989.169356","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64305200002461","Nodes","-117","21.000000","30.800927","Default Known Flow Node","Known Flow","383818.120596","639989.485357","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64305200002483","Nodes","-1462524","21.000000","36.683779","Default Known Flow Node","Known Flow","383950.078921","639569.378861","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64305200000239","Nodes","239","21.000000","36.636452","Default Known Flow Node","Known Flow","383952.497635","639569.263953","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64305200002489","Nodes","-1462542","21.000000","35.191215","Default Known Flow Node","Known Flow","383990.352643","639604.986252","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64305200002514","Nodes","-47","21.000000","35.191215","Default Known Flow Node","Known Flow","383989.704643","639603.628252","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64305200002513","Nodes","-46","21.000000","35.145557","Default Known Flow Node","Known Flow","383991.961644","639603.107251","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
