"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"64301800003656","Nodes","-220681","21.000000","26.977923","Default Known Flow Node","Known Flow","298391.847351","666071.958454","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800003657","Nodes","-220682","21.000000","26.977923","Default Known Flow Node","Known Flow","298393.597351","666058.083450","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800003665","Nodes","-220692","21.000000","28.798030","Default Known Flow Node","Known Flow","298469.847372","666064.083452","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000210","Nodes","210","21.000000","23.877050","DDS demands","Known Flow","298119.017405","666112.472532","","0.000000","","-22.860001","","","-13.359999","","-32.388573","-36.220001","","","","C2 PROFILE","","","D1 PROFILE",""
"64301800000211","Nodes","Logger, Blackburn Primary School,9340","21.000000","23.852803","DDS demands","Known Flow","298122.735714","666107.095095","","0.000000","","-8.949999","","","","","-8.003250","-8.949999","","","","C2 PROFILE","","","",""
"64301800000070","Nodes","70","21.000000","24.517756","DDS demands","Known Flow","298227.768306","666128.492469","","0.000000","","","","","-19.810000","","-17.714457","-19.810000","","","","","","","D1 PROFILE",""
"64301800000212","Nodes","212","21.000000","24.871276","DDS demands","Known Flow","298235.015255","666073.644485","","0.000000","","","","","-19.489999","","-17.428306","-19.489999","","","","","","","D1 PROFILE",""
"64301800003647","Nodes","-220668","21.000000","25.049271","Default Known Flow Node","Known Flow","298293.097324","666109.586464","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800003650","Nodes","-220673","21.000000","26.754112","Default Known Flow Node","Known Flow","298353.972340","666118.583466","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000213","Nodes","213","21.000000","25.261367","DDS demands","Known Flow","298298.684009","666072.965421","","0.000000","","","","","-16.280000","","-14.557867","-16.280000","","","","","","","D1 PROFILE",""
"64301800003648","Nodes","-220669","21.000000","25.049271","Default Known Flow Node","Known Flow","298305.096327","666111.583465","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000093","Nodes","93","21.000000","26.316635","DDS demands","Known Flow","298358.324342","665990.388432","","0.000000","","","","","-8.689999","","-7.770753","-8.689999","","","","","","","D1 PROFILE",""
"64301800003651","Nodes","-220675","21.000000","26.885527","Default Known Flow Node","Known Flow","298370.097345","666106.833463","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800003652","Nodes","-220676","21.000000","26.916638","Default Known Flow Node","Known Flow","298375.391605","666070.885358","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800003654","Nodes","","21.000000","26.977923","Default Known Flow Node","Known Flow","298377.452835","666055.502080","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800003661","Nodes","-220686","21.000000","27.059291","Default Known Flow Node","Known Flow","298407.097355","666007.583436","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800003660","Nodes","-220685","21.000000","26.977923","Default Known Flow Node","Known Flow","298395.472352","666042.083446","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000104","Nodes","104","21.000000","26.752933","DDS demands","Known Flow","298333.472335","666035.958444","","0.000000","","","","","-5.940000","","-5.311654","-5.940000","","","","","","","D1 PROFILE",""
"64301800003566","Nodes","-156","21.000000","27.235039","Default Known Flow Node","Known Flow","298543.722392","666014.333438","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800003685","Nodes","-307763","21.000000","24.305467","Default Known Flow Node","Known Flow","298641.654042","666065.102403","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000157","Nodes","157","21.000000","25.104818","DDS demands","Known Flow","298619.222413","666048.583447","","0.000000","","","","","-8.970000","","-8.021135","-8.970000","","","","","","","D1 PROFILE",""
"64301800000154","Nodes","154","21.000000","28.473172","DDS demands","Known Flow","298551.847394","666075.458455","","0.000000","","","","","-4.800000","","-4.292246","-4.800000","","","","","","","D1 PROFILE",""
"64301800000155","Nodes","155","21.000000","27.764288","DDS demands","Known Flow","298593.972406","666081.203456","","0.000000","","","","","-19.459999","","-17.401479","-19.459999","","","","","","","D1 PROFILE",""
"64301800003671","Nodes","-220698","21.000000","28.092796","Default Known Flow Node","Known Flow","298574.472400","666078.458456","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000159","Nodes","159","21.000000","24.296502","DDS demands","Known Flow","298641.298419","666067.594453","","0.000000","","","","","-7.880000","","-7.046437","-7.880000","","","","","","","D1 PROFILE",""
"64301800000222","Nodes","222","21.000000","26.340307","Default Known Flow Node","Known Flow","298307.143816","666004.824636","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000018","Nodes","","21.000000","26.017440","Default Known Flow Node","Known Flow","298246.942030","665996.551655","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000597","Nodes","","21.000000","25.193616","Default Known Flow Node","Known Flow","300724.160985","666163.350479","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000632","Nodes","","21.000000","25.759641","Default Known Flow Node","Known Flow","300786.995780","666013.601637","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000284","Nodes","","21.000000","29.366709","Default Known Flow Node","Known Flow","298133.040280","665848.381393","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000302","Nodes","","21.000000","29.366709","Default Known Flow Node","Known Flow","298138.613729","665831.427873","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"64301800000285","Nodes","","21.000000","29.366709","Default Known Flow Node","Known Flow","298148.880285","665833.252389","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
