"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64401200000766","Nodes",,21.000000,36.408908,"Default Known Flow Node","Known Flow",273344.465535,658910.706505,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"64401200001993","Nodes","1993",21.000000,36.415369,"Default Known Flow Node","Known Flow",273460.465567,658918.456507,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"64401200001988","Nodes","1988",21.000000,36.346673,"DDS demands","Known Flow",273308.965526,658922.706508,,0.000000,,,,,,,-8.569999,,,,,,,,,,-7.663447,-8.569999,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"64401200001989","Nodes","1989, P09120324, PRINCESS ROAD CSEP, 41.54 SCMH",24.000000,26.370508,"CSEP DDS Matched","Known Flow",275777.653197,659693.008718,,0.000000,,,,,,,,-41.540000,,,,,,,,,-37.145812,-41.540000,,"",,,,,,,,"DC PROFILE",,,,,,,,
"64401200000673","Nodes","673",21.000000,36.267345,"DDS demands","Known Flow",273154.965484,658960.956519,,0.000000,,,,,,,-8.079999,,,,,,,,,,-7.225280,-8.079999,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"64401200002029","Nodes","2029",21.000000,36.407614,"Default Known Flow Node","Known Flow",273350.590537,658937.706512,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"64401200002028","Nodes","2028",21.000000,36.407614,"Default Known Flow Node","Known Flow",273324.215530,658945.956515,,0.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,,,
"64401200002030","Nodes","2030",21.000000,36.407614,"DDS demands","Known Flow",273342.215535,658911.831505,,0.000000,,,,,,,-10.140000,,,,,,,,,,-9.067369,-10.140000,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"64401200001986","Nodes","1986",21.000000,36.252205,"DDS demands","Known Flow",273125.590476,658973.331522,,0.000000,,,,,,,-5.639999,,,,,,,,,,-5.043388,-5.639999,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"64401200001759","Nodes","1759",21.000000,36.139693,"DDS demands","Known Flow",273023.965448,658935.081512,,0.000000,,,,,,,-6.159999,,,,,,,,,,-5.508382,-6.159999,,"",,,,,,,"D1 PROFILE",,,,,,,,,
