"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"64301900001021","Nodes","1021",21.000000,28.572452,"Default Known Flow Node","Known Flow",329100.919707,663998.025889,,0.000000,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,
"64301900005121","Nodes","5121",21.000000,28.616910,"Default Known Flow Node","Known Flow",329162.776724,663967.431881,,0.000000,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,
"64301900000364","Nodes","364",21.000000,33.121499,"DDS demands","Known Flow",330669.481134,665926.083414,,0.000000,,,,,,,-13.329999,,,,,-11.919924,-13.329999,,,"",,,,,,,"D1 PROFILE",,,,,
"64301900001032","Nodes","1032",21.000000,33.138186,"Default Known Flow Node","Known Flow",330647.900290,665861.707968,,0.000000,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,
"64301900000365","Nodes","365",21.000000,33.145515,"DDS demands","Known Flow",330667.106133,665838.458390,,0.000000,,,,,,,-10.949999,,,,,-9.791686,-10.949999,,,"",,,,,,,"D1 PROFILE",,,,,
"64301900000358","Nodes","358",21.000000,26.450429,"DDS demands","Known Flow",329888.459921,665829.670388,,0.000000,,,,,,,-7.869999,,,,,-7.037494,-7.869999,,,"",,,,,,,"D1 PROFILE",,,,,
"64301900001031","Nodes","1031",21.000000,25.732267,"Default Known Flow Node","Known Flow",329901.483789,665736.197233,,0.000000,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,
"64301900005446","Nodes","5446",21.000000,38.980611,"DDS demands","Known Flow",331395.981332,665652.458340,,0.000000,,,,,,,-5.919999,,,,,-5.293770,-5.919999,,,"",,,,,,,"D1 PROFILE",,,,,
"64301900005458","Nodes","5458",21.000000,39.560919,"Default Known Flow Node","Known Flow",331480.356355,665761.458369,,0.000000,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,
"64301900001132","Nodes","1132",21.000000,39.907884,"Default Known Flow Node","Known Flow",331507.326362,665707.536355,,0.000000,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,
