"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"64302800000057","Nodes","57","21.000000","42.993627","DDS demands","Known Flow","372928.487532","634148.233398","","0.000000","","","","","","","-1.570000","","","","","","","-1.403922","-1.570000","","","","","","","","","","D1 PROFILE","","","","","","",""
"64302803774753","Nodes","-3774753","21.000000","44.081125","Default Known Flow Node","Known Flow","372970.218515","634258.929801","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64302800001014","Nodes","Logger 10064, 1 WOODSIDE DRIVE","21.000000","47.017455","Val Log Cath","Known Flow","373112.207349","634580.050858","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64302800000301","Nodes","301","21.000000","47.006853","DDS demands","Known Flow","373226.696211","634582.419643","","0.000000","","","","","","","-6.409999","","","","","","","-5.731936","-6.409999","","","","","","","","","","D1 PROFILE","","","","","","",""
"64302800001011","Nodes","1011","21.000000","25.889632","Default Known Flow Node","Known Flow","373292.335010","633445.769609","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64302800199769","Nodes","-199769","21.000000","25.887374","Default Known Flow Node","Known Flow","373217.546508","633401.037669","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64302800001010","Nodes","Logger 10056, 69 HORSE MARKET","21.000000","42.529066","Val Log Cath","Known Flow","372923.185521","634119.884569","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64302803863040","Nodes","-3863040","21.000000","42.813886","Default Known Flow Node","Known Flow","372938.686636","634139.143765","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64302800000438","Nodes","438","21.000000","29.266990","DDS demands","Known Flow","373254.219834","635118.347040","","0.000000","","","","","","","-1.539999","","","","","","","-1.377095","-1.539999","","","","","","","","","","D1 PROFILE","","","","","","",""
"64302800000304","Nodes","304","21.000000","40.546309","DDS demands","Known Flow","372244.654447","634650.143904","","0.000000","","","","","","","-7.880000","","","","","","","-7.046437","-7.880000","","","","","","","","","","D1 PROFILE","","","","","","",""
"64302800001007","Nodes","Logger 10054, 29 CROFT ROAD","21.000000","40.598214","Val Log Cath","Known Flow","372266.871167","634689.335066","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64302800199537","Nodes","-199537","21.000000","40.589144","Default Known Flow Node","Known Flow","372292.284460","634709.111920","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64302800000047","Nodes","47","21.000000","39.594585","DDS demands","Known Flow","372448.735502","634383.575831","","0.000000","","","","","","","-8.600000","","","","","","","-7.690274","-8.600000","","","","","","","","","","D1 PROFILE","","","","","","",""
"64302800001005","Nodes","P10123949, Station road, CT 330.84","24.000000","27.151193","CSEP Unmatched","Known Flow","373156.745695","632929.303435","","0.000000","","","","","-33.050000","0.000000","","","","","","","","-29.553901","-33.050000","","","","","","","","CC PROFILE","CT PROFILE","","","","","","","",""
"64302800000049","Nodes","49","21.000000","39.747425","DDS demands","Known Flow","372519.823436","634323.930885","","0.000000","-1.640000","","-2.660000","","","","-10.189999","","","","","","","-12.957216","-14.489999","","","","C1 PROFILE","","C3 PROFILE","","","","D1 PROFILE","","","","","","",""
"64302800000052","Nodes","52,","21.000000","39.876211","DDS demands","Known Flow","372560.686186","634275.016424","","0.000000","-9.999999","","","","","","-1.259999","","","","","","","-10.068892","-11.259999","","","","C1 PROFILE","","","","","","D1 PROFILE","","","","","","",""
"64302802998586","Nodes","-2998586","21.000000","41.045781","Default Known Flow Node","Known Flow","372965.705799","633909.609142","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64302800001003","Nodes","1003,","21.000000","41.010768","DDS demands","Known Flow","372969.299600","633904.506474","","0.000000","-5.599999","","","","","","-4.869999","","","","","","","-9.362460","-10.469999","","","","C1 PROFILE","","","","","","D1 PROFILE","","","","","","",""
"64302800000166","Nodes","166,","21.000000","39.295048","DDS demands","Known Flow","372269.759454","634473.135855","","0.000000","-6.820000","","","","","","-2.079999","","","","","","","-7.958539","-8.900000","","","","C1 PROFILE","","","","","","D1 PROFILE","","","","","","",""
