"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"64301000000806","Nodes","806","21.000000","29.085740","DDS demands","Known Flow","323636.922472","659427.727750","","0.000000","","","","","","","-24.709998","","","","","","","","","-22.096123","-24.709998","","","","","","","","","","D1 PROFILE","","","","","","","","",""
"64301000000807","Nodes","807","21.000000","29.249333","DDS demands","Known Flow","323643.004134","659365.615400","","0.000000","","","","","","","-1.869999","","","","","","","","","-1.672187","-1.869999","","","","","","","","","","D1 PROFILE","","","","","","","","",""
"64301000000259","Nodes","259","21.000000","33.871060","DDS demands","Known Flow","323523.156189","661400.242183","","0.000000","","","","","","","-14.689999","","","","","","","","","-13.136060","-14.689999","","","","","","","","","","D1 PROFILE","","","","","","","","",""
"64301000001022","Nodes","Logger - 10057 - Mauricewood Park","21.000000","33.853317","Val Log Cath","Known Flow","323547.372427","661427.801815","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"64301000000266","Nodes","266","21.000000","33.355148","DDS demands","Known Flow","323711.253753","661374.257415","","0.000000","","","","","","","-39.669996","","","","","","","","","-35.473621","-39.669996","","","","","","","","","","D1 PROFILE","","","","","","","","",""
"64301000000734","Nodes","734","21.000000","33.760155","DDS demands","Known Flow","323883.325476","660994.862183","","0.000000","","","","","","","-3.229999","","","","-6.229999","","","","","-8.459300","-9.460000","","","","","","","","","","D1 PROFILE","","","","I2 PROFILE","","","","",""
"64301000001026","Nodes","Logger - 10056 - St James Gardens","21.000000","33.270897","Val Log Post","Known Flow","323144.241476","659570.678150","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"64301000000180","Nodes","180","21.000000","33.313489","DDS demands","Known Flow","323095.067073","659553.453680","","0.000000","","","","","","","-3.660000","","","","","","","","","-3.272837","-3.660000","","","","","","","","","","D1 PROFILE","","","","","","","","",""
"64301000000042","Nodes","42","21.000000","32.200666","DDS demands","Known Flow","322517.792916","660398.073910","","0.000000","","","","","","","-30.669999","","","","","","","","","-27.425662","-30.669999","","","","","","","","","","D1 PROFILE","","","","","","","","",""
"64301000001024","Nodes","Logger - 10034 - Marchburn Drive","21.000000","33.091037","Val Log Cath","Known Flow","322449.525980","660307.118954","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
