"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"64300700003912","Nodes","3912,",21.000000,27.043588,"Default Known Flow Node","Known Flow",349452.304245,613888.765254,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"64300700004221","Nodes","4221,",21.000000,39.645231,"DDS demands","Known Flow",351223.236727,615056.944572,,0.000000,,,,,-7.070000,,,,,-6.322121,-7.070000,,"",,,,,"D1 PROFILE",,,,
"64300700001010","Nodes","1010,",21.000000,39.047618,"DDS demands","Known Flow",351169.927234,615089.761318,,0.000000,,,,,-5.249999,,,,,-4.694643,-5.249999,,"",,,,,"D1 PROFILE",,,,
"64300700001024","Nodes","1024, P08119954, DEV@WILTON LANE/PRINCESS STREET, -6.55scmh",22.999998,41.559892,"CSEP DDS Matched","Known Flow",350311.949627,615251.685761,,0.000000,,,,,-4.449999,-6.550000,,,,-9.836396,-11.000000,,"",,,,,"D1 PROFILE","DC PROFILE",,,
"64300700001029","Nodes","1029,",21.000000,38.143001,"DDS demands","Known Flow",350852.618864,615083.981425,,0.000000,,,,,-6.170000,,,,,-5.517324,-6.170000,,"",,,,,"D1 PROFILE",,,,
"64300700000196","Nodes","196,",21.000000,38.398433,"DDS demands","Known Flow",350641.279366,614972.354205,,0.000000,,,,,-11.209999,,,,,-10.024182,-11.209999,,"",,,,,"D1 PROFILE",,,,
"64300700001027","Nodes","1027,",21.000000,38.209807,"Default Known Flow Node","Known Flow",351104.378891,615209.647141,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"64300700004252","Nodes","4252,",21.000000,37.327501,"DDS demands","Known Flow",351088.861690,615249.569625,,0.000000,,,,,-8.489999,,,,,-7.591909,-8.489999,,"",,,,,"D1 PROFILE",,,,
"64300700001011","Nodes","1011,",21.000000,38.229213,"Default Known Flow Node","Known Flow",351101.064409,615198.135263,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"64300700001026","Nodes","1026,",21.000000,38.231469,"Default Known Flow Node","Known Flow",351109.823696,615201.665612,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
