"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)"
"64402000000045","Nodes","Backwood Court RRI","21.000000","49.999994","Default Known Pressure Node","Known Pressure","290850.174643","692228.509038","","0.000000","","","","","","","","25.503094","28.519999","","","","","","","","",""
"64402000000053","Nodes","053","21.000000","49.816328","Default Known Flow Node","Known Flow","290828.632741","692216.793299","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"64402000000056","Nodes","56,","21.000000","49.654377","DDS demands","Known Flow","290834.659330","692238.740980","","0.000000","","","","-11.960000","","","","-10.694846","-11.960000","","","","","","D1 PROFILE","","",""
"64402000000055","Nodes","","21.000000","49.654377","Default Known Flow Node","Known Flow","290825.410292","692232.746572","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"64402000000057","Nodes","057","21.000000","49.654377","Default Known Flow Node","Known Flow","290835.108295","692232.678572","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"64402000000061","Nodes","","21.000000","49.686165","Default Known Flow Node","Known Flow","290811.713288","692198.148563","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"64402000000063","Nodes","","21.000000","49.582628","Default Known Flow Node","Known Flow","290820.010819","692186.750274","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"64402000000062","Nodes","","21.000000","49.686165","Default Known Flow Node","Known Flow","290816.263289","692198.293563","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"64402000000064","Nodes","","21.000000","49.582628","Default Known Flow Node","Known Flow","290819.912290","692189.953561","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"64402000000124","Nodes","124","21.000000","28.709675","DDS demands","Known Flow","292772.701822","690901.239210","","0.000000","","","","-5.489999","","","","-4.909256","-5.489999","","","","","","D1 PROFILE","","",""
"64402000000123","Nodes","123","21.000000","28.897527","Default Known Flow Node","Known Flow","292702.167803","690970.462229","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"64402000000385","Nodes","385, P00099059, Marquis Drive, 51.80scm/h","22.999998","22.995731","CSEP DDS Matched","Known Flow","291735.691148","691477.694407","","0.000000","","","","","-51.800001","","","-46.320489","-51.800001","","","","","","","DC PROFILE","",""
"64402000002708","Nodes","-19","21.000000","22.995731","Default Known Flow Node","Known Flow","291794.138555","691440.166357","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"64402000000427","Nodes","427","21.000000","29.489428","DDS demands","Known Flow","291300.806421","691665.683418","","0.000000","","","","-9.500000","","","","-8.495070","-9.500000","","","","","","D1 PROFILE","","",""
"64402000001001","Nodes","Logger 9597, 12 Lochies Road","21.000000","29.520480","Val Log Cath","Known Flow","291352.781778","691671.276465","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"64402000000324","Nodes","324","21.000000","29.581019","DDS demands","Known Flow","291381.933443","691674.815421","","0.000000","","","","-10.499999","","","","-9.389287","-10.499999","","","","","","D1 PROFILE","","",""
"64402000002772","Nodes","-4","21.000000","28.896804","Default Known Flow Node","Known Flow","292616.806779","691058.592253","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"64402000001002","Nodes","Logger 9006, Behind 10 Kennet Cottages","21.000000","28.821582","Val Log Post","Known Flow","292679.756423","690992.739150","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"64402000001003","Nodes","1003","21.000000","35.991673","Default Known Flow Node","Known Flow","291316.978421","692071.618397","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"64402000000047","Nodes","47","21.000000","36.108846","DDS demands","Known Flow","291337.577431","692061.395526","","0.000000","","","-1.190000","-9.930000","","","","-9.943703","-11.120000","","","","","C4 PROFILE","D1 PROFILE","","",""
"64402000000358","Nodes","358","21.000000","39.686713","DDS demands","Known Flow","291473.607468","691963.465499","","0.000000","","","","-8.909999","","","","-7.967481","-8.909999","","","","","","D1 PROFILE","","",""
"64402000001004","Nodes","76 Alloa Road","21.000000","37.606169","Val Log Cath","Known Flow","291518.730699","691923.996751","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"64402000000334","Nodes","334","21.000000","35.263819","DDS demands","Known Flow","291561.945492","691877.442476","","0.000000","","","","-22.389998","","","","-20.021537","-22.389998","","","","","","D1 PROFILE","","",""
"64402000000117","Nodes","117","21.000000","27.189082","DDS demands","Known Flow","291496.088474","691597.629400","","0.000000","","","","-10.849999","","","","-9.702263","-10.849999","","","","","","D1 PROFILE","","",""
"64402000001005","Nodes","1005","21.000000","29.768622","Default Known Flow Node","Known Flow","291671.603502","691666.948705","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"64402000000090","Nodes","90","21.000000","29.953529","DDS demands","Known Flow","291691.817528","691678.355422","","0.000000","","","","-15.100000","","","","-13.502690","-15.100000","","","","","","D1 PROFILE","","",""
"64402000000113","Nodes","113","21.000000","30.069824","DDS demands","Known Flow","291232.563403","691484.597369","","0.000000","","","","-2.369999","","","","-2.119296","-2.369999","","","","","","D1 PROFILE","","",""
"64402000002760","Nodes","-31","21.000000","30.072391","Default Known Flow Node","Known Flow","291232.532403","691490.142370","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"64402000002698","Nodes","-18","21.000000","29.942357","Default Known Flow Node","Known Flow","291232.148403","691437.857356","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"64402000002729","Nodes","-23","21.000000","29.812374","Default Known Flow Node","Known Flow","291223.665400","691462.594363","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"64402000000162","Nodes","162","21.000000","25.021770","DDS demands","Known Flow","291464.703466","691477.783367","","0.000000","","","","-7.150000","","","","-6.393657","-7.150000","","","","","","D1 PROFILE","","",""
"64402000002602","Nodes","-1462502","21.000000","24.978048","Default Known Flow Node","Known Flow","291455.064463","691461.773363","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"64402000002664","Nodes","-1462640","21.000000","25.065498","Default Known Flow Node","Known Flow","291494.700474","691494.024371","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"64402000002738","Nodes","-26","21.000000","29.899023","Default Known Flow Node","Known Flow","291222.689874","691483.846269","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"64402000000386","Nodes","386","21.000000","29.239836","DDS demands","Known Flow","291849.474571","691497.543372","","0.000000","","","","-18.059999","","","","-16.149575","-18.059999","","","","","","D1 PROFILE","","",""
"64402000002775","Nodes","-4904540","21.000000","29.145134","Default Known Flow Node","Known Flow","291892.545852","691465.114293","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"64402000000397","Nodes","397","21.000000","29.132610","DDS demands","Known Flow","291898.537584","691460.870362","","0.000000","","","","-5.150000","","","","-4.605222","-5.150000","","","","","","D1 PROFILE","","",""
"64402000002777","Nodes","-4904543","21.000000","28.786136","Default Known Flow Node","Known Flow","291979.273623","691455.293373","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
