"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)"
"64307800000001","Nodes","Ringford RRI",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",268833.839308,557662.803955,,999998.967025,,,40.007307,44.739998,,"",,
"64307800000010","Nodes","10",21.000000,48.725280,"DDS demands","Known Flow",268845.714311,557677.928959,,0.000000,-3.049999,,-2.727364,-3.049999,,"","D1 PROFILE",
"64307800000015","Nodes","15",21.000000,47.509481,"Default Known Flow Node","Known Flow",268090.339105,556194.303555,,0.000000,,,0.000000,0.000000,,"",,
"64307800000014","Nodes","14",21.000000,47.951825,"DDS demands","Known Flow",267996.414259,555999.002173,,0.000000,-4.860000,,-4.345898,-4.860000,,"","D1 PROFILE",
"64307800000002","Nodes","Tarff Village RRI",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",267850.605160,555706.526865,,999998.967025,,,9.228329,10.320000,,"",,
"64307800000016","Nodes","16",21.000000,47.730224,"DDS demands","Known Flow",267779.664952,556257.635564,,0.000000,-1.799999,,-1.609592,-1.799999,,"","D1 PROFILE",
"64307800000017","Nodes",,21.000000,47.186939,"Default Known Flow Node","Known Flow",268254.089150,556207.178559,,0.000000,-3.660000,,-3.272837,-3.660000,,"","D1 PROFILE",
"64307800000011","Nodes","11",21.000000,43.714549,"DDS demands","Known Flow",268897.082629,557747.614956,,0.000000,-18.090000,,-16.176402,-18.090000,,"","D1 PROFILE",
"64307800000012","Nodes","12",21.000000,43.714549,"Default Known Flow Node","Known Flow",268915.714330,557775.303985,,0.000000,,,0.000000,0.000000,,"",,
"64307800000013","Nodes",,21.000000,37.648177,"Default Known Flow Node","Known Flow",268715.155276,557937.071029,,0.000000,-8.899999,-14.699999,-21.103540,-23.599999,,"","D1 PROFILE","DM PROFILE"
"64307810220105","Nodes","-220105",21.000000,49.712088,"Default Known Flow Node","Known Flow",267830.358481,555754.606510,,0.000000,,,0.000000,0.000000,,"",,
"64307801462473","Nodes","-1462473",21.000000,49.717632,"Default Known Flow Node","Known Flow",267827.714034,555752.053435,,0.000000,,,0.000000,0.000000,,"",,
"64307800000022","Nodes",,21.000000,47.955997,"Default Known Flow Node","Known Flow",267996.089080,555998.303502,,0.000000,,,0.000000,0.000000,,"",,
"64307800000023","Nodes",,21.000000,49.717632,"Default Known Flow Node","Known Flow",267829.589035,555753.928435,,0.000000,,,0.000000,0.000000,,"",,
"64307800000026","Nodes",,21.000000,49.999998,"Default Known Flow Node","Known Flow",267849.964040,555706.053422,,0.000000,,,0.000000,0.000000,,"",,
"64307800000029","Nodes",,21.000000,43.763223,"Default Known Flow Node","Known Flow",268895.174324,557744.778977,,0.000000,,,0.000000,0.000000,,"",,
"64307800000025","Nodes",,21.000000,47.730224,"Default Known Flow Node","Known Flow",267779.089021,556257.678572,,0.000000,,,0.000000,0.000000,,"",,
