"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)"
"64307100000061","Nodes","61",21.000000,39.868999,"DDS demands","Known Flow",343924.109741,668618.834147,,0.000000,,,,-26.950001,,-24.099173,-26.950001,,"",,,,"D1 PROFILE",
"64307100010000","Nodes","-11",21.000000,39.955391,"Default Known Flow Node","Known Flow",343925.081222,668619.983258,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64307101462471","Nodes","-1462471",21.000000,39.869886,"Default Known Flow Node","Known Flow",343950.109748,668551.459128,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64307100000063","Nodes","63",21.000000,39.869886,"DDS demands","Known Flow",343960.484751,668538.584125,,0.000000,,,,-14.730000,,-13.171829,-14.730000,,"",,,,"D1 PROFILE",
"64307100000025","Nodes","25",21.000000,55.596170,"DDS demands","Known Flow",343878.484728,668887.709220,,0.000000,,,,-29.809998,,-26.656635,-29.809998,,"",,,,"D1 PROFILE",
"64307100000068","Nodes","68",21.000000,54.640065,"DDS demands","Known Flow",343679.734674,668852.334210,,0.000000,,,,-10.339999,,-9.246212,-10.339999,,"",,,,"D1 PROFILE",
"64307100000069","Nodes","69",21.000000,54.766254,"Default Known Flow Node","Known Flow",343743.234691,668632.334150,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64307101462472","Nodes","-1462472",21.000000,54.766254,"Default Known Flow Node","Known Flow",343734.984689,668614.334146,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64307100010001","Nodes","-13",21.000000,40.052406,"Default Known Flow Node","Known Flow",343927.234741,668622.584148,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"64307101462478","Nodes","-1462478",21.000000,39.955391,"Default Known Flow Node","Known Flow",343933.234743,668612.834145,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
