"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C3)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)"
"64307400000011","Nodes","11",21.000000,62.156593,"DDS demands","Known Flow",266117.402115,554153.215885,,0.000000,,-1.269999,,-1.135656,-1.269999,,"",,"D1 PROFILE",
"64307400000010","Nodes","10",21.000000,62.120507,"DDS demands","Known Flow",266343.689971,554196.015654,,0.000000,,-1.019999,,-0.912102,-1.019999,,"",,"D1 PROFILE",
"64307400000002","Nodes","2",21.000000,66.790154,"DDS demands","Known Flow",266324.674932,554431.381174,,0.000000,,-8.879999,,-7.940654,-8.879999,,"",,"D1 PROFILE",
"64307400000001","Nodes","1",21.000000,69.817089,"DDS demands","Known Flow",266260.449406,554593.372479,,0.000000,,-2.419999,,-2.164007,-2.419999,,"",,"D1 PROFILE",
"64307400001000","Nodes","TWYNHOLM DG, Tel, Site ID 6209",21.000000,69.999999,"Default Known Pressure Node","Known Pressure",266255.145431,554586.344060,,999998.967025,,,,104.292638,116.630004,,"",,,
"64307400000004","Nodes","4",21.000000,65.252088,"DDS demands","Known Flow",266426.616160,554400.256751,,0.000000,,-2.650000,,-2.369677,-2.650000,,"",,"D1 PROFILE",
"64307400000005","Nodes","5",21.000000,63.913363,"DDS demands","Known Flow",266472.220000,554417.130000,,0.000000,,-19.840000,,-17.741284,-19.840000,,"",,"D1 PROFILE",
"64307400000009","Nodes","9",21.000000,61.913416,"DDS demands","Known Flow",266474.918024,554191.371102,,0.000000,,-5.689999,-9.840000,-13.887204,-15.530000,,"",,"D1 PROFILE",""
"64307400000018","Nodes","18",21.000000,62.104377,"DDS demands","Known Flow",266463.238736,554242.417025,,0.000000,,-1.949999,,-1.743724,-1.949999,,"",,"D1 PROFILE",
"64307400000017","Nodes","17",21.000000,62.045087,"DDS demands","Known Flow",266391.314511,554189.051604,,0.000000,,-3.069999,,-2.745248,-3.069999,,"",,"D1 PROFILE",
"64307400000003","Nodes","3",21.000000,66.204294,"DDS demands","Known Flow",266222.595000,554356.880000,,0.000000,,-6.300000,,-5.633573,-6.300000,,"",,"D1 PROFILE",
"64307400000006","Nodes","6",21.000000,64.031000,"DDS demands","Known Flow",266461.376565,554439.906704,,0.000000,,0.000000,,0.000000,0.000000,,"",,"D1 PROFILE",
"64307400000015","Nodes","15",21.000000,61.597442,"DDS demands","Known Flow",266544.720000,554188.755000,,0.000000,,-1.379999,,-1.234020,-1.379999,,"",,"D1 PROFILE",
"64307400000007","Nodes","7",21.000000,62.665147,"DDS demands","Known Flow",266515.470000,554329.505000,,0.000000,,-3.339999,,-2.986687,-3.339999,,"",,"D1 PROFILE",
"64307400000019","Nodes","19",21.000000,61.992867,"DDS demands","Known Flow",266510.332158,554247.013520,,0.000000,,-4.039999,,-3.612640,-4.039999,,"",,"D1 PROFILE",
"64307400000012","Nodes","12",21.000000,63.436551,"DDS demands","Known Flow",266568.970000,554478.005000,,0.000000,-3.970000,-16.070000,,-17.920126,-20.040000,,"","C3  PROFILE","D1 PROFILE",
"64307400000008","Nodes","8",21.000000,62.657688,"DDS demands","Known Flow",266527.220000,554364.880000,,0.000000,,-1.649999,,-1.475459,-1.649999,,"",,"D1 PROFILE",
"64307400000013","Nodes","13",21.000000,63.340654,"DDS demands","Known Flow",266557.095000,554446.380000,,0.000000,,-2.419999,,-2.164007,-2.419999,,"",,"D1 PROFILE",
"64307400000014","Nodes","14",21.000000,62.961137,"DDS demands","Known Flow",266749.970000,554463.505000,,0.000000,,-2.250000,,-2.011990,-2.250000,,"",,"D1 PROFILE",
"64307400000016","Nodes","16",21.000000,61.356081,"DDS demands","Known Flow",266584.654882,554235.774029,,0.000000,,-4.380000,,-3.916674,-4.380000,,"",,"D1 PROFILE",
"64307400000022","Nodes",,21.000000,61.488513,"DDS demands","Known Flow",266560.658660,554222.289451,,0.000000,,-2.039999,,-1.824204,-2.039999,,"",,"",
"64307400001107","Nodes",,21.000000,63.923000,"Default Known Flow Node","Known Flow",266471.271665,554416.964071,,0.000000,,,,0.000000,0.000000,,"",,,
"64307400001112","Nodes",,21.000000,62.090009,"Default Known Flow Node","Known Flow",266463.935663,554239.863023,,0.000000,,,,0.000000,0.000000,,"",,,
"64307400001121","Nodes",,21.000000,63.907363,"Default Known Flow Node","Known Flow",266473.391640,554418.106511,,0.000000,,,,0.000000,0.000000,,"",,,
"64307400001122","Nodes",,21.000000,64.031000,"Default Known Flow Node","Known Flow",266460.968662,554440.670078,,0.000000,,,,0.000000,0.000000,,"",,,
"64307400001117","Nodes",,21.000000,62.657688,"Default Known Flow Node","Known Flow",266527.087680,554367.620058,,0.000000,,,,0.000000,0.000000,,"",,,
"64307400001204","Nodes","-5",21.000000,61.501643,"Default Known Flow Node","Known Flow",266555.253662,554221.514673,,0.000000,,,,0.000000,0.000000,,"",,,
"64307400001202","Nodes","-1462476",21.000000,61.501643,"Default Known Flow Node","Known Flow",266533.970000,554224.880000,,0.000000,,,,0.000000,0.000000,,"",,,
"64307400001203","Nodes","-1462478",21.000000,62.120507,"Default Known Flow Node","Known Flow",266357.519573,554211.243755,,0.000000,,,,0.000000,0.000000,,"",,,
"64307400001205","Nodes","-7",21.000000,65.898261,"DDS demands","Known Flow",266243.908705,554311.198663,,0.000000,,-1.139999,,-1.019408,-1.139999,,"",,"D1 PROFILE",
"64307400001201","Nodes","-1462469",21.000000,66.103839,"Default Known Flow Node","Known Flow",266223.529386,554305.805557,,0.000000,,,,0.000000,0.000000,,"",,,
"64307400001200","Nodes","-11",21.000000,63.903710,"Default Known Flow Node","Known Flow",266474.345000,554418.255000,,0.000000,,,,0.000000,0.000000,,"",,,
"64307400001131","Nodes",,21.000000,63.143825,"DDS demands","Known Flow",266669.505227,554484.826750,,0.000000,,-1.879999,,-1.681129,-1.879999,,"",,"D1 PROFILE",
"64307400001127","Nodes",,21.000000,62.104003,"DDS demands","Known Flow",266202.195010,554170.288479,,0.000000,,-2.219999,,-1.985163,-2.219999,,"",,"D1 PROFILE",
