"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)"
"64303100001234","Nodes","-207241",21.000000,43.525844,"Default Known Flow Node","Known Flow",335805.142531,584602.035285,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001245","Nodes","-207260",21.000000,33.934262,"Default Known Flow Node","Known Flow",336379.604688,584527.877265,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100000014","Nodes","14",21.000000,43.475925,"DDS","Known Flow",336064.622602,584624.691291,,0.000000,-15.999999,,,,-31.349999,,-42.341217,-47.349998,,"","C1 PROFILE",,,,"D1 PROFILE",
"64303100000034","Nodes","34",21.000000,29.159703,"DDS","Known Flow",336437.661952,584704.952661,,0.000000,,,,,-21.639999,,-19.350874,-21.639999,,"",,,,,"D1 PROFILE",
"64303100000036","Nodes","36",21.000000,29.737968,"DDS","Known Flow",336487.392717,584760.076328,,0.000000,,,,,-3.739999,,-3.344374,-3.739999,,"",,,,,"D1 PROFILE",
"64303100000023","Nodes","23",21.000000,37.764125,"DDS","Known Flow",336359.382682,584628.171292,,0.000000,,,-2.069999,,-12.729999,,-13.234423,-14.799999,,"",,,"C3  PROFILE",,"D1 PROFILE",
"64303100001243","Nodes","-207258",21.000000,37.693321,"Default Known Flow Node","Known Flow",336341.218677,584620.348290,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100001240","Nodes","-207251",21.000000,36.497182,"Default Known Flow Node","Known Flow",336145.207035,584748.056963,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"64303100000101","Nodes","101",21.000000,27.124713,"DDS","Known Flow",336203.704843,584727.142712,,0.000000,-24.329999,,,,-24.889998,,-44.013403,-49.219998,,"","C1 PROFILE",,,,"D1 PROFILE",
"64303100000093","Nodes","93",21.000000,33.994630,"DDS","Known Flow",336393.042691,584537.290267,,0.000000,,-47.619999,,,-5.780000,,-47.751237,-53.400000,,"",,"C2 PROFILE",,,"D1 PROFILE",
