"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64401100000474","Nodes","474",21.000000,26.138996,"DDS demands","Known Flow",264804.523276,672638.208934,,0.000000,,,,,-4.480000,,,,,,,,,-4.006095,-4.480000,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100001024","Nodes","1024",21.000000,26.055871,"Default Known Flow Node","Known Flow",264785.546123,672615.404552,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100000472","Nodes","472",21.000000,25.876054,"DDS demands","Known Flow",264774.963203,672603.960231,,0.000000,,,,,-12.170000,,,,,,,,,-10.882630,-12.170000,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100001099","Nodes","1099",21.000000,27.117030,"Default Known Flow Node","Known Flow",264957.637457,672709.760131,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100001102","Nodes","1102, P09121729, GRAHAMSDYKE ROAD, -14.40SCMH",22.999998,28.939657,"CSEP DDS Matched","Known Flow",266247.244094,674246.842885,,0.000000,,,,,,-14.399999,,,,,,,,-12.876736,-14.399999,,"",,,,,,"DC PROFILE",,,,,,,
"64401100000465","Nodes","465",21.000000,25.428693,"DDS demands","Known Flow",264862.451315,672597.157264,,0.000000,,,,,-26.229999,,,,,,,,,-23.455333,-26.229999,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100000478","Nodes","478",21.000000,26.687467,"DDS demands","Known Flow",264976.961154,672530.327815,,0.000000,,,,,-8.380000,,,,,,,,,-7.493545,-8.380000,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100001039","Nodes","1039, P09122904, HIGHFIELD ROAD, -30.83SCMH",24.000000,27.535691,"CSEP DDS Matched","Known Flow",266158.215245,674026.150422,,0.000000,,,,,,-30.829999,,,,,,,,-27.568733,-30.829999,,"",,,,,,"DC PROFILE",,,,,,,
"64401100000499","Nodes","499",21.000000,26.623604,"DDS demands","Known Flow",264950.507440,672517.988059,,0.000000,,,,,-9.189999,,,,,,,,,-8.217861,-9.189999,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100000483","Nodes","483",21.000000,26.608723,"DDS demands","Known Flow",264989.430195,672450.173110,,0.000000,,,,,-0.529999,,,,,,,,,-0.473935,-0.529999,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100001576","Nodes","1576",21.000000,26.362242,"DDS demands","Known Flow",264952.198137,672447.918319,,0.000000,,,,,-8.660000,,,,,,,,,-7.743926,-8.660000,,"",,,,,"D1 PROFILE",,,,,,,,
"64401110000111","Nodes","-111",21.000000,25.117209,"Default Known Flow Node","Known Flow",264881.528160,672390.380402,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100000479","Nodes","479",21.000000,26.213205,"DDS demands","Known Flow",264921.629245,672440.425962,,0.000000,,,,,-3.309999,,,,,,,,,-2.959860,-3.309999,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100000500","Nodes","500",21.000000,26.157417,"DDS demands","Known Flow",264886.983448,672423.593770,,0.000000,,,,,-12.380000,,,,,,,,,-11.070416,-12.380000,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100000124","Nodes","-124",21.000000,24.952151,"Default Known Flow Node","Known Flow",264709.690186,672421.427182,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100000496","Nodes","496",21.000000,25.491805,"DDS demands","Known Flow",264771.337546,672527.148571,,0.000000,,,,,-4.639999,,,,,,,,,-4.149170,-4.639999,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100000303","Nodes","303",21.000000,27.489734,"DDS demands","Known Flow",266724.734633,673291.077622,,0.000000,,,,,-7.970000,,,,,,,,,-7.126915,-7.970000,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100001097","Nodes","1097",21.000000,27.441082,"DDS demands","Known Flow",266743.700739,673287.132417,,0.000000,,,,,-13.770000,,,,,,,,,-12.313378,-13.770000,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100000302","Nodes","302",21.000000,27.283153,"DDS demands","Known Flow",266765.523695,673282.772973,,0.000000,,,,,-8.029999,,,,,,,,,-7.180568,-8.029999,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100001095","Nodes","1095",21.000000,25.607629,"Default Known Flow Node","Known Flow",264656.768478,672440.237846,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100000908","Nodes","908",21.000000,25.899061,"DDS demands","Known Flow",264737.213193,672550.585217,,0.000000,,,,,-7.900000,,,,,,,,,-7.064320,-7.900000,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100001044","Nodes","1044",21.000000,33.819699,"Default Known Flow Node","Known Flow",266636.103070,674142.508330,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100001085","Nodes","1085",21.000000,33.669600,"Default Known Flow Node","Known Flow",266563.602690,674138.007649,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100000097","Nodes","97",21.000000,33.549215,"DDS demands","Known Flow",266582.213695,674162.960655,,0.000000,,,,,-3.280000,,,,,,,,,-2.933034,-3.280000,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100001086","Nodes","1086",21.000000,33.646699,"Default Known Flow Node","Known Flow",266562.348547,674162.035674,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100000090","Nodes","90",21.000000,33.609670,"DDS demands","Known Flow",266543.834589,674161.173608,,0.000000,,,,,-4.269999,,,,,,,,,-3.818310,-4.269999,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100001079","Nodes","1079",21.000000,28.026788,"Default Known Flow Node","Known Flow",265228.866264,672992.709963,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100001805","Nodes","1805",21.000000,28.052467,"Default Known Flow Node","Known Flow",265244.056491,673011.146140,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100001806","Nodes","1806",21.000000,28.013452,"Default Known Flow Node","Known Flow",265216.713324,672987.710336,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100000233","Nodes","233",21.000000,28.011926,"Default Known Flow Node","Known Flow",265254.213334,673042.710351,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100001077","Nodes","1077",21.000000,28.222253,"Default Known Flow Node","Known Flow",265251.141333,673060.052355,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100001064","Nodes","1064",21.000000,28.226272,"Default Known Flow Node","Known Flow",265242.924090,673064.926403,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100000240","Nodes","240",21.000000,28.063102,"DDS demands","Known Flow",265195.565318,673046.529352,,0.000000,,,,,-15.659999,,,,,,,,,-14.003450,-15.659999,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100000244","Nodes","244",21.000000,28.423514,"DDS demands","Known Flow",265290.644438,673083.464118,,0.000000,,,,,-4.130000,,,,,,,,,-3.693119,-4.130000,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100001870","Nodes","1870",21.000000,34.710906,"DDS demands","Known Flow",266869.212273,673795.017606,,0.000000,,,,,-7.900000,,,,,,,,,-7.064320,-7.900000,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100001766","Nodes","1766",21.000000,28.346112,"DDS demands","Known Flow",265243.139791,673109.780051,,0.000000,,,,,-2.740000,,,,,,,,,-2.450156,-2.740000,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100000265","Nodes","-265",21.000000,28.346112,"Default Known Flow Node","Known Flow",265230.744327,673128.363374,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100001904","Nodes","1904",21.000000,39.086832,"Default Known Flow Node","Known Flow",266857.463770,674501.460748,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100001062","Nodes","1062",21.000000,39.086832,"Default Known Flow Node","Known Flow",266829.623021,674487.069849,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401101462688","Nodes","-1462688",21.000000,39.688501,"Default Known Flow Node","Known Flow",266870.713774,674497.085746,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100001195","Nodes","1195",21.000000,28.674189,"DDS demands","Known Flow",266527.838680,674669.585793,,0.000000,,,,,-2.369999,,,,,,,,,-2.119296,-2.369999,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100001061","Nodes","Low Point, Ailsa Drive, Sie ID 6479",21.000000,28.385570,"Low Point","Known Flow",266568.508191,674678.415694,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100001197","Nodes","1197",21.000000,28.354952,"DDS demands","Known Flow",266593.838698,674698.335801,,0.000000,,,,,-6.150000,,,,,,,,,-5.499439,-6.150000,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100000026","Nodes","26",21.000000,30.317442,"Default Known Flow Node","Known Flow",267503.213946,673347.835434,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100002107","Nodes","2107",21.000000,29.731810,"DDS demands","Known Flow",267507.463947,673361.960437,,0.000000,,,,,-6.510000,,,,,,,,,-5.821357,-6.510000,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100002136","Nodes","2136",21.000000,33.261950,"Default Known Flow Node","Known Flow",265660.963444,674235.835675,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100001054","Nodes","Logger 10350, 3A Crossgate",21.000000,33.255381,"Val Log Cath","Known Flow",265651.435963,674262.962533,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100001552","Nodes","1552",21.000000,33.249540,"DDS demands","Known Flow",265642.963440,674287.085689,,0.000000,,,,,-4.990000,,,,,,,,,-4.462146,-4.990000,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100002084","Nodes","2084",21.000000,22.838956,"DDS demands","Known Flow",265677.969828,670486.737724,,0.000000,,,,,-11.499999,,,,,,,,,-10.283504,-11.499999,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100001051","Nodes","Logger 10335, 11 Fourth Avenue",21.000000,22.816250,"Val Log Cath","Known Flow",265657.981914,670476.324629,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100002085","Nodes","2085",21.000000,22.670292,"DDS demands","Known Flow",265609.832431,670448.665645,,0.000000,,,,,-8.649999,,,,,,,,,-7.734983,-8.649999,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100000375","Nodes","375",21.000000,33.040094,"DDS demands","Known Flow",267407.679136,673562.360616,,0.000000,,,,,-3.359999,,,,,,,,,-3.004571,-3.359999,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100002106","Nodes","2106",21.000000,30.310731,"DDS demands","Known Flow",267496.713944,673357.460436,,0.000000,,,,,-3.660000,,,,,,,,,-3.272837,-3.660000,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100002681","Nodes","-2681",21.000000,30.500999,"Default Known Flow Node","Known Flow",267491.908061,673372.388500,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401110001582","Nodes",,21.000000,36.914812,"DDS demands","Known Flow",266148.463777,673882.085504,,0.000000,,,,-11.899999,,,,,,,,,,-10.641191,-11.899999,,"",,,,"C4 PROFILE",,,,,,,,,
"64401100001047","Nodes","Logger 10406, Post on footpath outside 45 Redbrae Road",21.000000,36.363916,"Val Log Post","Known Flow",266161.187013,673882.711630,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100002244","Nodes","2244",21.000000,35.772192,"Default Known Flow Node","Known Flow",266164.213581,673855.460572,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401110000630","Nodes","-630",21.000000,26.280154,"Default Known Flow Node","Known Flow",266123.475248,670805.618622,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100001046","Nodes","Logger 10338, Post in Langmuirhead Road at Jct of Auchinlech Road",21.000000,26.378653,"Val Log Post","Known Flow",266137.995519,670814.708653,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100001045","Nodes","Logger 10403, 8 Carresbrook Avenue",21.000000,22.237888,"Val Log Cath","Known Flow",267487.411007,672713.397634,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100002601","Nodes","-2601",21.000000,22.218992,"Default Known Flow Node","Known Flow",267539.597956,672720.819263,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100000389","Nodes","389",21.000000,35.100269,"DDS demands","Known Flow",267087.679833,673872.960577,,0.000000,,,,,-23.549999,,,,,,,,,-21.058828,-23.549999,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100001680","Nodes","1680",21.000000,22.053384,"DDS demands","Known Flow",267216.273029,673067.765290,,0.000000,,,,-6.000000,-7.940000,,,,,,,,,-12.465396,-13.940000,,"",,,,"C4 PROFILE","D1 PROFILE",,,,,,,,
"64401100001040","Nodes","Logger 10036, 17 Dunblae Road",21.000000,22.248999,"Val Log Cath","Known Flow",267138.089545,673100.109082,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100000405","Nodes","405",21.000000,22.363488,"DDS demands","Known Flow",267115.080856,673106.424289,,0.000000,,,,,-24.199999,,,,,,,,,-21.640070,-24.199999,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100001030","Nodes","1030",21.000000,37.602220,"Default Known Flow Node","Known Flow",265804.463484,671522.584937,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401110000681","Nodes","-681",21.000000,37.602220,"Default Known Flow Node","Known Flow",265802.987289,671518.326683,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401110000675","Nodes","-675",21.000000,34.534431,"Default Known Flow Node","Known Flow",265768.699474,671509.066933,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100001771","Nodes","1771",21.000000,27.889297,"Default Known Flow Node","Known Flow",265154.963307,672989.585336,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100001772","Nodes","1772",21.000000,28.054659,"Default Known Flow Node","Known Flow",265137.346302,673023.574345,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100002299","Nodes","2299",21.000000,27.629690,"Default Known Flow Node","Known Flow",265768.835733,672745.583710,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100001029","Nodes","1029",21.000000,36.772028,"Default Known Flow Node","Known Flow",267106.974047,674646.955525,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100001700","Nodes","1700",21.000000,36.772028,"Default Known Flow Node","Known Flow",267093.463834,674670.960794,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100001022","Nodes","1022",21.000000,24.604609,"Default Known Flow Node","Known Flow",266109.767835,672254.337217,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100000574","Nodes","574",21.000000,24.163820,"DDS demands","Known Flow",266139.338575,672301.710149,,0.000000,,,,,-9.379999,,,,,,,,,-8.387762,-9.379999,,"",,,,,"D1 PROFILE",,,,,,,,
"64401110001144","Nodes","-1144",21.000000,24.726327,"Default Known Flow Node","Known Flow",266098.713564,672231.085130,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100002417","Nodes","2417",21.000000,30.320623,"Default Known Flow Node","Known Flow",267499.591805,673358.567306,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100001157","Nodes","1157",21.000000,26.023301,"DDS demands","Known Flow",267880.469048,673197.228393,,0.000000,,,,,-10.209999,,,,,,,,,-9.129962,-10.209999,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100001160","Nodes","1160",21.000000,26.009868,"DDS demands","Known Flow",267881.824358,673180.399159,,0.000000,,,,,-2.859999,,,,,,,,,-2.557462,-2.859999,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100001640","Nodes","1640",21.000000,26.053323,"DDS demands","Known Flow",267883.841049,673155.357381,,0.000000,,,,,-0.509999,,,,,,,,,-0.456051,-0.509999,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100001013","Nodes","1013",21.000000,28.774235,"DDS demands","Known Flow",267658.763919,673294.859133,,0.000000,,,,,-3.749999,,,,,,,,,-3.353316,-3.749999,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100000412","Nodes","412",21.000000,28.779520,"DDS demands","Known Flow",267675.077333,673309.034870,,0.000000,,,,,-8.079999,,,,,,,,,-7.225279,-8.079999,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100001012","Nodes","1012",21.000000,28.779520,"Default Known Flow Node","Known Flow",267698.611999,673315.788425,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100001955","Nodes","1955",21.000000,26.823085,"Default Known Flow Node","Known Flow",265336.088356,672388.710173,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100000484","Nodes","484",21.000000,26.831436,"DDS demands","Known Flow",265346.213359,672401.210176,,0.000000,,,,,-27.110001,,,,,,,,,-24.242246,-27.110001,,"",,,,,"D1 PROFILE",,,,,,,,
"64401101462908","Nodes","-1462908",21.000000,26.866955,"Default Known Flow Node","Known Flow",265335.463356,672332.710157,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100002309","Nodes","2309",21.000000,26.823085,"Default Known Flow Node","Known Flow",265344.210895,672384.086573,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100000814","Nodes","814",21.000000,24.889365,"Default Known Flow Node","Known Flow",264582.335320,672318.334121,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100002332","Nodes","2332",21.000000,24.890575,"DDS demands","Known Flow",264591.673789,672322.471196,,0.000000,,,,,-20.490000,,,,,,,,,-18.322524,-20.490000,,"",,,,,"D1 PROFILE",,,,,,,,
"64401110000102","Nodes",,21.000000,24.877085,"Default Known Flow Node","Known Flow",264656.010507,672367.910989,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100000526","Nodes","526",21.000000,29.511357,"DDS demands","Known Flow",265688.838452,672838.835295,,0.000000,,,,,-24.080000,,,,,,,,,-21.532765,-24.080000,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100000534","Nodes","534",21.000000,27.009343,"DDS demands","Known Flow",265813.838486,672674.085250,,0.000000,,,,,-12.159999,,,,,,,,,-10.873687,-12.159999,,"",,,,,"D1 PROFILE",,,,,,,,
"64401110001681","Nodes","-1681",21.000000,27.074845,"Default Known Flow Node","Known Flow",265863.214939,674193.951652,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100002418","Nodes","2418",21.000000,27.793180,"Default Known Flow Node","Known Flow",265927.456141,674202.270013,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100001036","Nodes","1036",21.000000,24.757905,"Default Known Flow Node","Known Flow",264534.713138,672165.210112,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100001038","Nodes","1038",21.000000,24.757905,"Default Known Flow Node","Known Flow",264590.342549,672171.195946,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100001037","Nodes","1037",21.000000,24.713854,"Default Known Flow Node","Known Flow",264601.588156,672221.335127,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100000813","Nodes","813",21.000000,25.475196,"DDS demands","Known Flow",264480.397334,672379.960305,,0.000000,,,,,-11.899999,,,,,,,,,-10.641191,-11.899999,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100000515","Nodes","515",21.000000,25.631539,"Default Known Flow Node","Known Flow",264451.463115,672363.585166,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100001754","Nodes","1754",21.000000,32.632759,"DDS demands","Known Flow",266816.069569,673671.451125,,0.000000,,,,,-12.850000,,,,,,,,,-11.490699,-12.850000,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100001753","Nodes","1753",21.000000,33.077789,"DDS demands","Known Flow",266995.940970,673661.718620,,0.000000,,,,,-11.249999,,,,,,,,,-10.059949,-11.249999,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100001909","Nodes","1909",21.000000,31.523783,"Default Known Flow Node","Known Flow",266741.963739,673699.960529,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100002405","Nodes","2405",21.000000,27.723520,"Default Known Flow Node","Known Flow",265265.338337,672992.585337,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
"64401100000293","Nodes","293",21.000000,31.145698,"DDS demands","Known Flow",266891.463779,673906.460586,,0.000000,,,,,-4.249999,,,,,,,,,-3.800425,-4.249999,,"",,,,,"D1 PROFILE",,,,,,,,
"64401100000709","Nodes","-709",21.000000,31.311859,"Default Known Flow Node","Known Flow",265609.644431,671595.991957,,0.000000,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,
