"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)"
"64403500001001","Nodes","1001",21.000000,43.845505,"DDS demands","Known Flow",278428.715130,658081.383784,,0.000000,,,,,-12.300000,,,-10.998880,-12.300000,,"",,,,,"D1 PROFILE",,
"64403500000212","Nodes","212",21.000000,46.644378,"DDS demands","Known Flow",278375.092866,658070.471702,,0.000000,,,,,-5.810000,,,-5.195405,-5.810000,,"",,,,,"D1 PROFILE",,
"64403500000240","Nodes","240",21.000000,39.545804,"DDS demands","Known Flow",278466.265502,658078.914010,,0.000000,,,,,-3.089999,,,-2.763133,-3.089999,,"",,,,,"D1 PROFILE",,
"64403500000200","Nodes","200",21.000000,31.934693,"DDS demands","Known Flow",281256.258688,658284.682335,,0.000000,,,,,-8.749999,,,-7.824406,-8.749999,,"",,,,,"D1 PROFILE",,
"64403500010177","Nodes","10177",21.000000,34.501152,"Default Known Flow Node","Known Flow",279662.300254,658080.276279,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64403500001003","Nodes","1003",21.000000,34.395782,"Default Known Flow Node","Known Flow",279675.429045,658075.353293,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64403500010341","Nodes","10341",21.000000,34.336326,"Default Known Flow Node","Known Flow",279699.289264,658066.406275,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64403500000043","Nodes","43",21.000000,38.376591,"DDS demands","Known Flow",279984.890342,659013.448533,,0.000000,,,,,-12.839999,,,-11.481757,-12.839999,,"",,,,,"D1 PROFILE",,
"64403500000050","Nodes",,0.000000,30.887338,"DDS demands","Known Flow",279740.496682,657975.304258,,0.000000,,,,,-9.239999,,,-8.262573,-9.239999,,"",,,,,"D1 PROFILE",,
"64403500010278","Nodes","10278",21.000000,31.103523,"DDS demands","Known Flow",279676.424292,657990.652053,,0.000000,,,,,-5.070000,,,-4.533684,-5.070000,,"",,,,,"D1 PROFILE",,
"64403500000175","Nodes","175",21.000000,32.995647,"DDS demands","Known Flow",279836.033563,657946.304330,,0.000000,,,,,-1.059999,,,-0.947870,-1.059999,,"",,,,,"D1 PROFILE",,
"64403500000185","Nodes","185",21.000000,29.382996,"DDS demands","Known Flow",279868.262137,657858.115316,,0.000000,,,,,-12.890000,,,-11.526469,-12.890000,,"",,,,,"D1 PROFILE",,
"64403500000186","Nodes","186",21.000000,29.012177,"DDS demands","Known Flow",279946.700332,657801.082203,,0.000000,,,,,-3.510000,,,-3.138704,-3.510000,,"",,,,,"D1 PROFILE",,
"64403500000150","Nodes","150",21.000000,29.935366,"DDS demands","Known Flow",279855.442679,657867.569299,,0.000000,,,,,-2.769999,,,-2.476983,-2.769999,,"",,,,,"D1 PROFILE",,
"64403500000049","Nodes","49",21.000000,31.388762,"DDS demands","Known Flow",279643.200090,657998.454655,,0.000000,,,,,-3.119999,,,-2.789959,-3.119999,,"",,,,,"D1 PROFILE",,
"64403500010200","Nodes","10200",21.000000,34.888004,"Default Known Flow Node","Known Flow",279767.556833,657856.856603,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64403500000169","Nodes","169",21.000000,33.728710,"DDS demands","Known Flow",279594.434923,658098.930560,,0.000000,,,,,-10.169999,,,-9.094195,-10.169999,,"",,,,,"D1 PROFILE",,
"64403500010239","Nodes","10239",21.000000,31.110670,"DDS demands","Known Flow",279688.375261,658029.236265,,0.000000,,,,,-5.850000,,,-5.231174,-5.850000,,"",,,,,"D1 PROFILE",,
"64403500000232","Nodes","232",21.000000,39.317014,"DDS demands","Known Flow",279945.577331,658122.155291,,0.000000,,,,,-11.810000,,,-10.560714,-11.810000,,"",,,,,"D1 PROFILE",,
"64403500000052","Nodes","52",21.000000,32.687809,"DDS demands","Known Flow",279836.067302,658011.805261,,0.000000,-17.920000,,,,-0.839999,,,-16.775527,-18.759999,,"","C1 PROFILE",,,,"D1 PROFILE",,
"64403500010329","Nodes","10329",21.000000,33.526956,"Default Known Flow Node","Known Flow",279790.487077,658035.056002,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64403500000046","Nodes","46",21.000000,33.737120,"Default Known Flow Node","Known Flow",279596.442236,658103.832286,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64403500010233","Nodes","10233",21.000000,36.203544,"Default Known Flow Node","Known Flow",279645.086250,658140.560296,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64403500010361","Nodes","10361",21.000000,36.203544,"DDS demands","Known Flow",279662.328254,658136.672295,,0.000000,,,,,-5.030000,,,-4.497916,-5.030000,,"",,,,,"D1 PROFILE",,
"64403500000170","Nodes","170",21.000000,40.148583,"DDS demands","Known Flow",279936.010750,658058.337948,,0.000000,,,,,-6.550000,,,-5.857127,-6.550000,,"",,,,,"D1 PROFILE",,
"64403500010185","Nodes","10185",21.000000,39.317014,"Default Known Flow Node","Known Flow",279939.098330,658115.147289,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64403500000058","Nodes","58",21.000000,39.756786,"DDS demands","Known Flow",279943.074580,658064.956039,,0.000000,,,,,-6.719999,,,-6.009144,-6.719999,,"",,,,,"D1 PROFILE",,
"64403500000171","Nodes","171",21.000000,39.471506,"DDS demands","Known Flow",279913.974323,658083.157280,,0.000000,-0.049999,,,,-15.630000,,-5.559999,-18.993187,-21.240000,,"","C1 PROFILE",,,,"D1 PROFILE",,"I2 PROFILE"
"64403500000051","Nodes","51",21.000000,33.663070,"DDS demands","Known Flow",279787.412715,658027.798455,,0.000000,,,,,-14.189999,,,-12.688951,-14.189999,,"",,,,,"D1 PROFILE",,
"64403500010194","Nodes","10194",21.000000,33.737120,"Default Known Flow Node","Known Flow",279595.540236,658101.282285,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64403500010353","Nodes","10353",21.000000,33.749482,"Default Known Flow Node","Known Flow",279598.008237,658103.204285,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64403500000168","Nodes","168",21.000000,32.696353,"DDS demands","Known Flow",279568.318134,658117.265885,,0.000000,,,,,-2.589999,,,-2.316024,-2.589999,,"",,,,,"D1 PROFILE",,
"64403500010351","Nodes","10351",21.000000,32.633976,"Default Known Flow Node","Known Flow",279556.530231,658103.525614,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64403500010368","Nodes","10368",21.000000,31.688189,"Default Known Flow Node","Known Flow",279539.244781,658154.047589,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64403500010356","Nodes","10356",21.000000,32.826463,"Default Known Flow Node","Known Flow",279572.387304,658114.535710,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64403500000047","Nodes","47",21.000000,34.670352,"DDS demands","Known Flow",279641.084249,658087.821281,,0.000000,,,,,-10.939999,,,-9.782743,-10.939999,,"",,,,,"D1 PROFILE",,
"64403500010360","Nodes","10360",21.000000,36.162349,"DDS demands","Known Flow",279661.831172,658135.548395,,0.000000,,,,,-6.880000,,,-6.152219,-6.880000,,"",,,,,"D1 PROFILE",,
"64403500010158","Nodes","10158",21.000000,31.299672,"Default Known Flow Node","Known Flow",279505.332415,658212.524571,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64403500000045","Nodes","45",21.000000,31.296210,"DDS demands","Known Flow",279502.424211,658214.336316,,0.000000,,,,,-10.569999,,,-9.451883,-10.569999,,"",,,,,"D1 PROFILE",,
"64403500010160","Nodes","10160",21.000000,31.299672,"Default Known Flow Node","Known Flow",279520.470975,658224.458099,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64403500010191","Nodes","10191",21.000000,31.334176,"DDS demands","Known Flow",279502.618211,658171.288304,,0.000000,,,,,-2.619999,,,-2.342850,-2.619999,,"",,,,,"D1 PROFILE",,
"64403500010366","Nodes","10366",21.000000,31.458861,"DDS demands","Known Flow",279523.597217,658144.706297,,0.000000,,,,,-0.579999,,,-0.518646,-0.579999,,"",,,,,"D1 PROFILE",,
"64403500010220","Nodes","10220",21.000000,31.586914,"DDS demands","Known Flow",279530.607218,658134.496294,,0.000000,,,,,-2.250000,,,-2.011990,-2.250000,,"",,,,,"D1 PROFILE",,
"64403500010212","Nodes","10212",21.000000,30.133250,"DDS demands","Known Flow",279544.605222,658188.279309,,0.000000,,,,,-4.709999,,,-4.211766,-4.709999,,"",,,,,"D1 PROFILE",,
"64403500010208","Nodes","10208",21.000000,32.627655,"DDS demands","Known Flow",279564.305228,658096.707284,,0.000000,,,,,-2.289999,,,-2.047759,-2.289999,,"",,,,,"D1 PROFILE",,
"64403500010182","Nodes","10182",21.000000,32.622265,"DDS demands","Known Flow",279545.694223,658114.703289,,0.000000,,,,,-2.970000,,,-2.655827,-2.970000,,"",,,,,"D1 PROFILE",,
"64403500010362","Nodes","10362",21.000000,32.822162,"Default Known Flow Node","Known Flow",279586.737267,658135.931442,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64403500010199","Nodes","10199",21.000000,32.811405,"DDS demands","Known Flow",279578.815232,658148.079298,,0.000000,,,,,-3.390000,,,-3.031398,-3.390000,,"",,,,,"D1 PROFILE",,
"64403500010214","Nodes","10214",21.000000,32.818389,"DDS demands","Known Flow",279595.307236,658132.462293,,0.000000,,,,,-2.409999,,,-2.155065,-2.409999,,"",,,,,"D1 PROFILE",,
"64403500010346","Nodes","10346",21.000000,34.165100,"Default Known Flow Node","Known Flow",279615.193241,658077.881279,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64403500010215","Nodes","10215",21.000000,34.159772,"DDS demands","Known Flow",279605.571239,658081.005279,,0.000000,,,,,-2.740000,,,-2.450157,-2.740000,,"",,,,,"D1 PROFILE",,
