"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(TT)"
"64401000016308","Nodes","-20","21.000000","38.243539","Default Known Flow Node","Known Flow","287729.219449","692581.965667","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000001005","Nodes","Logger 9357, Opposite McKenzie of Alloa","21.000000","38.490944","Val Log Post","Known Flow","287828.928033","692555.415116","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000016105","Nodes","-148","21.000000","29.430605","Default Known Flow Node","Known Flow","287374.030353","693040.991792","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000016122","Nodes","-156","21.000000","29.387411","Default Known Flow Node","Known Flow","287273.457325","693072.155801","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000011984","Nodes","","21.000000","29.597330","Default Known Flow Node","Known Flow","287590.226412","692967.792772","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000001135","Nodes","1135","21.000000","29.563863","DDS demands","Known Flow","287591.469412","692981.965776","","0.000000","","","","","","","-12.539999","","","","","","","-11.213492","-12.539999","","","","","","","","","","D1 PROFILE","","","","","","",""
"64401000011985","Nodes","","21.000000","29.396231","Default Known Flow Node","Known Flow","287399.545360","693009.383784","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000016082","Nodes","-1463679","21.000000","29.396231","Default Known Flow Node","Known Flow","287314.339336","693040.482792","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000011988","Nodes","","21.000000","29.457449","Default Known Flow Node","Known Flow","287457.768376","692963.555771","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000011989","Nodes","","21.000000","29.465975","Default Known Flow Node","Known Flow","287481.315382","692946.674767","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000000662","Nodes","662","21.000000","29.714675","DDS demands","Known Flow","287580.997409","692892.801752","","0.000000","","","","","","","-9.000000","","","","","","","-8.047961","-9.000000","","","","","","","","","","D1 PROFILE","","","","","","",""
"64401000015512","Nodes","-128","21.000000","29.592696","Default Known Flow Node","Known Flow","287729.844450","692954.465769","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000001470","Nodes","1470","21.000000","29.590391","DDS demands","Known Flow","287730.969450","692954.465769","","0.000000","","","","","","","-22.440000","","","","","","","-20.066249","-22.440000","","","","","","","","","","D1 PROFILE","","","","","","",""
"64401000000208","Nodes","208","21.000000","31.007196","DDS demands","Known Flow","287659.151072","693716.110301","","0.000000","","","","","","","-6.370000","","","","","","","-5.696168","-6.370000","","","","","","","","","","D1 PROFILE","","","","","","",""
"64401000016029","Nodes","-1463558","21.000000","31.007196","Default Known Flow Node","Known Flow","287661.844431","693708.215974","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000016162","Nodes","-166","21.000000","29.430605","Default Known Flow Node","Known Flow","287265.031334","693191.850595","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000016164","Nodes","-167","21.000000","29.430605","Default Known Flow Node","Known Flow","287265.912323","693193.845834","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000016269","Nodes","-190","21.000000","27.390376","Default Known Flow Node","Known Flow","287522.737318","693580.078675","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"64401000001840","Nodes","1840","21.000000","27.350180","DDS demands","Known Flow","287526.594394","693585.715941","","0.000000","","","","","","","-6.969999","","","","","","","-6.232698","-6.969999","","","","","","","","","","D1 PROFILE","","","","","","",""
