"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64402300001285","Nodes","","21.000000","39.111074","Default Known Flow Node","Known Flow","304121.642910","637785.780757","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001055","Nodes","","21.000000","24.691870","Default Known Flow Node","Known Flow","303517.181745","637215.879602","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001057","Nodes","","21.000000","32.682093","Default Known Flow Node","Known Flow","303751.477809","637432.870661","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001058","Nodes","","21.000000","32.637333","Default Known Flow Node","Known Flow","303804.014823","637437.815662","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001059","Nodes","","21.000000","24.972943","Default Known Flow Node","Known Flow","303841.475834","637276.214618","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001060","Nodes","","21.000000","24.760315","Default Known Flow Node","Known Flow","303852.577837","637189.353595","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001017","Nodes","","21.000000","23.987130","Default Known Flow Node","Known Flow","303871.258842","637157.740586","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001066","Nodes","","21.000000","38.681815","Default Known Flow Node","Known Flow","304030.556885","637702.697734","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001067","Nodes","","21.000000","38.333728","Default Known Flow Node","Known Flow","304041.066888","637748.111747","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001310","Nodes","","21.000000","38.003711","Default Known Flow Node","Known Flow","304086.390900","637770.778753","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001070","Nodes","","21.000000","29.478807","Default Known Flow Node","Known Flow","303648.596781","637391.058649","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001071","Nodes","","21.000000","29.478807","Default Known Flow Node","Known Flow","303641.821779","637404.638653","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001074","Nodes","","21.000000","24.231626","Default Known Flow Node","Known Flow","303674.509788","637206.984599","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001076","Nodes","","21.000000","29.640121","Default Known Flow Node","Known Flow","303686.390791","637378.602646","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001078","Nodes","","21.000000","25.232614","Default Known Flow Node","Known Flow","303730.386803","637646.369719","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"64402300001082","Nodes","","21.000000","39.951589","Default Known Flow Node","Known Flow","303872.291842","637580.109701","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
