"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"64404100000220","Nodes","220",21.000000,28.046541,"DDS demands","Known Flow",289141.625000,663970.500000,,0.000000,,,,,-27.386999,,,,,,-24.489945,-27.386999,,"",,,,,"D1 PROFILE",,,,,
"644041-292623","Nodes","-292623",21.000000,28.051076,"Default Known Flow Node","Known Flow",289145.125000,663972.125000,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64404100000074","Nodes","74",21.000000,36.092769,"DDS demands","Known Flow",290522.750000,664585.750000,,0.000000,,,,,-11.659000,,,,,,-10.425687,-11.659000,,"",,,,,"D1 PROFILE",,,,,
"64404100000180","Nodes","180",21.000000,31.347300,"DDS demands","Known Flow",289620.500000,664282.125000,,0.000000,-3.819998,,,,-22.457997,,,,,,-23.498254,-26.277996,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,
"644041-292699","Nodes","-292699",21.000000,31.299791,"Default Known Flow Node","Known Flow",289654.875000,664286.500000,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64404100000334","Nodes","Logger - 9718",21.000000,30.917545,"DDS demands","Known Flow",290317.500000,664145.125000,,0.000000,,,,,-14.109000,,,,,,-12.616520,-14.109000,,"",,,,,"D1 PROFILE",,,,,
"644041-303379","Nodes","-303379",21.000000,30.881689,"Default Known Flow Node","Known Flow",290438.250000,664190.250000,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"64404100000288","Nodes","288",21.000000,34.453096,"DDS demands","Known Flow",290131.250000,664528.375000,,0.000000,,,,,-1.274999,,,,,,-1.140126,-1.274999,,"",,,,,"D1 PROFILE",,,,,
"64404100000366","Nodes","366",21.000000,34.609719,"Default Known Flow Node","Known Flow",290129.125000,664562.625000,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
"644041-292637","Nodes","-292637",21.000000,27.939554,"Default Known Flow Node","Known Flow",289321.000000,664023.000000,,0.000000,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,
