"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)"
"64308000000072","Nodes","72",21.000000,61.848045,"DDS demands","Known Flow",311341.975875,666904.083680,,0.000000,,,,-4.889999,,,,-4.372725,-4.889999,,"",,,,"D1 PROFILE",,,
"64308000000069","Nodes","69",21.000000,61.986949,"DDS demands","Known Flow",311299.975863,666859.083668,,0.000000,,,,-10.119999,,,,-9.049484,-10.119999,,"",,,,"D1 PROFILE",,,
"64308000000016","Nodes","16",21.000000,65.627196,"DDS demands","Known Flow",311028.100789,666997.583706,,0.000000,,,,-12.409999,,,,-11.097243,-12.409999,,"",,,,"D1 PROFILE",,,
"64308000000017","Nodes","17",21.000000,64.844593,"Default Known Flow Node","Known Flow",311147.098578,666950.193422,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64308000000073","Nodes","73",21.000000,61.124115,"DDS demands","Known Flow",311388.350887,666887.458676,,0.000000,,,,-17.260000,,,,-15.434201,-17.260000,,"",,,,"D1 PROFILE",,,
"64308000000074","Nodes","74",21.000000,61.205768,"DDS demands","Known Flow",311366.225881,666849.708665,,0.000000,,,,-0.959999,,,,-0.858449,-0.959999,,"",,,,"D1 PROFILE",,,
"64308000000075","Nodes","75",21.000000,61.205744,"DDS demands","Known Flow",311387.600887,666868.208670,,0.000000,,,,-1.259999,,,,-1.126714,-1.259999,,"",,,,"D1 PROFILE",,,
"64308000000070","Nodes","70",21.000000,61.986949,"Default Known Flow Node","Known Flow",311317.725868,666827.458659,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"64308000000076","Nodes","76",21.000000,62.485944,"DDS demands","Known Flow",311285.600859,666900.958679,,0.000000,,,,-5.610000,,,-6.000000,-10.381869,-11.610000,,"",,,,"D1 PROFILE",,,"I2 PROFILE"
"64308000000077","Nodes","77",21.000000,62.390339,"DDS demands","Known Flow",311325.725870,666910.583682,,0.000000,,,,-1.879999,,,,-1.681129,-1.879999,,"",,,,"D1 PROFILE",,,
"64308000000068","Nodes","68",21.000000,63.175847,"DDS demands","Known Flow",311278.100857,666921.708685,,0.000000,,,,-2.450000,,,,-2.190834,-2.450000,,"",,,,"D1 PROFILE",,,
"64308000000071","Nodes","71",21.000000,63.230373,"DDS demands","Known Flow",311301.475864,666926.083686,,0.000000,,,,-4.320000,,,,-3.863021,-4.320000,,"",,,,"D1 PROFILE",,,
"64308000000018","Nodes","18",21.000000,64.021445,"DDS demands","Known Flow",311272.975856,666937.708689,,0.000000,,,,-12.850000,,,,-11.490700,-12.850000,,"",,,,"D1 PROFILE",,,
"64308000000019","Nodes","19",21.000000,63.773238,"DDS demands","Known Flow",311327.850871,666956.708695,,0.000000,,,-3.670000,-4.130000,,,,-6.974899,-7.799999,,"",,,"C4 PROFILE","D1 PROFILE",,,
"64308000000067","Nodes","67",21.000000,63.586469,"DDS demands","Known Flow",311340.100874,666983.458702,,0.000000,-4.449999,,,-4.990000,,,,-8.441416,-9.439999,,"","C1 PROFILE",,,"D1 PROFILE",,,
"64308000000020","Nodes","20",21.000000,62.778026,"DDS demands","Known Flow",311366.600881,666960.583696,,0.000000,,,,-4.900000,,,,-4.381668,-4.900000,,"",,,,"D1 PROFILE",,,
"64308000000010","Nodes","Millrigg Street RRI",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",310199.725564,667152.458748,,999998.967025,,,,,,,,10.998880,12.300000,,"",,,,,,,
