"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64302600000021","Nodes","21","21.000000","22.434512","DDS demands","Known Flow","300860.110022","662596.217508","","0.000000","","","","","","","-60.720002","","","","-54.296907","-60.720002","","","","","","","","","I2 PROFILE","","",""
"64302600000275","Nodes","275","21.000000","23.266966","DDS demands","Known Flow","300999.378060","662723.969543","","0.000000","","","","-7.790000","","","","","","","-6.965956","-7.790000","","","","","","D1 PROFILE","","","","","",""
"64302600000228","Nodes","228","21.000000","31.669942","DDS demands","Known Flow","302394.141270","663058.889109","","0.000000","","","","-10.430000","","","","","","","-9.326692","-10.430000","","","","","","D1 PROFILE","","","","","",""
"64302600001009","Nodes","Logger 9237, 13 Harburn Road","21.000000","34.068058","Val Log Post","Known Flow","301951.454426","663179.668505","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64302600000236","Nodes","236","21.000000","34.005715","DDS demands","Known Flow","301982.278515","663172.745962","","0.000000","","","","-10.629999","","","","","","","-9.505535","-10.629999","","","","","","D1 PROFILE","","","","","",""
"64302600000019","Nodes","19","21.000000","26.331925","Default Known Flow Node","Known Flow","302844.378562","663805.928837","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64302600001008","Nodes","Logger 9363, 31 Chapelton Drive","21.000000","26.945952","Val Log Post","Known Flow","302879.485767","663818.490305","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64302600000171","Nodes","171","21.000000","27.969453","DDS demands","Known Flow","302940.697589","663840.214847","","0.000000","","","","-7.129999","","","","","","","-6.375773","-7.129999","","","","","","D1 PROFILE","","","","","",""
"64302600000399","Nodes","399","21.000000","31.922570","Default Known Flow Node","Known Flow","302097.640398","662982.494316","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"64302600001007","Nodes","","21.000000","21.333874","DDS demands","Known Flow","302551.197729","664200.858593","","0.000000","","","","-5.440000","","","","","","","-4.864544","-5.440000","","","","","","D1 PROFILE","","","","","",""
"64302600000054","Nodes","54","21.000000","32.378447","DDS demands","Known Flow","302075.180933","663053.313272","","0.000000","","","","-14.699999","","","","","","","-13.145001","-14.699999","","","","","","D1 PROFILE","","","","","",""
"64302600000310","Nodes","310","21.000000","34.697336","DDS demands","Known Flow","301757.635267","662811.967567","","0.000000","","","","-2.470000","","","","","","","-2.208718","-2.470000","","","","","","D1 PROFILE","","","","","",""
"64302600001000","Nodes","Logger 9112, 32 West Muir Road","21.000000","34.686445","Val Log Post","Known Flow","301773.055522","662801.245559","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
