"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"94119100007542","Nodes","170, P11125541, Haylind Road, -97.2 scmh",25.000000,32.832307,"CSEP Unmatched","Known Flow",534397.094224,124379.531459,,0.000000,,,,,,,,,,-97.199998,,-86.917981,-97.199998,,"",,,,,,,,,,"DC PROFILE",
"94119100007475","Nodes","-11",21.000000,28.267534,"Default Known Flow Node","Known Flow",529871.910339,124371.186053,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"94119100007612","Nodes","7612, P10125509, WIVELSFIELD ROAD, FY1(-40.71) & FY5(-81.33)SCMH",25.000000,36.002954,"CSEP Unmatched","Known Flow",533371.785964,122672.091652,,0.000000,,,,,,,,,,-40.710000,,-36.403609,-40.710000,,"",,,,,,,,,,"DC PROFILE",
"94119100009128","Nodes","-63987",21.000000,31.577450,"Default Known Flow Node","Known Flow",534253.286531,122872.810645,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"94119100007537","Nodes","-1192",21.000000,36.691163,"Default Known Flow Node","Known Flow",533290.289707,124849.051539,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"94119109305388","Nodes","9305388",21.000000,36.055882,"DDS demands","Known Flow",533505.891110,124906.350464,,0.000000,,,,,-5.349999,,,,,,,-4.784065,-5.349999,,"",,,,,"D1 PROFILE",,,,,,
"94119100007530","Nodes","-1184",21.000000,35.728277,"Default Known Flow Node","Known Flow",533637.911364,124804.311170,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"94119109305151","Nodes","9305151",21.000000,37.218310,"DDS demands","Known Flow",533232.161253,124752.186156,,0.000000,-3.650000,,,,-27.640000,,,,,,,-27.980077,-31.290000,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,,
"94119109305156","Nodes","9305156",21.000000,36.570251,"DDS demands","Known Flow",533301.911566,124851.092764,,0.000000,,,,,-17.940000,,,,,,,-16.042270,-17.940000,,"",,,,,"D1 PROFILE",,,,,,
"94119109305157","Nodes","9305157,",24.000000,36.160824,"DDS demands","Known Flow",533490.536324,124928.311204,,0.000000,,,,,-34.070000,,,,,,,-30.466003,-34.070000,,"",,,,,"D1 PROFILE",,,,,,
