"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"94120709507065","Nodes","9507065",21.000000,27.060953,"DDS demands","Known Flow",555735.116377,97579.327762,,0.000000,,,,,-1.529999,,-1.368153,-1.529999,,"",,,,,"",
"94120709507053","Nodes","9507053",21.000000,24.976634,"DDS demands","Known Flow",556095.470475,98152.029918,,0.000000,,,,,-4.280000,,-3.827252,-4.280000,,"",,,,,"",
"94120709507108","Nodes","9507108",21.000000,25.667272,"Default Known Flow Node","Known Flow",555931.115240,98137.462431,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120709507090","Nodes","9507090",21.000000,22.545607,"DDS demands","Known Flow",555976.311976,98838.161367,,0.000000,,,,,-8.709999,,-7.788637,-8.709999,,"",,,,,"D1 PROFILE",
"94120709507089","Nodes","9507089",21.000000,22.653726,"DDS demands","Known Flow",555993.192897,98983.901327,,0.000000,,,,,-15.189999,,-13.583169,-15.189999,,"",,,,,"D1 PROFILE",
"94120709507013","Nodes","9507013",21.000000,27.022323,"DDS demands","Known Flow",555724.049353,97604.751918,,0.000000,,,,,-7.250000,,-6.483080,-7.250000,,"",,,,,"",
"94120709507014","Nodes","9507014",21.000000,26.905236,"DDS demands","Known Flow",555766.322216,97673.543109,,0.000000,,,,,-5.590000,,-4.998678,-5.590000,,"",,,,,"",
"94120700000207","Nodes","207",21.000000,22.363480,"DDS demands","Known Flow",555783.277240,99083.642453,,0.000000,,,,,-7.940000,,-7.100090,-7.940000,,"",,,,,"",
"94120700002252","Nodes","2252",0.000000,27.692869,"Default Known Flow Node","Known Flow",555624.145851,97857.980447,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120700002254","Nodes","2254",0.000000,27.600937,"Default Known Flow Node","Known Flow",555627.215531,97860.665338,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120700000112","Nodes",,0.000000,22.523491,"Default Known Flow Node","Known Flow",555973.532305,98819.908149,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94120700000118","Nodes",,0.000000,27.172586,"Default Known Flow Node","Known Flow",555615.097460,97636.629740,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
