"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"94118308905238","Nodes","8905238","21.000000","28.498995","DDS demands","Known Flow","539492.162957","101495.429828","","0.000000","","","","","-3.459999","","","","","","-3.093993","-3.459999","","","","","","","D1 PROFILE","","","","",""
"94118300384070","Nodes","384070","21.000000","28.488776","DDS demands","Known Flow","539484.287955","101498.804829","","0.000000","","","","","-2.390000","","","","","","-2.137181","-2.390000","","","","","","","D1 PROFILE","","","","",""
"94118300000401","Nodes","401","21.000000","24.934132","Default Known Flow Node","Known Flow","542073.913659","100957.304681","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94118308905165","Nodes","8905165","21.000000","24.681084","DDS demands","Known Flow","542071.538659","100950.554680","","0.000000","","","","","-34.630001","","","","","","-30.966767","-34.630001","","","","","","","D1 PROFILE","","","","",""
"94118308905271","Nodes","P08118392, SEAVIEW AVENUE,  49.27 (CT load -108.10)","25.000000","25.018089","CSEP DDS Matched","Known Flow","542158.644344","100929.319807","","0.000000","","","","","","-49.570001","","","","","-44.326382","-49.570001","","","","","","","","DC PROFILE","","","",""
"94118308905272","Nodes","8905272","21.000000","25.130904","DDS demands","Known Flow","542252.750173","100897.814838","","0.000000","","","","","-1.360000","","","","","","-1.216136","-1.360000","","","","","","","D1 PROFILE","","","","",""
"94118304904584","Nodes","P10123327, Flats 1-6, 1 Ambleside Avenue, 7.29","22.999998","29.103890","CSEP DDS Matched","Known Flow","540203.000000","101309.000000","","0.000000","","","","","","-7.289999","","","","","-6.518848","-7.289999","","","","","","","","DC PROFILE","","","",""
"94118300243518","Nodes","243518","21.000000","24.645154","Default Known Flow Node","Known Flow","540245.663162","102182.680015","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94118308905400","Nodes","8905400","21.000000","24.646311","Default Known Flow Node","Known Flow","540254.948923","102202.600465","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94118308905118","Nodes","8905118","21.000000","24.646508","DDS demands","Known Flow","540256.681165","102205.941021","","0.000000","","","","","-12.610000","","","","","","-11.276088","-12.610000","","","","","","","D1 PROFILE","","","","",""
"94118300159859","Nodes","159859","21.000000","24.087671","Default Known Flow Node","Known Flow","540655.912491","102292.530335","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94118300007193","Nodes","Logger 7193, 106 Ambleside Avenue","21.000000","24.184612","Val Log Cath","Known Flow","540659.132389","102329.551502","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94118300159866","Nodes","159866","21.000000","24.184612","Default Known Flow Node","Known Flow","540667.538277","102375.305067","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94118308905032","Nodes","8905032","21.000000","24.465302","DDS demands","Known Flow","540085.897322","101650.136415","","0.000000","","","","","-28.779999","","","","","","-25.735590","-28.779999","","","","","","","D1 PROFILE","","","","",""
"94118308905033","Nodes","8905033","21.000000","24.600567","DDS demands","Known Flow","540006.515890","101473.063895","","0.000000","","-24.999999","","","-12.700000","","","","","","-33.712014","-37.699999","","","","C2 PROFILE","","","D1 PROFILE","","","","",""
