"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"94116800080823","Nodes","-80823",21.000000,30.815473,"DDS demands","Known Flow",505742.153773,103138.430275,,0.000000,-10.450000,,,,,,,,-9.344577,-10.450000,,"","C1 PROFILE",,,,,,,
"94116800080834","Nodes","-80834",21.000000,30.893767,"Default Known Flow Node","Known Flow",505851.403803,103119.805270,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94116800368574","Nodes","-368574",21.000000,30.671434,"Default Known Flow Node","Known Flow",506356.406037,103507.538804,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94116808102199","Nodes","8102199",21.000000,30.259350,"DDS demands","Known Flow",506268.342740,103500.853431,,0.000000,,,,-27.700000,,,,,-24.769836,-27.700000,,"",,,,"D1 PROFILE",,,,
"94116800368570","Nodes","-368570",21.000000,30.206976,"Default Known Flow Node","Known Flow",506230.779607,103498.283774,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94116808102315","Nodes","8102315",21.000000,25.807407,"DDS demands","Known Flow",506660.404023,103944.555494,,0.000000,,,,-11.470000,,,,,-10.256680,-11.470000,,"",,,,"D1 PROFILE",,,,
"94116808102190","Nodes","8102190",21.000000,27.343979,"DDS demands","Known Flow",506629.184444,103822.056570,,0.000000,,,,-18.920000,,,,,-16.918603,-18.920000,,"",,,,"D1 PROFILE",,,,
"94116808102318","Nodes","8102318",21.000000,31.667333,"DDS demands","Known Flow",506565.689065,103518.291804,,0.000000,,,,-12.770000,,,,,-11.419162,-12.770000,,"",,,,"D1 PROFILE",,,,
"94116808102189","Nodes","8102189",21.000000,23.523066,"DDS demands","Known Flow",506659.029023,103855.555470,,0.000000,,,,-16.270000,,,,,-14.548925,-16.270000,,"",,,,"D1 PROFILE",,,,
"94116808102191","Nodes","8102191",21.000000,27.358905,"DDS demands","Known Flow",506640.233025,103665.352903,,0.000000,,,,-11.510000,,,,,-10.292448,-11.510000,,"",,,,"D1 PROFILE",,,,
