"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)"
"94116608104012","Nodes","8104012",21.000000,29.768511,"DDS demands","Known Flow",500352.253306,104309.936594,,0.000000,,,-14.680000,,-13.127118,-14.680000,,"",,,"D1 PROFILE",
"94116608104040","Nodes","8104040",21.000000,29.984156,"Default Known Flow Node","Known Flow",500214.774448,104298.143262,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94116608104011","Nodes","8104011",21.000000,29.689126,"DDS demands","Known Flow",500159.419204,104320.200359,,0.000000,-3.549999,,,-4.139999,-6.876535,-7.690000,,"","C1 PROFILE",,,"I2 PROFILE"
"94116608104056","Nodes","8104056",21.000000,29.678570,"DDS demands","Known Flow",500123.469244,104331.224600,,0.000000,,,-2.009999,,-1.797377,-2.009999,,"",,,"D1 PROFILE",
"94116608104048","Nodes","8104048",21.000000,25.055507,"DDS demands","Known Flow",499537.177085,103883.808478,,0.000000,-6.199999,,,,-5.544150,-6.199999,,"","C1 PROFILE",,,
"94116608104031","Nodes","8104031",21.000000,25.012017,"Default Known Flow Node","Known Flow",499583.545097,103868.709474,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94116608104045","Nodes","8104045",21.000000,25.137966,"DDS demands","Known Flow",499480.103069,103785.535451,,0.000000,,,,-10.960000,-9.800629,-10.960000,,"",,,,"I2 PROFILE"
"94116608104016","Nodes","8104016",21.000000,25.122794,"DDS demands","Known Flow",499535.777084,103905.166484,,0.000000,-11.510000,,-5.989999,,-15.648813,-17.500001,,"","C1 PROFILE",,"D1 PROFILE",
"94116608104030","Nodes","8104030",21.000000,25.121922,"Default Known Flow Node","Known Flow",499482.017070,103921.257488,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94116608104032","Nodes","8104032",21.000000,25.121922,"Default Known Flow Node","Known Flow",499512.015078,103960.887499,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94116608104039","Nodes","8104039",21.000000,25.197430,"Default Known Flow Node","Known Flow",499559.306921,103747.490502,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94116608104015","Nodes","8104015",21.000000,25.199544,"DDS demands","Known Flow",499566.699896,103743.744072,,0.000000,,,-13.810000,,-12.349149,-13.810000,,"",,,"D1 PROFILE",
"94116608104043","Nodes","8104043",21.000000,25.310510,"DDS demands","Known Flow",499938.938194,103690.580425,,0.000000,,,-3.170000,,-2.834670,-3.170000,,"",,,"D1 PROFILE",
"94116608104047","Nodes","8104047",21.000000,25.323541,"Default Known Flow Node","Known Flow",499980.731881,103685.063712,,0.000000,,,,,0.000000,0.000000,,"",,,,
