"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"94115407605085","Nodes","7605085",21.000000,25.795327,"DDS demands","Known Flow",523953.158729,134745.563876,,0.000000,,,,-19.120001,,,,,-17.097448,-19.120001,,"",,,,"D1 PROFILE",,,,
"941154-467242","Nodes","-467242",21.000000,25.883630,"Default Known Flow Node","Known Flow",523921.908720,134684.563859,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605013","Nodes","7605013",21.000000,28.240662,"DDS demands","Known Flow",524593.158903,135490.814078,,0.000000,,,,-7.519999,,,,,-6.724518,-7.519999,,"",,,,"D1 PROFILE",,,,
"94115407605284","Nodes","7605284",21.000000,28.161307,"DDS demands","Known Flow",524628.346404,135497.329768,,0.000000,,,,-28.629998,,,,,-25.601456,-28.629998,,"",,,,"D1 PROFILE",,,,
"941154-469269","Nodes","-469269",21.000000,28.161307,"Default Known Flow Node","Known Flow",524641.283916,135498.939081,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-469393","Nodes","-469393",21.000000,24.031322,"Default Known Flow Node","Known Flow",524878.408980,135018.813950,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605021","Nodes","7605021",21.000000,22.221715,"DDS demands","Known Flow",524880.908981,135011.063948,,0.000000,,,,-30.229999,,,,,-27.032205,-30.229999,,"",,,,"D1 PROFILE",,,,
"941154-467372","Nodes","-467372",21.000000,22.221715,"Default Known Flow Node","Known Flow",524923.408993,134999.438945,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605040","Nodes","7605040",21.000000,29.495508,"DDS demands","Known Flow",525007.164907,135490.293968,,0.000000,,,,-8.590000,,,,,-7.681332,-8.590000,,"",,,,"D1 PROFILE",,,,
"941154-469935","Nodes","-469935",21.000000,29.490143,"Default Known Flow Node","Known Flow",525004.534015,135490.814078,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-470055","Nodes","-470055",21.000000,25.230864,"Default Known Flow Node","Known Flow",525444.034134,135281.814021,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605051","Nodes","7605051",21.000000,25.228040,"DDS demands","Known Flow",525463.238069,135227.828611,,0.000000,,,,-8.909999,,,,,-7.967481,-8.909999,,"",,,,"",,,,
"941154-470048","Nodes","-470048",21.000000,25.327696,"Default Known Flow Node","Known Flow",525415.279345,135172.311072,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"941154-469955","Nodes","-469955",21.000000,29.423767,"Default Known Flow Node","Known Flow",525028.909021,135474.564074,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94115407605041","Nodes","7605041",21.000000,29.400026,"DDS demands","Known Flow",525029.425909,135466.061271,,0.000000,,,,-12.689999,,,,,-11.347624,-12.689999,,"",,,,"D1 PROFILE",,,,
