"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"94118900000141","Nodes","141",21.000000,60.246700,"Default Known Flow Node","Known Flow",519541.375000,119604.672812,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118909303071","Nodes","9303071",21.000000,55.956915,"Default Known Flow Node","Known Flow",518745.146278,120132.946370,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118909303013","Nodes","9303013",21.000000,56.735235,"DDS demands","Known Flow",519004.417580,120354.802478,,0.000000,,,-17.930000,,,,,-16.033327,-17.930000,,"",,,"D1 PROFILE",,,,
"94118909303069","Nodes","9303069",21.000000,56.569799,"Default Known Flow Node","Known Flow",518750.682309,120383.581315,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118909303014","Nodes","9303014",21.000000,57.524043,"DDS demands","Known Flow",519184.438008,120166.392141,,0.000000,,,-28.459999,,,,,-25.449440,-28.459999,,"",,,"D1 PROFILE",,,,
"94118900000119","Nodes","119",21.000000,57.647820,"Default Known Flow Node","Known Flow",519101.836948,120171.958735,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118909303012","Nodes","9303012",21.000000,57.279761,"DDS demands","Known Flow",519208.164903,120322.016029,,0.000000,,,-12.300000,,,,,-10.998880,-12.300000,,"",,,"D1 PROFILE",,,,
"94118900000126","Nodes","126",21.000000,57.320614,"Default Known Flow Node","Known Flow",519210.450189,120326.398124,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118909303011","Nodes","9303011",21.000000,57.255350,"DDS demands","Known Flow",519266.375000,120463.672812,,0.000000,,-4.260000,,,,,,-3.809368,-4.260000,,"",,"C4 PROFILE",,,,,
"94118909303068","Nodes","9303068",21.000000,57.213941,"DDS demands","Known Flow",519282.750000,120531.422812,,0.000000,,,-2.959999,,,,,-2.646885,-2.959999,,"",,,"D1 PROFILE",,,,
"94118900000159","Nodes","159",21.000000,65.268765,"Default Known Flow Node","Known Flow",518954.527357,119094.370464,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118900000158","Nodes","158",21.000000,65.268765,"Default Known Flow Node","Known Flow",518941.758526,119128.407885,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118900000161","Nodes","161",21.000000,64.375183,"Default Known Flow Node","Known Flow",519080.450504,119150.389559,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118900000162","Nodes","162",21.000000,64.924381,"Default Known Flow Node","Known Flow",519003.186364,119115.698684,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118900000160","Nodes","160",21.000000,64.415860,"Default Known Flow Node","Known Flow",519058.039667,119199.510675,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94118900000155","Nodes","155",21.000000,56.761319,"Default Known Flow Node","Known Flow",518774.442565,119769.650191,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
