"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)"
"94116507902017","Nodes","7902017",21.000000,63.587365,"Default Known Flow Node","Known Flow",534000.480000,140089.785000,,0.000000,,,0.000000,0.000000,,"",,
"94116507902018","Nodes","7902018",21.000000,61.955490,"DDS demands","Known Flow",533892.355000,140239.660000,,0.000000,-27.670000,,-24.743009,-27.670000,,"","D1 PROFILE",
"94116507902019","Nodes","7902019",21.000000,61.760358,"DDS demands","Known Flow",534032.105000,140447.035000,,0.000000,-9.260000,,-8.280457,-9.260000,,"","D1 PROFILE",
"94116507902048","Nodes","7902048",21.000000,65.518140,"Default Known Flow Node","Known Flow",534492.230000,139779.160000,,0.000000,,,0.000000,0.000000,,"",,
"94116507902015","Nodes","7902015",21.000000,65.605436,"Default Known Flow Node","Known Flow",534443.980000,139741.285000,,0.000000,,,0.000000,0.000000,,"",,
"94116507902024","Nodes","7902024",21.000000,69.187910,"Default Known Flow Node","Known Flow",534029.605000,139906.285000,,0.000000,,,0.000000,0.000000,,"",,
"94116507902025","Nodes","7902025",21.000000,69.170682,"DDS demands","Known Flow",533986.105000,139869.035000,,0.000000,-2.109999,,-1.886799,-2.109999,,"","D1 PROFILE",
"94116507902012","Nodes","7902012",21.000000,68.426817,"Default Known Flow Node","Known Flow",534124.730000,139885.160000,,0.000000,,,0.000000,0.000000,,"",,
"94116507902044","Nodes","7902044",21.000000,68.334963,"Default Known Flow Node","Known Flow",534133.230000,139883.410000,,0.000000,,,0.000000,0.000000,,"",,
"94116507902045","Nodes","7902045",21.000000,67.293008,"Default Known Flow Node","Known Flow",534236.480000,139864.160000,,0.000000,,,0.000000,0.000000,,"",,
"94116507902013","Nodes","7902013",21.000000,66.834858,"Default Known Flow Node","Known Flow",534319.980000,139848.410000,,0.000000,,,0.000000,0.000000,,"",,
"94116507902033","Nodes","7902033",21.000000,65.632736,"DDS demands","Known Flow",534355.230000,139671.785000,,0.000000,-2.949999,,-2.637942,-2.949999,,"","D1 PROFILE",
"94116507902014","Nodes","7902014",21.000000,65.804369,"DDS demands","Known Flow",534479.480000,139827.535000,,0.000000,-13.879999,-51.659998,-58.607039,-65.539996,,"","D1 PROFILE","I2 PROFILE"
"94116507902034","Nodes","7902034",21.000000,65.251887,"Default Known Flow Node","Known Flow",534594.355000,139565.535000,,0.000000,,,0.000000,0.000000,,"",,
