"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"94122009901020","Nodes","9901020",21.000000,26.462064,"DDS demands","Known Flow",543740.901354,101993.906179,,0.000000,,,,,,,-18.549999,,,,,,-16.587741,-18.549999,,"",,,,,,,"D1 PROFILE",,,,,
"94122000001360","Nodes","Logger 1360, Bush Road",21.000000,26.462265,"Log Low Point","Known Flow",543742.972558,101992.857329,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"941220-399016","Nodes","-399016",21.000000,26.572312,"Default Known Flow Node","Known Flow",543996.784960,101880.057665,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"94122009901084","Nodes","9901084",21.000000,27.063782,"DDS demands","Known Flow",544143.664223,101675.429877,,0.000000,,,,,,,-11.220000,,,,,,-10.033124,-11.220000,,"",,,,,,,"D1 PROFILE",,,,,
"94122000000733","Nodes","Logger 674, Lewes Rd",21.000000,27.107200,"Val Log Post","Known Flow",544175.537986,101701.336463,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"94122009901083","Nodes","9901083",21.000000,27.107200,"DDS demands","Known Flow",544177.289232,101702.679884,,0.000000,,,,,,,-7.829999,,,,,,-7.001726,-7.829999,,"",,,,,,,"D1 PROFILE",,,,,
"94122009901101","Nodes","9901101( -28.10scmh)",21.000000,29.200417,"DDS demands","Known Flow",544164.414228,101058.429709,,0.000000,,-28.290000,,,,,-3.150000,,,,,,-28.114211,-31.440000,,"",,"C2 PROFILE",,,,,"D1 PROFILE",,,,,
"94122009901105","Nodes","9901105",21.000000,29.651839,"DDS demands","Known Flow",544267.313138,101214.549734,,0.000000,,,,,,,-36.189999,,,,,,-32.361745,-36.189999,,"",,,,,,,"D1 PROFILE",,,,,
"941220-446348","Nodes","-446348",21.000000,29.559667,"Default Known Flow Node","Known Flow",544281.164260,101236.429757,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"941220-497350","Nodes","-497350",21.000000,29.778306,"Default Known Flow Node","Known Flow",544297.162425,101266.430572,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"94122009901106","Nodes","9901106",21.000000,29.789823,"DDS demands","Known Flow",544297.882196,101268.071651,,0.000000,,,,,,,-23.370000,,,,,,-20.897871,-23.370000,,"",,,,,,,"D1 PROFILE",,,,,
"941220-438833","Nodes","-438833",21.000000,30.096584,"Default Known Flow Node","Known Flow",544313.694054,101289.407978,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"94122009901126","Nodes","9901126",21.000000,30.068182,"DDS demands","Known Flow",544604.520061,101059.675138,,0.000000,,-4.719999,,,,,-8.300000,,,,,,-11.642716,-13.020000,,"",,"C2 PROFILE",,,,,"D1 PROFILE",,,,,
"94122009901127","Nodes","9901127",21.000000,29.817444,"DDS demands","Known Flow",544619.900999,101027.305805,,0.000000,,,,,,,-8.489999,,,,,,-7.591909,-8.489999,,"",,,,,,,"D1 PROFILE",,,,,
"94122009901074","Nodes","9901074",21.000000,29.481139,"DDS demands","Known Flow",544636.414357,100995.929692,,0.000000,,,,,,,-9.670000,,,,,,-8.647087,-9.670000,,"",,,,,,,"D1 PROFILE",,,,,
"94122009901052","Nodes","9901052",21.000000,31.739208,"DDS demands","Known Flow",544136.142178,100675.966796,,0.000000,,,,,,,-9.620000,,,,,,-8.602376,-9.620000,,"",,,,,,,"D1 PROFILE",,,,,
"941220-447334","Nodes","-447334",21.000000,31.736738,"Default Known Flow Node","Known Flow",544135.539220,100676.179605,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
"94122009901078","Nodes","9901078",21.000000,31.947334,"DDS demands","Known Flow",544709.117575,100996.524240,,0.000000,-15.999999,,,,,,-24.629998,,,,,,-36.332070,-40.629998,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,
"94122009901079","Nodes","9901079, P97215, Newhaven Marina, Fort Road, 87.78",24.000000,32.295674,"CSEP Unmatched","Known Flow",544713.289378,100714.804615,,0.000000,,,,,-43.200000,-31.849999,-28.059998,-44.580002,,,,,-132.067040,-147.689998,,"",,,,,"CC PROFILE","","D1 PROFILE","DC PROFILE",,,,
"94122009901049","Nodes","9901049",21.000000,31.851143,"DDS demands","Known Flow",544276.719906,100641.587296,,0.000000,,,,,,,-32.959999,,,,,,-29.473421,-32.959999,,"",,,,,,,"D1 PROFILE",,,,,
"94122009901005","Nodes","Upper Valley Rd DG",21.000000,33.999999,"Default Known Pressure Node","Known Pressure",543589.250072,100706.265613,,1066.999986,,,,,,,,,,,,,666.328073,745.151742,,"",,,,,,,,,,,,
"941220-374747","Nodes","-374747",21.000000,31.841161,"Default Known Flow Node","Known Flow",543767.668225,100808.816810,,0.000000,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,
