"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"94117408201017","Nodes","8201017","21.000000","27.609167","DDS demands","Known Flow","497675.254804","122259.910565","","0.000000","","-18.469999","","","-9.630000","","","","","","","-25.127523","-28.099999","","","","C2 PROFILE","","","D1 PROFILE","","","","","",""
"94117408201048","Nodes","8201048","21.000000","27.120665","DDS demands","Known Flow","497935.453233","121379.349812","","0.000000","","","","","-24.290000","","","","","","","-21.720554","-24.290000","","","","","","","D1 PROFILE","","","","","",""
"94117408201049","Nodes","","0.000000","27.228832","DDS demands","Known Flow","498007.230658","121268.737290","","0.000000","","","","","-2.829999","","","","","","","-2.530636","-2.829999","","","","","","","D1 PROFILE","","","","","",""
"94117408201022","Nodes","8201022","21.000000","27.980522","DDS demands","Known Flow","497677.955944","122008.001452","","0.000000","","-15.999999","","","-44.880001","","","","","","","-54.439986","-60.880003","","","","C2 PROFILE","","","D1 PROFILE","","","","","",""
"94117408201023","Nodes","8201023","21.000000","28.498849","DDS demands","Known Flow","497704.279586","121916.741385","","0.000000","-57.849997","","","","-6.150000","","","","","","","-57.229945","-63.999998","","","C1 PROFILE","","","","D1 PROFILE","","","","","",""
"94117408201103","Nodes","","0.000000","27.388942","DDS demands","Known Flow","497678.438579","122418.083521","","0.000000","","","","","-24.780000","","","","","","","-22.158719","-24.780000","","","","","","","D1 PROFILE","","","","","",""
"94117408201059","Nodes","8201059","21.000000","27.946388","DDS demands","Known Flow","497798.354795","121092.875980","","0.000000","","-35.890000","","","-1.909999","","","","","","","-33.801435","-37.800001","","","","C2 PROFILE","","","D1 PROFILE","","","","","",""
"94117408201050","Nodes","8201050","21.000000","27.224735","DDS demands","Known Flow","498066.259684","121046.311148","","0.000000","","","","","-23.590001","","","","","","","-21.094601","-23.590001","","","","","","","D1 PROFILE","","","","","",""
"94117408201067","Nodes","8201067","21.000000","29.601030","Default Known Flow Node","Known Flow","497368.725217","121039.465163","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"94117400345034","Nodes",".","21.000000","29.669241","Default Known Flow Node","Known Flow","497381.824498","121207.250192","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
