"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"94103000001404","Nodes","01404","21.000000","26.107032","Default Known Flow Node","Known Flow","508220.029447","146606.817103","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94103002402219","Nodes","02219","21.000000","26.107385","DDS demands","Known Flow","508221.940714","146604.121727","","0.000000","","","","","-10.670000","","","","","","-9.541305","-10.670000","","","","","","","D1 PROFILE","","","","",""
"94103001462469","Nodes","62469","21.000000","32.181910","Default Known Flow Node","Known Flow","508726.029585","148399.942591","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94103002402193","Nodes","02193","21.000000","32.259815","DDS demands","Known Flow","508584.797433","148276.263321","","0.000000","","","","-7.199999","-17.090000","","","","","","-21.720552","-24.290000","","","","","","C4 PROFILE","D1 PROFILE","","","","",""
"94103000000201","Nodes","00201","21.000000","34.403520","Default Known Flow Node","Known Flow","508483.029519","148101.317510","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94103002402212","Nodes","02212","21.000000","33.390063","DDS demands","Known Flow","508439.208507","147416.676323","","0.000000","","","","","-4.940000","","","","","","-4.417436","-4.940000","","","","","","","D1 PROFILE","","","","",""
"94103002402206","Nodes","02206","21.000000","31.005117","DDS demands","Known Flow","508418.154501","147560.192362","","0.000000","","","","","-14.389999","","","","","","-12.867795","-14.389999","","","","","","","D1 PROFILE","","","","",""
"94103002402299","Nodes","02299","21.000000","33.723503","Default Known Flow Node","Known Flow","508427.654504","147560.067362","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94103002402200","Nodes","MAXIMO 458958 - DIVERSIFIED LOAD ADDED","21.000000","30.065877","Point Loads","Known Flow","508074.029408","147707.692403","","0.000000","","","","","-1.440000","","","-26.999998","","","-25.431556","-28.439999","","","","","","","D1 PROFILE","","","PL-AF PROFILE","",""
"94103002402201","Nodes","02201","21.000000","29.758929","DDS demands","Known Flow","508051.437499","147638.877870","","0.000000","","","","","-4.590000","","","","","","-4.104460","-4.590000","","","","","","","D1 PROFILE","","","","",""
"94103001462514","Nodes","62514","21.000000","29.808491","DDS demands","Known Flow","508079.260188","147636.316050","","0.000000","","","","","-9.909999","","","","","","-8.861699","-9.909999","","","","","","","D1 PROFILE","","","","",""
