"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"94117500008130","Nodes","8130,","21.000000","53.539120","Default Known Flow Node","Known Flow","508002.645270","116422.061110","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94117508304103","Nodes","8304103,","21.000000","53.848228","DDS demands","Known Flow","508208.331928","116403.302372","","0.000000","","","","","","-7.190000","","","","","-6.429426","-7.190000","","","","","","","","D1 PROFILE","","","",""
"94117508301091","Nodes","8301091,","21.000000","27.420364","DDS demands","Known Flow","505432.465386","119861.783380","","0.000000","","","","","","-9.149999","","","","","-8.182093","-9.149999","","","","","","","","D1 PROFILE","","","",""
"94117508301092","Nodes","8301092,","21.000000","28.828465","DDS demands","Known Flow","505259.891814","119657.282559","","0.000000","","","","","","-2.669999","","","","","-2.387561","-2.669999","","","","","","","","D1 PROFILE","","","",""
"94117508301070","Nodes","8301070,","21.000000","32.924027","DDS demands","Known Flow","505141.403610","119347.684686","","0.000000","","","","","","-14.449999","","","","","-12.921448","-14.449999","","","","","","","","D1 PROFILE","","","",""
"94117508301071","Nodes","8301071,","21.000000","28.931388","DDS demands","Known Flow","505294.556344","119623.178707","","0.000000","","","","","","-3.069999","","","","","-2.745248","-3.069999","","","","","","","","D1 PROFILE","","","",""
"94117508301016","Nodes","8301016,","21.000000","23.585513","DDS demands","Known Flow","504528.926387","118562.736151","","0.000000","-6.000000","","","-4.839999","","-16.780000","","","","","-24.698299","-27.620000","","","C1 PROFILE","","","C4 PROFILE","","D1 PROFILE","","","",""
"94117500007267","Nodes","Logger 7267, Swan Corner","21.000000","23.686525","Val Log Post","Known Flow","504541.519686","118563.383648","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94117500008250","Nodes","8250,","21.000000","23.761938","Default Known Flow Node","Known Flow","504550.902478","118564.155338","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94117508301073","Nodes","8301073,","21.000000","23.259912","DDS demands","Known Flow","504417.639771","118542.004527","","0.000000","","","","","","-5.780000","","","","","-5.168579","-5.780000","","","","","","","","D1 PROFILE","","","",""
"94117508301088","Nodes","8301088,","21.000000","35.941775","DDS demands","Known Flow","505517.153712","119079.684613","","0.000000","","","","","","-0.839999","","","","","-0.751143","-0.839999","","","","","","","","D1 PROFILE","","","",""
"94117508301089","Nodes","8301089,","21.000000","34.420404","DDS demands","Known Flow","505536.058468","119255.201590","","0.000000","","","","","","","","","-39.999997","","-35.768714","-39.999997","","","","","","","","","","","I2 PROFILE",""
"94117500008199","Nodes","8199,","21.000000","34.463518","Default Known Flow Node","Known Flow","505510.778710","119319.184678","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94117508301115","Nodes","8301115,","21.000000","27.177215","DDS demands","Known Flow","505507.745221","119962.473784","","0.000000","","","","","","-8.189999","","","","","-7.323644","-8.189999","","","","","","","","D1 PROFILE","","","",""
"94117508301036","Nodes","8301036,","21.000000","27.261491","DDS demands","Known Flow","505618.028739","120108.684893","","0.000000","","","","","","-1.500000","","","","","-1.341326","-1.500000","","","","","","","","D1 PROFILE","","","",""
"94117508304087","Nodes","8304087,","21.000000","36.510760","DDS demands","Known Flow","507460.402938","118003.934664","","0.000000","","","","","","-1.820000","","","","","-1.627476","-1.820000","","","","","","","","D1 PROFILE","","","",""
"94117508304086","Nodes","8304086,","21.000000","37.467651","Default Known Flow Node","Known Flow","507421.896633","117833.708605","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94117508304085","Nodes","8304085,","21.000000","38.631028","DDS demands","Known Flow","507167.779161","117713.309241","","0.000000","","","","","","-7.539999","","","","","-6.742402","-7.539999","","","","","","","","D1 PROFILE","","","",""
