"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C3)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)"
"94104102901436","Nodes","2901436",21.000000,49.626177,"Default Known Flow Node","Known Flow",517170.415000,147461.745000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901344","Nodes","2901344",21.000000,49.584124,"DDS demands","Known Flow",517186.415000,147457.370000,,0.000000,,-1.490000,,,-1.332384,-1.490000,,"",,"D1 PROFILE",,
"94104102901473","Nodes","2901473",21.000000,49.392091,"Default Known Flow Node","Known Flow",517233.915000,147444.120000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901440","Nodes","2901440",21.000000,49.734145,"Default Known Flow Node","Known Flow",517192.540000,147490.495000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901441","Nodes","2901441",21.000000,49.734136,"Default Known Flow Node","Known Flow",517193.540000,147491.995000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901442","Nodes","2901442",21.000000,49.721487,"DDS demands","Known Flow",517204.540000,147498.120000,,0.000000,,-3.810000,,,-3.406970,-3.810000,,"",,"D1 PROFILE",,
"94104102901449","Nodes","2901449",21.000000,49.180253,"Default Known Flow Node","Known Flow",517280.165000,147496.870000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901446","Nodes","2901446",21.000000,49.217708,"DDS demands","Known Flow",517260.165000,147489.745000,,0.000000,,-1.779999,,,-1.591707,-1.779999,,"",,"D1 PROFILE",,
"94104102901450","Nodes","2901450",21.000000,49.189344,"Default Known Flow Node","Known Flow",517300.165000,147488.495000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901452","Nodes","2901452",21.000000,49.190453,"Default Known Flow Node","Known Flow",517305.665000,147493.870000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901346","Nodes","2901346",21.000000,49.233538,"DDS demands","Known Flow",517313.165000,147451.120000,,0.000000,,-7.580000,,,-6.778171,-7.580000,,"",,"D1 PROFILE",,
"94104102901456","Nodes","2901456",21.000000,49.203016,"Default Known Flow Node","Known Flow",517330.040000,147458.370000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901501","Nodes","2901501",21.000000,49.089296,"Default Known Flow Node","Known Flow",517368.540000,147480.870000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901453","Nodes","2901453",21.000000,49.149801,"DDS demands","Known Flow",517312.790000,147482.745000,,0.000000,,-2.240000,,,-2.003048,-2.240000,,"",,"D1 PROFILE",,
"94104102901466","Nodes","2901466",21.000000,49.125986,"Default Known Flow Node","Known Flow",517187.540000,147395.620000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901462","Nodes","2901462",21.000000,49.149604,"DDS demands","Known Flow",517166.040000,147379.120000,,0.000000,,-2.779999,,,-2.485925,-2.779999,,"",,"D1 PROFILE",,
"94104102901468","Nodes","2901468",21.000000,49.121552,"DDS demands","Known Flow",517198.040000,147383.870000,,0.000000,,-1.749999,,,-1.564881,-1.749999,,"",,"D1 PROFILE",,
"94104102901467","Nodes","2901467",21.000000,49.134715,"Default Known Flow Node","Known Flow",517191.415000,147400.745000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901465","Nodes","2901465",21.000000,49.127182,"DDS demands","Known Flow",517183.165000,147408.870000,,0.000000,,-3.079999,,,-2.754191,-3.079999,,"",,"D1 PROFILE",,
"94104102901470","Nodes","2901470",21.000000,49.256897,"DDS demands","Known Flow",517228.040000,147431.745000,,0.000000,,-2.119999,,,-1.895741,-2.119999,,"",,"D1 PROFILE",,
"94104102901471","Nodes","2901471",21.000000,49.243607,"Default Known Flow Node","Known Flow",517232.290000,147398.620000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901469","Nodes","2901469",21.000000,49.230982,"DDS demands","Known Flow",517225.540000,147368.370000,,0.000000,,-1.960000,,,-1.752667,-1.960000,,"",,"D1 PROFILE",,
"94104102901472","Nodes","2901472",21.000000,49.279825,"Default Known Flow Node","Known Flow",517233.790000,147407.120000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901478","Nodes","2901478",21.000000,49.260185,"Default Known Flow Node","Known Flow",517240.790000,147402.995000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901477","Nodes","2901477",21.000000,49.375044,"Default Known Flow Node","Known Flow",517239.915000,147442.995000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901475","Nodes","2901475",21.000000,49.327660,"DDS demands","Known Flow",517235.915000,147468.495000,,0.000000,,-3.629999,,,-3.246011,-3.629999,,"",,"D1 PROFILE",,
"94104102901474","Nodes","2901474",21.000000,49.293000,"DDS demands","Known Flow",517235.165000,147429.995000,,0.000000,,-1.220000,,,-1.090945,-1.220000,,"",,"D1 PROFILE",,
"94104102901481","Nodes","2901481",21.000000,49.304741,"DDS demands","Known Flow",517268.040000,147475.245000,,0.000000,,-3.099999,,,-2.772075,-3.099999,,"",,"D1 PROFILE",,
"94104102901476","Nodes","2901476",21.000000,49.243866,"DDS demands","Known Flow",517237.540000,147395.995000,,0.000000,,-1.450000,,,-1.296616,-1.450000,,"",,"D1 PROFILE",,
"94104102901479","Nodes","2901479",21.000000,49.260131,"DDS demands","Known Flow",517243.415000,147402.120000,,0.000000,,-1.299999,,,-1.162483,-1.299999,,"",,"D1 PROFILE",,
"94104102901484","Nodes","2901484",21.000000,49.168101,"DDS demands","Known Flow",517289.915000,147394.745000,,0.000000,,-2.349999,,,-2.101411,-2.349999,,"",,"D1 PROFILE",,
"94104102901485","Nodes","2901485",21.000000,49.167879,"Default Known Flow Node","Known Flow",517290.415000,147394.745000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901494","Nodes","2901494",21.000000,49.151552,"Default Known Flow Node","Known Flow",517307.165000,147412.870000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901491","Nodes","2901491",21.000000,49.079433,"Default Known Flow Node","Known Flow",517303.915000,147371.495000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901489","Nodes","2901489",21.000000,49.077213,"DDS demands","Known Flow",517300.790000,147369.120000,,0.000000,,-2.869999,,,-2.566405,-2.869999,,"",,"D1 PROFILE",,
"94104102901488","Nodes","2901488",21.000000,49.078845,"DDS demands","Known Flow",517299.290000,147377.745000,,0.000000,,-1.049999,,,-0.938928,-1.049999,,"",,"D1 PROFILE",,
"94104102901493","Nodes","2901493",21.000000,49.120060,"Default Known Flow Node","Known Flow",517304.790000,147381.745000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901492","Nodes","2901492",21.000000,49.120060,"Default Known Flow Node","Known Flow",517304.415000,147381.370000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901495","Nodes","2901495",21.000000,49.099397,"Default Known Flow Node","Known Flow",517312.290000,147386.120000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901496","Nodes","2901496",21.000000,49.096750,"Default Known Flow Node","Known Flow",517317.540000,147390.120000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901497","Nodes","2901497",21.000000,49.076708,"DDS demands","Known Flow",517327.665000,147374.745000,,0.000000,,-3.890000,,,-3.478507,-3.890000,,"",,"D1 PROFILE",,
"94104102901498","Nodes","2901498",21.000000,49.062419,"DDS demands","Known Flow",517355.290000,147427.245000,,0.000000,,-4.400000,,,-3.934558,-4.400000,,"",,"D1 PROFILE",,
"94104102901500","Nodes","2901500",21.000000,49.104698,"Default Known Flow Node","Known Flow",517363.915000,147417.620000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901499","Nodes","2901499",21.000000,49.070067,"Default Known Flow Node","Known Flow",517358.165000,147429.495000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901503","Nodes","2901503",21.000000,49.104698,"Default Known Flow Node","Known Flow",517374.290000,147388.120000,,0.000000,,0.000000,,,0.000000,0.000000,,"",,"D1 PROFILE",,
"94104102901504","Nodes","2901504",21.000000,49.126586,"DDS demands","Known Flow",517386.790000,147451.870000,,0.000000,,-4.150000,,,-3.711004,-4.150000,,"",,"D1 PROFILE",,
"94104102901505","Nodes","2901505",21.000000,49.126475,"Default Known Flow Node","Known Flow",517387.665000,147450.495000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901502","Nodes","2901502",21.000000,49.100507,"DDS demands","Known Flow",517372.915000,147414.620000,,0.000000,,-2.409999,,,-2.155065,-2.409999,,"",,"D1 PROFILE",,
"94104102901513","Nodes","2901513",21.000000,48.591911,"Default Known Flow Node","Known Flow",517432.540000,147445.120000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901514","Nodes","2901514",21.000000,48.581350,"DDS demands","Known Flow",517436.165000,147427.495000,,0.000000,,-2.920000,,,-2.611116,-2.920000,,"",,"D1 PROFILE",,
"94104102901527","Nodes","2901527",21.000000,48.550692,"DDS demands","Known Flow",517468.415000,147454.870000,,0.000000,,-4.010000,,,-3.585814,-4.010000,,"",,"D1 PROFILE",,
"94104102901515","Nodes","2901515",21.000000,48.691606,"DDS demands","Known Flow",517447.540000,147471.995000,,0.000000,,-2.809999,,,-2.512752,-2.809999,,"",,"D1 PROFILE",,
"94104102901517","Nodes","2901517",21.000000,48.614699,"Default Known Flow Node","Known Flow",517449.915000,147481.370000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901508","Nodes","2901508",21.000000,48.536608,"DDS demands","Known Flow",517413.165000,147497.995000,,0.000000,,-4.600000,,,-4.113402,-4.600000,,"",,"D1 PROFILE",,
"94104102901518","Nodes","2901518",21.000000,48.615624,"Default Known Flow Node","Known Flow",517453.165000,147479.620000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901531","Nodes","2901531",21.000000,48.726998,"Default Known Flow Node","Known Flow",517488.165000,147496.245000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901533","Nodes","2901533",21.000000,48.769898,"Default Known Flow Node","Known Flow",517495.790000,147466.120000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901422","Nodes","2901422",21.000000,48.661236,"DDS demands","Known Flow",517481.665000,147480.120000,,0.000000,,-3.370000,,,-3.013514,-3.370000,,"",,"D1 PROFILE",,
"94104102901423","Nodes","2901423",21.000000,48.753077,"DDS demands","Known Flow",517505.790000,147446.995000,,0.000000,,-3.670000,,,-3.281779,-3.670000,,"",,"D1 PROFILE",,
"94104102901345","Nodes","2901345",21.000000,49.918152,"DDS demands","Known Flow",517214.165000,147513.870000,,0.000000,,-7.760000,,,-6.939131,-7.760000,,"",,"D1 PROFILE",,
"94104102901448","Nodes","2901448",21.000000,49.180089,"DDS demands","Known Flow",517277.665000,147506.245000,,0.000000,,-0.490000,,,-0.438166,-0.490000,,"",,"D1 PROFILE",,
"94104102901457","Nodes","2901457",21.000000,49.158386,"DDS demands","Known Flow",517336.915000,147530.120000,,0.000000,,-3.099999,,,-2.772075,-3.099999,,"",,"D1 PROFILE",,
"94104102901506","Nodes","2901506",21.000000,49.079507,"DDS demands","Known Flow",517397.790000,147508.870000,,0.000000,,-2.929999,,,-2.620058,-2.929999,,"",,"D1 PROFILE",,
"94104102901460","Nodes","2901460",21.000000,49.200653,"Default Known Flow Node","Known Flow",517378.540000,147508.120000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901459","Nodes","2901459",21.000000,49.158386,"Default Known Flow Node","Known Flow",517351.165000,147520.370000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901509","Nodes","2901509",21.000000,48.922943,"Default Known Flow Node","Known Flow",517414.415000,147567.245000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901510","Nodes","2901510",21.000000,48.922943,"DDS demands","Known Flow",517418.665000,147569.120000,,0.000000,,-2.840000,,,-2.539578,-2.840000,,"",,"D1 PROFILE",,
"94104102901009","Nodes","ELDER WAY DG, Site ID:3166",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",517212.415000,147533.120000,,2014.999944,,,,,161.380052,180.470636,,"",,,,
"94104102901443","Nodes","2901443",21.000000,49.758716,"Default Known Flow Node","Known Flow",517229.790000,147516.245000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901445","Nodes","2901445",21.000000,49.530966,"Default Known Flow Node","Known Flow",517253.040000,147530.370000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901444","Nodes","2901444",21.000000,49.758716,"Default Known Flow Node","Known Flow",517242.290000,147499.245000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901447","Nodes","2901447",21.000000,49.283897,"DDS demands","Known Flow",517266.040000,147547.620000,,0.000000,,-5.280000,,,-4.721470,-5.280000,,"",,"D1 PROFILE",,
"94104102901455","Nodes","2901455",21.000000,49.267331,"Default Known Flow Node","Known Flow",517319.290000,147587.870000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901454","Nodes","2901454",21.000000,49.265548,"DDS demands","Known Flow",517318.540000,147595.870000,,0.000000,,-1.799999,,,-1.609592,-1.799999,,"",,"D1 PROFILE",,
"94104102901451","Nodes","2901451",21.000000,49.158386,"Default Known Flow Node","Known Flow",517301.040000,147555.120000,,0.000000,,0.000000,,,0.000000,0.000000,,"",,"D1 PROFILE",,
"94104102901458","Nodes","2901458",21.000000,49.158386,"Default Known Flow Node","Known Flow",517341.165000,147508.870000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901512","Nodes","2901512",21.000000,48.973187,"Default Known Flow Node","Known Flow",517431.415000,147554.745000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901507","Nodes","2901507",21.000000,48.949121,"DDS demands","Known Flow",517403.415000,147598.620000,,0.000000,,-0.199999,,,-0.178843,-0.199999,,"",,"D1 PROFILE",,
"94104102901511","Nodes","2901511",21.000000,48.880360,"Default Known Flow Node","Known Flow",517427.540000,147577.495000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901516","Nodes","2901516",21.000000,48.879036,"DDS demands","Known Flow",517447.790000,147628.745000,,0.000000,,-4.990000,,,-4.462147,-4.990000,,"",,"D1 PROFILE",,
"94104102901519","Nodes","2901519",21.000000,48.840328,"Default Known Flow Node","Known Flow",517454.165000,147543.120000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901525","Nodes","2901525",21.000000,48.921743,"Default Known Flow Node","Known Flow",517468.290000,147607.495000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901421","Nodes","2901421",21.000000,48.826244,"Default Known Flow Node","Known Flow",517456.540000,147541.495000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901522","Nodes","2901522",21.000000,48.840328,"Default Known Flow Node","Known Flow",517460.415000,147550.870000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901521","Nodes","2901521",21.000000,48.827457,"Default Known Flow Node","Known Flow",517457.665000,147645.370000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901526","Nodes","2901526",21.000000,48.795484,"Default Known Flow Node","Known Flow",517468.290000,147674.620000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901523","Nodes","2901523",21.000000,48.828246,"Default Known Flow Node","Known Flow",517462.540000,147643.495000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901524","Nodes","2901524",21.000000,48.828591,"DDS demands","Known Flow",517462.790000,147641.245000,,0.000000,,-3.119999,,,-2.789959,-3.119999,,"",,"D1 PROFILE",,
"94104102901532","Nodes","2901532",21.000000,48.729381,"DDS demands","Known Flow",517490.290000,147664.870000,,0.000000,,-3.829999,,,-3.424854,-3.829999,,"",,"D1 PROFILE",,
"94104102901347","Nodes","2901347",21.000000,48.921579,"DDS demands","Known Flow",517469.415000,147608.370000,,0.000000,,-11.340000,,,-10.140432,-11.340000,,"",,"D1 PROFILE",,
"94104102901520","Nodes","2901520",21.000000,48.782362,"DDS demands","Known Flow",517456.790000,147682.495000,,0.000000,,-3.650000,,,-3.263895,-3.650000,,"",,"D1 PROFILE",,
"94104102901529","Nodes","2901529",21.000000,48.878909,"Default Known Flow Node","Known Flow",517478.290000,147615.745000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901528","Nodes","2901528",21.000000,48.879308,"Default Known Flow Node","Known Flow",517476.665000,147599.745000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901461","Nodes","2901461",21.000000,48.879164,"Default Known Flow Node","Known Flow",517489.790000,147622.620000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901530","Nodes","2901530",21.000000,48.754199,"Default Known Flow Node","Known Flow",517487.040000,147501.495000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901374","Nodes","2901374",21.000000,48.781635,"Default Known Flow Node","Known Flow",517477.415000,147520.620000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901420","Nodes","2901420",21.000000,48.844927,"DDS demands","Known Flow",517439.665000,147521.745000,,0.000000,,-3.640000,,,-3.254953,-3.640000,,"",,"D1 PROFILE",,
"94104102901005","Nodes","HOLMLEA / RUSSET WAY DG, Site ID:3287",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",517736.040000,147490.745000,,2014.999944,,,,,161.119621,180.179360,,"",,,,
"94104102901352","Nodes","2901352",21.000000,49.826010,"DDS demands","Known Flow",517720.915000,147529.995000,,0.000000,,-6.880000,,,-6.152219,-6.880000,,"",,"D1 PROFILE",,
"94104102901391","Nodes","2901391",21.000000,48.881428,"Default Known Flow Node","Known Flow",517590.665000,147671.495000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901378","Nodes","2901378",21.000000,48.574063,"Default Known Flow Node","Known Flow",517507.415000,147536.495000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901349","Nodes","P00057265, BRENTS BROOK PLACE WESTLEES CLOSE, 17.35",22.999998,47.995469,"CSEP DDS Matched","Known Flow",517555.665000,147773.745000,,0.000000,,,-12.459999,,-11.141954,-12.459999,,"",,,"DC PROFILE",
"94104102901358","Nodes","2901358",21.000000,48.050057,"DDS demands","Known Flow",517562.290000,147776.745000,,0.000000,,-0.509999,,,-0.456051,-0.509999,,"",,"D1 PROFILE",,
"94104102901361","Nodes","2901361",21.000000,48.801768,"Default Known Flow Node","Known Flow",517601.665000,147505.620000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94104102901362","Nodes","2901362",21.000000,48.677917,"Default Known Flow Node","Known Flow",517608.040000,147505.995000,,0.000000,,,,,0.000000,0.000000,,"",,,,
