"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)"
"94117008104171","Nodes",,21.000000,31.493053,"DDS demands","Known Flow",501607.527648,107187.681377,,0.000000,-14.080000,,,,,,-12.590588,-14.080000,,"","C1 PROFILE",,,,,
"94117008104110","Nodes",,21.000000,32.458381,"DDS demands","Known Flow",501478.402613,107113.556357,,0.000000,,,,,-4.130000,,-3.693120,-4.130000,,"",,,,,"D1 PROFILE",
"94117008104011","Nodes",,21.000000,26.035389,"DDS demands","Known Flow",502391.777861,106496.306189,,0.000000,,,-0.519999,,-1.379999,,-1.699013,-1.899999,,"",,,"C3  PROFILE",,"D1 PROFILE",
"94117008104001","Nodes","Priory Farm DG, Constant, Site ID 4327",21.000000,56.000000,"Default Known Pressure Node","Known Pressure",500669.151393,106079.367075,,4290.000048,,,,,,,1807.136029,2020.912390,,"",,,,,,
"94117008104067","Nodes",,21.000000,55.912289,"Default Known Flow Node","Known Flow",500672.578922,106081.559040,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117008104157","Nodes",,21.000000,35.482470,"DDS demands","Known Flow",500904.652457,106892.181296,,0.000000,,-6.789999,,,,,-6.071739,-6.789999,,"",,"C2 PROFILE",,,,
"94117008104012","Nodes",,21.000000,26.003351,"DDS demands","Known Flow",502547.777904,106328.931143,,0.000000,,,,,-2.799999,,-2.503810,-2.799999,,"",,,,,"D1 PROFILE",
"94117008104044","Nodes",,21.000000,32.813189,"DDS demands","Known Flow",501507.527621,106985.931322,,0.000000,,,,,-42.989999,,-38.442427,-42.989999,,"",,,,,"D1 PROFILE",
"94117008104111","Nodes",,21.000000,32.332713,"DDS demands","Known Flow",501488.152616,107203.931381,,0.000000,-6.000000,,0.000000,,-10.779999,,-15.004976,-16.779999,,"","C1 PROFILE",,"C3  PROFILE",,"D1 PROFILE",
"94117008104014","Nodes",,21.000000,26.613999,"DDS demands","Known Flow",502884.296056,106160.160006,,0.000000,0.000000,,-21.639999,,-1.620000,,-20.799507,-23.259999,,"","C1 PROFILE",,"C3  PROFILE",,"D1 PROFILE",
"94117008104041","Nodes",,21.000000,35.166545,"DDS demands","Known Flow",501408.194594,106923.957305,,0.000000,-11.700000,,,,-33.770001,,-40.660088,-45.470002,,"","C1 PROFILE",,,,"D1 PROFILE",
"94117008104042","Nodes",,21.000000,34.795226,"DDS demands","Known Flow",501509.451621,106898.458298,,0.000000,,,,,-2.970000,,-2.655827,-2.970000,,"",,,,,"D1 PROFILE",
"94117008104049","Nodes",,21.000000,24.404366,"DDS demands","Known Flow",501491.901860,106762.087303,,0.000000,,,,,-19.910000,,-17.803878,-19.910000,,"",,,,,"D1 PROFILE",
"94117008104179","Nodes",,21.000000,26.217682,"DDS demands","Known Flow",501285.027560,107286.056404,,0.000000,,,,,-2.609999,,-2.333908,-2.609999,,"",,,,,"D1 PROFILE",
