"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"94122109902150","Nodes","S14133443",21.000000,29.194482,"Point Loads","Known Flow",545127.750000,102067.750000,,0.000000,-58.090000,,,,-2.840000,-34.729999,-32.310001,,-114.433063,-127.970003,,"","C1 PROFILE",,,,"D1 PROFILE","I2 PROFILE","PL-AF PROFILE",
"94122109902209","Nodes","9902209",21.000000,24.465410,"DDS demands","Known Flow",544758.437500,102188.671875,,0.000000,,,,0.000000,-5.800000,-32.060002,,,-33.855093,-37.860001,,"",,,,"C4 PROFILE","D1 PROFILE","I2 PROFILE",,
"94122109902136","Nodes","9902136",21.000000,30.124556,"Default Known Flow Node","Known Flow",544948.375000,101765.101562,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94122109902229","Nodes","9902229",21.000000,30.224094,"Default Known Flow Node","Known Flow",544984.750000,101644.000000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94122109902187","Nodes","9902187",21.000000,24.497449,"DDS demands","Known Flow",545606.125000,102381.750000,,0.000000,,,,,-27.940001,,,,-24.984448,-27.940001,,"",,,,,"D1 PROFILE",,,
"94122109902184","Nodes","9902184",21.000000,24.647186,"DDS demands","Known Flow",545723.187500,102267.203125,,0.000000,,,,,-19.329999,,,,-17.285231,-19.329999,,"",,,,,"D1 PROFILE",,,
"94122109902181","Nodes","9902181",21.000000,24.356516,"DDS demands","Known Flow",545839.875000,102161.500000,,0.000000,,,,,-13.650000,,,,-12.206074,-13.650000,,"",,,,,"D1 PROFILE",,,
"94122109902139","Nodes","9902139",21.000000,31.935630,"DDS demands","Known Flow",544964.875000,101479.250000,,0.000000,-98.000004,,,,-3.769999,-6.530000,,,-96.843800,-108.300003,,"","C1 PROFILE",,,,"D1 PROFILE","I2 PROFILE",,
"94122109902142","Nodes","9902142",21.000000,25.118174,"DDS demands","Known Flow",545038.125000,101101.250000,,0.000000,,,,,-34.419999,,,,-30.778980,-34.419999,,"",,,,,"D1 PROFILE",,,
"94122109902230","Nodes","9902230",21.000000,30.251530,"Default Known Flow Node","Known Flow",544989.375000,101609.250000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94122109902145","Nodes","9902145",21.000000,28.753282,"DDS demands","Known Flow",545345.750000,101886.250000,,0.000000,,,,,,-3.660000,,,-3.272837,-3.660000,,"",,,,,,"I2 PROFILE",,
"94122109902224","Nodes","9902224",21.000000,30.735437,"Default Known Flow Node","Known Flow",545106.500000,101836.500000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94122109902218","Nodes","9902218",21.000000,31.356197,"Default Known Flow Node","Known Flow",545081.500000,101887.632812,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94122109902213","Nodes","9902213",21.000000,30.716734,"DDS demands","Known Flow",545129.000000,101828.750000,,0.000000,-8.739999,,,,-8.890000,-66.660003,,,-75.373629,-84.290006,,"","C1 PROFILE",,,,"D1 PROFILE","I2 PROFILE",,
"94122109902215","Nodes","9902215",21.000000,23.875065,"DDS demands","Known Flow",545659.625000,101973.500000,,0.000000,,,,,-10.750000,,,,-9.612842,-10.750000,,"",,,,,"D1 PROFILE",,,
"94122109902207","Nodes","9902207",21.000000,21.462130,"DDS demands","Known Flow",544770.625000,102494.000000,,0.000000,-19.709998,,,,-38.160000,-195.089992,,,-226.201359,-252.960001,,"","C1 PROFILE",,,,"D1 PROFILE","I2 PROFILE",,
"94122109902153","Nodes","9902153",21.000000,21.509808,"DDS demands","Known Flow",544913.125000,102379.382812,,0.000000,-84.239993,,,,-2.920000,,,,-77.940024,-87.159993,,"","C1 PROFILE",,,,"D1 PROFILE",,,
"94122109902152","Nodes","9902152",21.000000,21.832921,"DDS demands","Known Flow",544941.250000,102366.632812,,0.000000,,,,,-37.179999,,,,-33.247020,-37.179999,,"",,,,,"D1 PROFILE",,,
"94122109902011","Nodes","9902011",21.000000,21.472304,"DDS demands","Known Flow",544953.625000,102457.000000,,0.000000,,,,,-27.459998,,,,-24.555222,-27.459998,,"",,,,,"D1 PROFILE",,,
"94122109902163","Nodes","9902163",21.000000,24.928767,"DDS demands","Known Flow",545197.250000,102274.500000,,0.000000,,,,,-7.999999,,,,-7.153743,-7.999999,,"",,,,,"D1 PROFILE",,,
"94122109902228","Nodes","9902228",21.000000,21.515956,"Default Known Flow Node","Known Flow",545028.250000,102493.382812,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94122109902151","Nodes","9902151",21.000000,26.514751,"DDS demands","Known Flow",545025.375000,102269.750000,,0.000000,,-12.270000,,,-9.050000,-5.219999,,,-23.732543,-26.539999,,"",,"",,,"D1 PROFILE","I2 PROFILE",,
"94122109902162","Nodes","9902162",21.000000,23.629747,"DDS demands","Known Flow",545176.250000,102332.382812,,0.000000,-15.169999,,,,-7.459999,,,,-20.236151,-22.629999,,"","C1 PROFILE",,,,"D1 PROFILE",,,
"94122109902168","Nodes","9902168",21.000000,23.797424,"DDS demands","Known Flow",545278.375000,102371.500000,,0.000000,,,,,-19.830000,,,,-17.732341,-19.830000,,"",,,,,"D1 PROFILE",,,
"94122109902164","Nodes","9902164",21.000000,26.118947,"DDS demands","Known Flow",545342.625000,102141.382812,,0.000000,,,,,-17.620001,,,,-15.756120,-17.620001,,"",,,,,"D1 PROFILE",,,
"94122109902174","Nodes","9902174",21.000000,21.670224,"DDS demands","Known Flow",545408.875000,102480.000000,,0.000000,,,,,-15.189999,,,,-13.583169,-15.189999,,"",,,,,"D1 PROFILE",,,
"94122109902161","Nodes","9902161",21.000000,21.805575,"DDS demands","Known Flow",545267.750000,102462.000000,,0.000000,,-19.139998,,,-18.780000,,,,-33.908742,-37.919998,,"",,"C2 PROFILE",,,"D1 PROFILE",,,
"94122109902169","Nodes","9902169",21.000000,21.671327,"DDS demands","Known Flow",545342.125000,102472.382812,,0.000000,,,,,-8.779999,,,,-7.851233,-8.779999,,"",,,,,"D1 PROFILE",,,
"94122109902167","Nodes","9902167",21.000000,22.967839,"DDS demands","Known Flow",545326.250000,102292.500000,,0.000000,,,,,-33.340000,,,,-29.813224,-33.340000,,"",,,,,"D1 PROFILE",,,
"94122109902175","Nodes","9902175",21.000000,23.200031,"DDS demands","Known Flow",545408.625000,102332.000000,,0.000000,,,,,-19.940000,,,,-17.830705,-19.940000,,"",,,,,"D1 PROFILE",,,
"94122109902176","Nodes","9902176",21.000000,23.284202,"DDS demands","Known Flow",545446.875000,102292.000000,,0.000000,,,,,-13.640000,,,,-12.197133,-13.640000,,"",,,,,"D1 PROFILE",,,
"94122109902165","Nodes","9902165",21.000000,27.819673,"DDS demands","Known Flow",545500.750000,102021.882812,,0.000000,,,,,-16.169999,-20.129998,,,-32.460109,-36.299997,,"",,,,,"D1 PROFILE","I2 PROFILE",,
"94122109902177","Nodes","9902177",21.000000,24.175446,"DDS demands","Known Flow",545540.125000,102202.132812,,0.000000,,,,,-17.399999,,,,-15.559390,-17.399999,,"",,,,,"D1 PROFILE",,,
"94122109902188","Nodes","9902188",21.000000,23.886738,"DDS demands","Known Flow",545583.250000,102401.632812,,0.000000,,,,,-5.090000,,,,-4.551569,-5.090000,,"",,,,,"D1 PROFILE",,,
"94122109902231","Nodes","9902231",21.000000,26.722787,"Default Known Flow Node","Known Flow",545640.500000,102417.632812,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94122109902178","Nodes","9902178",21.000000,22.382491,"DDS demands","Known Flow",545695.375000,102002.882812,,0.000000,,,,,-53.189999,,,,-47.563451,-53.189999,,"",,,,,"D1 PROFILE",,,
"94122109902190","Nodes","9902190",21.000000,22.242072,"DDS demands","Known Flow",545508.375000,102491.632812,,0.000000,,,,,-8.609999,,,,-7.699215,-8.609999,,"",,,,,"D1 PROFILE",,,
"94122109902166","Nodes","9902166",21.000000,24.806813,"DDS demands","Known Flow",545517.750000,102099.000000,,0.000000,,,,,-34.860001,,,,-31.172436,-34.860001,,"",,,,,"D1 PROFILE",,,
"94122109902186","Nodes","9902186",21.000000,23.588725,"DDS demands","Known Flow",545562.625000,102307.382812,,0.000000,,-70.609998,,,-12.289999,,,,-74.130659,-82.899994,,"",,"C2 PROFILE",,,"D1 PROFILE",,,
"94122109902189","Nodes","9902189",21.000000,23.633875,"DDS demands","Known Flow",545569.250000,102414.132812,,0.000000,,,,,-10.359999,,,,-9.264096,-10.359999,,"",,,,,"D1 PROFILE",,,
"94122109902232","Nodes","9902232",21.000000,23.607824,"Default Known Flow Node","Known Flow",545600.750000,102270.882812,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94122109902216","Nodes","9902216",21.000000,28.252056,"Default Known Flow Node","Known Flow",545630.125000,102428.750000,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"94122109902004","Nodes","9902004, ""THE CRESCENT, DENTON""",21.000000,33.999999,"Default Known Pressure Node","Known Pressure",545624.125000,102422.250000,,1439.999944,,,,,,,,,643.711791,719.860194,,"",,,,,,,,
"94122109902185","Nodes","9902185",21.000000,23.785854,"DDS demands","Known Flow",545648.625000,102226.250000,,0.000000,,,,,-16.879999,,,,-15.094397,-16.879999,,"",,,,,"D1 PROFILE",,,
"94122109902183","Nodes","9902183",21.000000,26.089607,"DDS demands","Known Flow",545834.250000,102292.000000,,0.000000,,,,,-9.300000,,,,-8.316226,-9.300000,,"",,,,,"D1 PROFILE",,,
"94122109902179","Nodes","9902179",21.000000,23.503790,"DDS demands","Known Flow",545796.125000,102085.882812,,0.000000,,,,,-25.649999,,,,-22.936687,-25.649999,,"",,,,,"D1 PROFILE",,,
"94122109902180","Nodes","9902180",21.000000,24.304438,"DDS demands","Known Flow",545855.875000,102146.882812,,0.000000,,,,,-9.009999,,,,-8.056903,-9.009999,,"",,,,,"D1 PROFILE",,,
"94122109902182","Nodes","9902182",21.000000,24.812852,"DDS demands","Known Flow",545914.500000,102208.000000,,0.000000,,,,,-21.669999,,,,-19.377701,-21.669999,,"",,,,,"D1 PROFILE",,,
"94122109902149","Nodes","9902149",21.000000,21.864562,"DDS demands","Known Flow",544910.250000,102583.500000,,0.000000,,,,,-12.000000,,,,-10.730614,-12.000000,,"",,,,,"D1 PROFILE",,,
"94122109902206","Nodes","9902206",21.000000,21.366740,"DDS demands","Known Flow",544864.875000,102726.882812,,0.000000,,,,,-22.600001,,,,-20.209324,-22.600001,,"",,,,,"D1 PROFILE",,,
"94122109902156","Nodes","9902156",21.000000,21.869488,"DDS demands","Known Flow",544880.875000,102580.632812,,0.000000,,,,,-9.489999,,,,-8.486127,-9.489999,,"",,,,,"D1 PROFILE",,,
"94122109902211","Nodes","9902211",21.000000,21.871912,"DDS demands","Known Flow",544938.875000,102541.382812,,0.000000,,,,,-19.629998,,,,-17.553497,-19.629998,,"",,,,,"D1 PROFILE",,,
"94122109902205","Nodes","9902205",21.000000,21.830171,"DDS demands","Known Flow",544903.000000,102718.882812,,0.000000,,,,,-10.060000,,,,-8.995832,-10.060000,,"",,,,,"D1 PROFILE",,,
"94122109902155","Nodes","9902155",21.000000,21.579439,"DDS demands","Known Flow",544982.625000,102509.250000,,0.000000,,,-14.399999,,-5.650000,,,,-17.929069,-20.049998,,"",,,"C3  PROFILE",,"D1 PROFILE",,,
"94122109902157","Nodes","9902157",21.000000,21.757329,"DDS demands","Known Flow",545086.625000,102552.882812,,0.000000,,,,,-19.960000,,,,-17.848589,-19.960000,,"",,,,,"D1 PROFILE",,,
"94122109902201","Nodes","9902201",21.000000,22.325014,"DDS demands","Known Flow",545097.375000,102856.250000,,0.000000,,,,,-20.200000,,,,-18.063201,-20.200000,,"",,,,,"D1 PROFILE",,,
"94122109902204","Nodes","9902204",21.000000,22.444994,"DDS demands","Known Flow",545013.375000,102687.882812,,0.000000,,,,,-10.010000,,,,-8.951121,-10.010000,,"",,,,,"D1 PROFILE",,,
"94122109902202","Nodes","9902202",21.000000,22.357408,"DDS demands","Known Flow",545078.750000,102717.250000,,0.000000,,,,,-41.999999,,,,-37.557150,-41.999999,,"",,,,,"D1 PROFILE",,,
"94122109902158","Nodes","9902158",21.000000,21.866309,"DDS demands","Known Flow",545187.625000,102583.000000,,0.000000,,,,,-6.800000,,,,-6.080681,-6.800000,,"",,,,,"D1 PROFILE",,,
"94122109902159","Nodes","9902159",21.000000,21.608582,"DDS demands","Known Flow",545167.875000,102542.632812,,0.000000,,,,,-12.510000,,,,-11.186666,-12.510000,,"",,,,,"D1 PROFILE",,,
"94122109902172","Nodes","9902172",21.000000,21.942071,"DDS demands","Known Flow",545341.125000,102665.500000,,0.000000,,,,,-3.190000,,,,-2.852555,-3.190000,,"",,,,,"D1 PROFILE",,,
"94122109902160","Nodes","9902160",21.000000,21.905461,"DDS demands","Known Flow",545228.000000,102580.250000,,0.000000,,,,,-10.169999,,,,-9.094195,-10.169999,,"",,,,,"D1 PROFILE",,,
"94122109902173","Nodes","9902173",21.000000,21.919076,"DDS demands","Known Flow",545396.000000,102657.250000,,0.000000,,,,,-31.719999,,,,-28.364591,-31.719999,,"",,,,,"D1 PROFILE",,,
"94122109902170","Nodes","9902170",21.000000,21.856565,"DDS demands","Known Flow",545299.875000,102591.000000,,0.000000,,,,,-10.300000,,,,-9.210445,-10.300000,,"",,,,,"D1 PROFILE",,,
"94122109902171","Nodes","9902171",21.000000,21.812253,"DDS demands","Known Flow",545365.000000,102600.750000,,0.000000,,,,,-15.540000,,,,-13.896146,-15.540000,,"",,,,,"D1 PROFILE",,,
"94122109902194","Nodes","9902194",21.000000,22.573926,"DDS demands","Known Flow",545479.125000,102642.132812,,0.000000,,,,,-13.689999,,,,-12.241842,-13.689999,,"",,,,,"D1 PROFILE",,,
"94122109902219","Nodes","9902219",21.000000,22.242477,"DDS demands","Known Flow",545519.000000,102503.500000,,0.000000,,,,,-13.189999,,,,-11.794733,-13.189999,,"",,,,,"D1 PROFILE",,,
"94122109902197","Nodes","9902197",21.000000,22.606579,"DDS demands","Known Flow",545633.125000,102794.500000,,0.000000,,,,,-42.459999,,,,-37.968492,-42.459999,,"",,,,,"D1 PROFILE",,,
"94122109902191","Nodes","9902191",21.000000,22.628092,"DDS demands","Known Flow",545585.750000,102554.750000,,0.000000,,,,,-10.180000,,,,-9.103139,-10.180000,,"",,,,,"D1 PROFILE",,,
