"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"94118709301083","Nodes","9301083","21.000000","26.874326","DDS demands","Known Flow","525995.600000","129636.192812","","0.000000","","","","-6.340000","","","","-5.669341","-6.340000","","","","","","D1 PROFILE","","",""
"94118709301056","Nodes","9301056","21.000000","23.937356","Default Known Flow Node","Known Flow","525824.089960","129558.383383","0.000000","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94118709301062","Nodes","9301062","21.000000","23.493434","DDS demands","Known Flow","525677.725000","129447.560000","","0.000000","","","","-9.819999","","","","-8.781219","-9.819999","","","","","","D1 PROFILE","","",""
"94118709301054","Nodes","9301054","21.000000","26.486824","DDS demands","Known Flow","526011.725000","129720.942812","","0.000000","","","","-19.979999","","","","-17.866473","-19.979999","","","","","","D1 PROFILE","","",""
"94118709301041","Nodes","9301041","21.000000","27.318701","DDS demands","Known Flow","526021.975000","129648.442812","","0.000000","","","","-15.609999","","","","-13.958741","-15.609999","","","","","","D1 PROFILE","","",""
"94118709301090","Nodes","9301090","21.000000","35.816235","Default Known Flow Node","Known Flow","526178.850000","129937.060000","0.000000","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94118709301091","Nodes","9301091","21.000000","35.816235","Default Known Flow Node","Known Flow","526179.975000","129939.060000","0.000000","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94118709301042","Nodes","9301042","21.000000","33.401356","DDS demands","Known Flow","526216.100000","129762.060000","","0.000000","","-11.060000","","-37.660000","","","","-43.566297","-48.720000","","","","C4 PROFILE","","D1 PROFILE","","",""
"94118709301051","Nodes","9301051","21.000000","35.769837","Default Known Flow Node","Known Flow","526166.975000","129946.060000","0.000000","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"94118709301087","Nodes","9301087","21.000000","35.750765","DDS demands","Known Flow","526147.225000","129949.560000","","0.000000","","","","-3.680000","","","","-3.290721","-3.680000","","","","","","D1 PROFILE","","",""
