"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)"
"94116407805107","Nodes","7805107",21.000000,35.834070,"DDS demands","Known Flow",534366.030000,134813.580000,,0.000000,,,,,-3.299999,,,-2.950918,-3.299999,,"",,,,,"D1 PROFILE",,
"94116407805106","Nodes","7805106",21.000000,35.802151,"Default Known Flow Node","Known Flow",534239.280000,134990.830000,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94116407805017","Nodes","7805017",21.000000,35.606888,"DDS demands","Known Flow",534214.405000,135039.173750,,0.000000,,,,,-6.929999,,,-6.196929,-6.929999,,"",,,,,"D1 PROFILE",,
"94116407805018","Nodes","7805018",21.000000,35.585896,"DDS demands","Known Flow",534125.405000,135174.580000,,0.000000,,,,-6.949999,-6.340000,,,-11.884155,-13.290000,,"",,,,"C4 PROFILE","D1 PROFILE",,
"94116407805118","Nodes","7805118",21.000000,36.789214,"DDS demands","Known Flow",534134.155000,135338.205000,,0.000000,,,,,-16.700000,,,-14.933439,-16.700000,,"",,,,,"D1 PROFILE",,
"94116407805024","Nodes","7805024",21.000000,36.833758,"Default Known Flow Node","Known Flow",534767.842500,135781.376875,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94116407805023","Nodes","7805023",21.000000,37.867264,"DDS demands","Known Flow",534460.030000,135683.080000,,0.000000,,,,,-1.249999,,,-1.117772,-1.249999,,"",,,,,"D1 PROFILE",,
"94116407805131","Nodes","7805131",21.000000,38.010146,"Default Known Flow Node","Known Flow",534398.405000,135644.205000,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94116407805108","Nodes","7805108",21.000000,36.179991,"Default Known Flow Node","Known Flow",534976.905000,135858.705000,,0.000000,,,,,,,,0.000000,0.000000,,"",,,,,,,
"94116407805026","Nodes","7805026",21.000000,34.767565,"DDS demands","Known Flow",535299.717500,135969.783125,,0.000000,,,,,-1.970000,,,-1.761609,-1.970000,,"",,,,,"D1 PROFILE",,
