"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(D1)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(D1)"
"94122209903092","Nodes","9903092",21.000000,23.273761,"DDS demands","Known Flow",546795.530000,100605.682812,,0.000000,-2.180000,-1.949395,-2.180000,,"","D1 PROFILE"
"94122209903094","Nodes","9903094",21.000000,23.158553,"DDS demands","Known Flow",546839.905000,100625.932812,,0.000000,-5.019999,-4.488973,-5.019999,,"","D1 PROFILE"
"94122209903046","Nodes","9903046",21.000000,23.330613,"DDS demands","Known Flow",546814.405000,100556.432812,,0.000000,-1.669999,-1.493343,-1.669999,,"","D1 PROFILE"
"94122209903011","Nodes","9903011",21.000000,38.439044,"DDS demands","Known Flow",546535.280000,100991.800000,,0.000000,-7.610000,-6.804998,-7.610000,,"","D1 PROFILE"
"94122209903001","Nodes","FREELAND CLOSE DG, Site ID 3286",21.000000,38.499998,"Default Known Pressure Node","Known Pressure",546546.405000,100998.682812,,816.999971,,339.436127,379.590014,,"",
"94122209903032","Nodes","9903032",21.000000,36.254207,"Default Known Flow Node","Known Flow",546397.530000,100998.300000,,0.000000,,0.000000,0.000000,,"",
"94122209903095","Nodes","9903095",21.000000,36.359363,"DDS demands","Known Flow",546433.905000,101020.682812,,0.000000,-3.670000,-3.281779,-3.670000,,"","D1 PROFILE"
"94122209903096","Nodes","9903096",21.000000,38.397694,"Default Known Flow Node","Known Flow",546528.030000,101001.300000,,0.000000,,0.000000,0.000000,,"",
"94122209903097","Nodes","9903097",21.000000,36.276135,"DDS demands","Known Flow",546385.530000,100990.932812,,0.000000,-1.860000,-1.663245,-1.860000,,"","D1 PROFILE"
"94122200007114","Nodes","Logger 7114",21.000000,31.270989,"Val Log Post","Known Flow",546541.030000,100657.206250,,0.000000,,0.000000,0.000000,,"",
"94122209903063","Nodes","9903063",21.000000,22.042089,"DDS demands","Known Flow",546697.030000,100219.198437,,0.000000,-3.420000,-3.058225,-3.420000,,"","D1 PROFILE"
