"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"94119709309016","Nodes","9309016",21.000000,69.599946,"DDS demands","Known Flow",526647.090000,117951.972812,,0.000000,-7.349999,,,,,-6.572501,-7.349999,,"","D1 PROFILE",,,,
"94119709309011","Nodes","9309011",21.000000,69.715664,"DDS demands","Known Flow",526655.465000,118024.722812,,0.000000,-0.920000,,,,,-0.822680,-0.920000,,"","D1 PROFILE",,,,
"94119709309017","Nodes","9309017",21.000000,68.257259,"DDS demands","Known Flow",526615.965000,118046.722812,,0.000000,-13.810000,,,,,-12.349149,-13.810000,,"","D1 PROFILE",,,,
"94119709309001","Nodes","9309001, ""SAYERS COMMON""",21.000000,69.999999,"Default Known Pressure Node","Known Pressure",526679.215000,118021.222812,,7984.999807,,,,,,350.309823,391.749986,,"",,,,,
"94119709309015","Nodes","9309015",21.000000,69.770683,"Default Known Flow Node","Known Flow",526673.090000,118024.972812,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"94119709309046","Nodes","-380374",21.000000,66.542210,"Default Known Flow Node","Known Flow",526755.340000,118475.972812,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"94119709309026","Nodes","9309026",21.000000,66.542210,"Default Known Flow Node","Known Flow",526756.840000,118479.590000,,0.000000,,,,0.000000,,0.000000,0.000000,,"",,,,"I2 PROFILE",
"94119709309018","Nodes","P07114133, Sayers Common, -9.97",22.999998,67.913397,"CSEP DDS Matched","Known Flow",526682.799769,118145.908582,,0.000000,-9.119999,-9.960000,,,,-17.061678,-19.080000,,"","D1 PROFILE","DC PROFILE",,,
"94119709309012","Nodes",,21.000000,67.060064,"DDS demands","Known Flow",526689.840000,118207.090000,,0.000000,-3.800000,,,,,-3.398028,-3.800000,,"","D1 PROFILE",,,,
"94119709309020","Nodes","9309020",21.000000,66.686572,"DDS demands","Known Flow",526690.965000,118277.222812,,0.000000,-2.030000,,,,,-1.815262,-2.030000,,"","D1 PROFILE",,,,
"94119709309021","Nodes","9309021",21.000000,66.846225,"Default Known Flow Node","Known Flow",526699.340000,118259.090000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"94119709309047","Nodes","-380376",21.000000,66.540447,"DDS demands","Known Flow",526761.715000,118492.090000,,0.000000,-6.370000,,,,,-5.696168,-6.370000,,"","D1 PROFILE",,,,
"94119709309013","Nodes","9309013",21.000000,66.542625,"DDS demands","Known Flow",526775.215000,118473.340000,,0.000000,-2.869999,,,,,-2.566405,-2.869999,,"","D1 PROFILE",,,,
"94119709309048","Nodes","-380378",21.000000,66.537697,"Default Known Flow Node","Known Flow",526778.465000,118478.090000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"94119709309022","Nodes","9309022",21.000000,66.705402,"Default Known Flow Node","Known Flow",526739.465000,118254.590000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
