"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"94117108105083","Nodes","8105083",21.000000,38.978926,"DDS demands","Known Flow",496880.852362,105982.591049,,0.000000,,,-6.170000,,,,-5.517324,-6.170000,,"",,,"D1 PROFILE",,,
"94117108105133","Nodes","8105133",21.000000,25.905830,"DDS demands","Known Flow",495639.366024,106926.949306,,0.000000,,,-3.390000,,,,-3.031398,-3.390000,,"",,,"D1 PROFILE",,,
"94117108105061","Nodes","8105061",21.000000,30.419762,"DDS demands","Known Flow",496071.165866,106557.539364,,0.000000,,,-23.439999,,,,-20.960468,-23.439999,,"",,,"D1 PROFILE",,,
"94117108105062","Nodes","8105062",21.000000,33.816103,"DDS demands","Known Flow",496334.027748,106376.054539,,0.000000,,,-23.799999,,,,-21.282385,-23.799999,,"",,,"D1 PROFILE",,,
"94117108105063","Nodes","8105063",21.000000,37.142714,"DDS demands","Known Flow",496514.847262,106184.361104,,0.000000,,,-10.180000,,,,-9.103139,-10.180000,,"",,,"D1 PROFILE",,,
"94117108105072","Nodes","8105072",21.000000,42.648351,"Default Known Flow Node","Known Flow",496804.537218,106120.284068,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117108105074","Nodes","8105074",21.000000,41.958802,"Default Known Flow Node","Known Flow",496826.362692,106126.062543,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117108105075","Nodes","8105075",21.000000,41.087412,"DDS demands","Known Flow",496854.175355,106132.413090,,0.000000,,,-7.590000,,,,-6.787114,-7.590000,,"",,,"D1 PROFILE",,,
"94117100000172","Nodes","172",21.000000,38.708453,"Default Known Flow Node","Known Flow",497700.816548,106401.822671,,0.000000,,,,,,,0.000000,0.000000,,"",,,,,,
"94117108105080","Nodes","8105080",21.000000,35.388923,"DDS demands","Known Flow",497683.526205,106261.042457,,0.000000,,,-13.529999,,,,-12.098767,-13.529999,,"",,,"D1 PROFILE",,,
