"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"94120209505017","Nodes","9505017","21.000000","44.617525","DDS demands","Known Flow","558238.162624","120796.534437","","0.000000","","","","","-54.400001","","","","","","-48.645453","-54.400001","","","","","","","D1 PROFILE","","","","",""
"94120200002296","Nodes","","21.000000","44.628498","Default Known Flow Node","Known Flow","558235.165580","120796.935510","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120209505156","Nodes","9505156","21.000000","37.159341","DDS demands","Known Flow","557385.542826","121184.810186","","0.000000","-17.569999","-40.049997","","","-19.059998","","","","","","-68.568626","-76.679996","","","C1 PROFILE","C2 PROFILE","","","D1 PROFILE","","","","",""
"94120209505137","Nodes","9505137,''P101107.01'', ""Sheepsetting Lane"", 15.02","22.999998","36.366641","CSEP DDS Matched","Known Flow","557236.596084","121213.650495","","0.000000","","","","","","-15.020000","","","","","-13.431153","-15.020000","","","","","","","","DC PROFILE","","","",""
"94120209505099","Nodes","9505099","21.000000","40.596767","DDS demands","Known Flow","558501.168129","121485.685267","","0.000000","","","","","-3.459999","","","","","","-3.093993","-3.459999","","","","","","","D1 PROFILE","","","","",""
"94120209505102","Nodes","9505102","21.000000","40.987277","DDS demands","Known Flow","558495.677806","121459.126595","","0.000000","","","","","-8.159999","","","","","","-7.296817","-8.159999","","","","","","","D1 PROFILE","","","","",""
"94120200002427","Nodes","","21.000000","40.998451","Default Known Flow Node","Known Flow","558495.360162","121458.260294","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120209505059","Nodes","9505059","21.000000","33.481253","DDS demands","Known Flow","555115.792144","121110.058052","","0.000000","","","-1.990000","","-26.549998","","","","","","-25.520978","-28.539999","","","","","C3 PROFILE","","D1 PROFILE","","","","",""
"94120200007297","Nodes","Logger 7297, ''Warren Lane / Warren Close''","21.000000","30.695165","Val Log Post","Known Flow","555104.112622","120902.557936","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"94120209505161","Nodes","9505161","21.000000","30.572411","DDS demands","Known Flow","555102.225300","120893.298265","","0.000000","","","","","-26.749999","","","","","","-23.920329","-26.749999","","","","","","","D1 PROFILE","","","","",""
