"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)"
"94120300002028","Nodes","2028","21.000000","24.893482","Default Known Flow Node","Known Flow","557727.222355","117375.831432","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"94120309506017","Nodes","9506017","21.000000","24.595239","DDS demands","Known Flow","557628.301764","117515.108248","","0.000000","","","","","-17.360000","-15.523622","-17.360000","","","","","","","D1 PROFILE"
"94120309506031","Nodes","9506031","21.000000","30.035751","DDS demands","Known Flow","557980.675033","117103.062328","","0.000000","","","","","-16.079999","-14.379023","-16.079999","","","","","","","D1 PROFILE"
"94120309506029","Nodes","9506029","21.000000","29.494918","DDS demands","Known Flow","557971.773212","117174.603048","","0.000000","","","","","-16.969999","-15.174876","-16.969999","","","","","","","D1 PROFILE"
"94120300002076","Nodes","2076","21.000000","30.007595","Default Known Flow Node","Known Flow","557987.380234","117094.956486","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"94120309506038","Nodes","9506038","21.000000","25.266708","DDS demands","Known Flow","558051.605019","118159.206690","","0.000000","","-16.169999","","","-6.489999","-20.262976","-22.659999","","","","C2 PROFILE","","","D1 PROFILE"
"94120300002121","Nodes","2121","21.000000","24.738059","Default Known Flow Node","Known Flow","557992.017832","117983.134337","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"94120300002141","Nodes","2141","21.000000","25.669834","DDS demands","Known Flow","558100.010762","118343.629741","","0.000000","","","","","-2.140000","-1.913626","-2.140000","","","","","","","D1 PROFILE"
"94120300002142","Nodes","2142","21.000000","25.765384","DDS demands","Known Flow","558172.053228","118522.674376","","0.000000","","","-1.620000","","-19.819999","-19.172031","-21.439999","","","","","C3 PROFILE","","D1 PROFILE"
"94120300002014","Nodes","2014","21.000000","24.367746","DDS demands","Known Flow","557577.090730","117584.792837","","0.000000","","","","","-6.679999","-5.973375","-6.679999","","","","","","","D1 PROFILE"
"94120309506043","Nodes","9506043","21.000000","24.138354","DDS demands","Known Flow","557604.972500","115633.810000","","0.000000","","","","","-14.100000","-12.608473","-14.100000","","","","","","","D1 PROFILE"
"94120300002113","Nodes","2113","21.000000","23.975672","Default Known Flow Node","Known Flow","557717.160000","115399.192812","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"94120300002127","Nodes","2127","21.000000","22.185347","Default Known Flow Node","Known Flow","558031.035000","112996.942812","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"94120300002126","Nodes","2126","21.000000","22.053702","Default Known Flow Node","Known Flow","557980.160000","112950.810000","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"94120300002105","Nodes","2105","21.000000","22.185355","Default Known Flow Node","Known Flow","558052.410000","113014.942812","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"94120309506052","Nodes","9506052","21.000000","22.888478","DDS demands","Known Flow","558127.035000","113358.442812","","0.000000","","","","-3.650000","-12.229999","-14.200180","-15.880000","","","","","","C4 PROFILE","D1 PROFILE"
"94120309506051","Nodes","9506051","21.000000","23.468273","Default Known Flow Node","Known Flow","558266.462133","113596.899327","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"94120300002107","Nodes","2107","21.000000","23.380179","Default Known Flow Node","Known Flow","558283.564624","113596.621237","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"94120309506048","Nodes","9506048","21.000000","23.570873","Default Known Flow Node","Known Flow","558315.535000","114240.692812","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"94120300002108","Nodes","2108","21.000000","23.571080","DDS demands","Known Flow","558314.660000","114249.942812","","0.000000","","","","","-16.909999","-15.121224","-16.909999","","","","","","","D1 PROFILE"
"94120300002109","Nodes","2109","21.000000","23.438918","Default Known Flow Node","Known Flow","558331.535000","114255.942812","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"94120309506046","Nodes","9506046","21.000000","23.395709","DDS demands","Known Flow","558096.326844","114865.230703","","0.000000","-22.969999","","","-7.750000","-14.600000","-40.525956","-45.319998","","","C1 PROFILE","","","C4 PROFILE","D1 PROFILE"
"94120300002106","Nodes","2106","21.000000","23.423279","Default Known Flow Node","Known Flow","558057.591762","114956.304640","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"94120300002104","Nodes","2104","21.000000","23.435492","Default Known Flow Node","Known Flow","558031.909413","114992.348487","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"94120309506044","Nodes","9506044","21.000000","23.975056","DDS demands","Known Flow","557718.035000","115397.192812","","0.000000","","","","","-1.049999","-0.938928","-1.049999","","","","","","","D1 PROFILE"
"94120300002112","Nodes","2112","21.000000","23.975672","Default Known Flow Node","Known Flow","557698.160000","115394.192812","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"94120309506045","Nodes","9506045","21.000000","23.479617","Default Known Flow Node","Known Flow","557929.660000","115114.942812","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
