"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)"
"94120809508023","Nodes","9508023",21.000000,26.115374,"Default Known Flow Node","Known Flow",551896.345000,103128.090000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94120809508065","Nodes","9508065",21.000000,24.878624,"DDS demands","Known Flow",551813.345000,103342.340000,,0.000000,,,,-7.170000,-6.411542,-7.170000,,"",,,,"D1 PROFILE"
"94120809508026","Nodes","9508026",21.000000,25.523923,"Default Known Flow Node","Known Flow",551881.345000,103239.722812,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94120809508024","Nodes","9508024",21.000000,25.649958,"DDS demands","Known Flow",551889.970000,103214.722812,,0.000000,,,,-3.559999,-3.183415,-3.559999,,"",,,,"D1 PROFILE"
"94120809508068","Nodes","9508068",21.000000,25.050487,"DDS demands","Known Flow",551889.470000,103293.972812,,0.000000,,,,-3.999999,-3.576871,-3.999999,,"",,,,"D1 PROFILE"
"94120809508070","Nodes","9508070",21.000000,25.527759,"DDS demands","Known Flow",551899.345000,103226.340000,,0.000000,,,,-2.900000,-2.593232,-2.900000,,"",,,,"D1 PROFILE"
"94120809508016","Nodes","9508016",21.000000,24.951637,"DDS demands","Known Flow",551931.345000,103399.972812,,0.000000,,0.000000,,-2.720000,-2.432272,-2.720000,,"",,"C3  PROFILE",,"D1 PROFILE"
"94120809508072","Nodes","9508072",21.000000,26.149243,"Default Known Flow Node","Known Flow",551938.595000,103095.340000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94120809508022","Nodes","9508022",21.000000,26.150010,"DDS demands","Known Flow",551943.220000,103092.840000,,0.000000,,,,-4.480000,-4.006096,-4.480000,,"",,,,"D1 PROFILE"
"94120809508017","Nodes","9508017",21.000000,25.642238,"DDS demands","Known Flow",551960.845000,103083.222812,,0.000000,,,,-9.220000,-8.244689,-9.220000,,"",,,,"D1 PROFILE"
"94120809508021","Nodes","9508021",21.000000,29.108253,"DDS demands","Known Flow",551881.595000,103023.590000,,0.000000,,,,-10.140000,-9.067369,-10.140000,,"",,,,"D1 PROFILE"
"94120809508044","Nodes","9508044",21.000000,23.843345,"Default Known Flow Node","Known Flow",551982.595000,103287.472812,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94120809508043","Nodes","9508043",21.000000,23.845314,"DDS demands","Known Flow",551985.595000,103274.722812,,0.000000,,,,-6.329999,-5.660399,-6.329999,,"",,,,"D1 PROFILE"
"94120809508074","Nodes","9508074",21.000000,23.831885,"Default Known Flow Node","Known Flow",551991.220000,103292.222812,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94120809508067","Nodes","9508067",21.000000,30.111428,"Default Known Flow Node","Known Flow",551860.970000,103009.472812,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94120809508091","Nodes","9508091",21.000000,29.982078,"DDS demands","Known Flow",551860.220000,102934.972812,,0.000000,,,,-6.989999,-6.250582,-6.989999,,"",,,,"D1 PROFILE"
"94120809508093","Nodes","9508093",21.000000,28.437452,"DDS demands","Known Flow",551936.970000,102948.840000,,0.000000,,,,-6.599999,-5.901837,-6.599999,,"",,,,"D1 PROFILE"
"94120809508092","Nodes","9508092",21.000000,24.360231,"DDS demands","Known Flow",551882.845000,103349.340000,,0.000000,,,,-7.050000,-6.304236,-7.050000,,"",,,,"D1 PROFILE"
"94120809508095","Nodes","9508095",21.000000,23.816705,"DDS demands","Known Flow",551944.595000,103264.590000,,0.000000,,,,-6.789999,-6.071739,-6.789999,,"",,,,"D1 PROFILE"
"94120809508034","Nodes","9508034",21.000000,22.293051,"DDS demands","Known Flow",552096.970000,103067.590000,,0.000000,0.000000,,,,0.000000,0.000000,,"","C1 PROFILE",,,
"94120809508018","Nodes","9508018",21.000000,24.410942,"DDS demands","Known Flow",552047.970000,103113.590000,,0.000000,,-44.369997,-9.050000,-9.710000,-56.451975,-63.129999,,"",,"C3  PROFILE","C4 PROFILE","D1 PROFILE"
"94120809508042","Nodes","9508042",21.000000,23.880888,"Default Known Flow Node","Known Flow",552006.220000,103230.090000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94120809508080","Nodes","9508080",21.000000,24.411766,"DDS demands","Known Flow",552050.345000,103103.590000,,0.000000,,,-6.110000,-12.720000,-16.838124,-18.830001,,"",,,"C4 PROFILE","D1 PROFILE"
"94120809508085","Nodes","9508085",21.000000,23.632478,"Default Known Flow Node","Known Flow",552161.470000,103180.722812,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94120809508084","Nodes","9508084",21.000000,23.806844,"Default Known Flow Node","Known Flow",552123.720000,103173.222812,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94120809508045","Nodes","9508045",21.000000,23.115912,"DDS demands","Known Flow",552025.220000,103363.472812,,0.000000,,,,-2.929999,-2.620058,-2.929999,,"",,,,"D1 PROFILE"
"94120809508077","Nodes","9508077",21.000000,23.055295,"Default Known Flow Node","Known Flow",552039.345000,103405.590000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94120809508076","Nodes","9508076",21.000000,23.102899,"Default Known Flow Node","Known Flow",552032.095000,103360.090000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94120809508081","Nodes","9508081",21.000000,22.938145,"DDS demands","Known Flow",552057.845000,103322.222812,,0.000000,,,,-5.110000,-4.569453,-5.110000,,"",,,,"D1 PROFILE"
"94120809508083","Nodes","9508083",21.000000,23.146582,"Default Known Flow Node","Known Flow",552111.720000,103388.590000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94120809508037","Nodes","9508037",21.000000,24.037951,"Default Known Flow Node","Known Flow",552040.720000,103154.222812,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94120809508038","Nodes","9508038",21.000000,24.029672,"Default Known Flow Node","Known Flow",552040.220000,103157.590000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94120809508040","Nodes","9508040",21.000000,23.527950,"DDS demands","Known Flow",552078.845000,103302.090000,,0.000000,,,,-8.739999,-7.815464,-8.739999,,"",,,,"D1 PROFILE"
"94120809508086","Nodes","9508086",21.000000,23.072675,"DDS demands","Known Flow",552181.220000,103397.972812,,0.000000,,,,-3.110000,-2.781017,-3.110000,,"",,,,"D1 PROFILE"
"94120809508078","Nodes","9508078",21.000000,24.020245,"DDS demands","Known Flow",552039.595000,103162.722812,,0.000000,,,,-3.410000,-3.049283,-3.410000,,"",,,,"D1 PROFILE"
"94120809508036","Nodes","9508036",21.000000,21.978622,"DDS demands","Known Flow",552159.345000,103102.090000,,0.000000,,,,-5.039999,-4.506857,-5.039999,,"",,,,"D1 PROFILE"
"94120809508035","Nodes","9508035",21.000000,21.395088,"DDS demands","Known Flow",552145.095000,103029.222812,,0.000000,-15.999999,,,,-14.307486,-15.999999,,"","C1 PROFILE",,,
"94120809508096","Nodes","9508096",21.000000,23.856598,"DDS demands","Known Flow",551957.595000,103210.090000,,0.000000,,,,-8.199999,-7.332586,-8.199999,,"",,,,"D1 PROFILE"
"94120809508046","Nodes","9508046",21.000000,23.024060,"DDS demands","Known Flow",552069.720000,103505.840000,,0.000000,,,-15.560000,-6.110000,-19.377703,-21.670001,,"",,,"C4 PROFILE","D1 PROFILE"
"94120809508041","Nodes","9508041",21.000000,23.113023,"DDS demands","Known Flow",552206.220000,103506.472812,,0.000000,,,,-3.400000,-3.040340,-3.400000,,"",,,,"D1 PROFILE"
"94120809508100","Nodes","9508100",21.000000,25.622553,"Default Known Flow Node","Known Flow",551808.720000,103212.972812,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94120809508099","Nodes","9508099",21.000000,25.616927,"Default Known Flow Node","Known Flow",551799.595000,103211.340000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94120809508098","Nodes","9508098",21.000000,25.763471,"DDS demands","Known Flow",551754.595000,103203.090000,,0.000000,,,,-2.949999,-2.637942,-2.949999,,"",,,,"D1 PROFILE"
"94120809508097","Nodes","9508097",21.000000,24.029066,"DDS demands","Known Flow",552032.220000,103156.722812,,0.000000,,,-5.810000,,-5.195405,-5.810000,,"",,,"C4 PROFILE",
"94120809508057","Nodes","9508057",21.000000,23.240724,"Default Known Flow Node","Known Flow",552022.845000,103359.027500,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94120809508058","Nodes","9508058",21.000000,26.138170,"Default Known Flow Node","Known Flow",551931.220000,103103.472812,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94120809508051","Nodes","9508051",21.000000,25.798744,"Default Known Flow Node","Known Flow",551893.470000,103176.090000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94120809508053","Nodes","9508053",21.000000,25.530122,"Default Known Flow Node","Known Flow",551806.345000,103224.722812,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94120809508052","Nodes","9508052",21.000000,25.798767,"DDS demands","Known Flow",551908.845000,103141.840000,,0.000000,,,,-4.079999,-3.648408,-4.079999,,"",,,,"D1 PROFILE"
"94120809508054","Nodes","9508054",21.000000,25.374338,"DDS demands","Known Flow",551833.720000,103229.590000,,0.000000,,,,-6.409999,-5.731936,-6.409999,,"",,,,"D1 PROFILE"
"94120809508059","Nodes","9508059",21.000000,25.924471,"DDS demands","Known Flow",551931.470000,103207.090000,,0.000000,,,,-3.270000,-2.924092,-3.270000,,"",,,,"D1 PROFILE"
"94120809508056","Nodes","9508056",21.000000,23.236551,"Default Known Flow Node","Known Flow",552018.970000,103359.340000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94120809508055","Nodes","9508055",21.000000,23.316978,"DDS demands","Known Flow",551982.095000,103378.340000,,0.000000,,,,-3.859999,-3.451680,-3.859999,,"",,,,"D1 PROFILE"
"94120809508050","Nodes","9508050",21.000000,24.950487,"Default Known Flow Node","Known Flow",551925.657500,103416.043125,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94120809508048","Nodes","9508048",21.000000,25.443324,"DDS demands","Known Flow",551878.970000,103527.222812,,0.000000,,,,-2.970000,-2.655827,-2.970000,,"",,,,"D1 PROFILE"
