"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"94119901462545","Nodes","1462545",21.000000,30.862791,"Default Known Flow Node","Known Flow",560921.168788,101790.304908,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"94119909404207","Nodes","9404207",21.000000,30.862791,"Default Known Flow Node","Known Flow",560919.168787,101797.429910,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"94119900000309","Nodes","309",21.000000,30.979132,"Default Known Flow Node","Known Flow",561012.293813,102744.180168,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"94119900007225","Nodes","Logger 7225, 93 The Hydneye",21.000000,31.848291,"Val Log Cath","Known Flow",561003.560587,102733.355889,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"94119909404173","Nodes","9404173",21.000000,33.641439,"DDS demands","Known Flow",561017.668814,102708.930158,,0.000000,,,,,,-13.600000,,,,,,-12.161363,-13.600000,,"",,,,,,"D1 PROFILE",,,,,
"94119909904233","Nodes","9904233",21.000000,27.607071,"Default Known Flow Node","Known Flow",560765.543745,102200.430020,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"94119900007224","Nodes","Logger 7224, 38 Brampton Road",21.000000,28.274786,"Val Log Cath","Known Flow",560836.689388,102053.176688,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"94119909404218","Nodes","9404218",21.000000,35.016717,"DDS demands","Known Flow",561086.918198,101944.190359,,0.000000,-12.199999,,,,,,,,,,,-10.909458,-12.199999,,"","C1 PROFILE",,,,,,,,,,
"94119909404219","Nodes","9404219",21.000000,35.781636,"Default Known Flow Node","Known Flow",561112.800404,101979.596944,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"94119909404361","Nodes","9404361",21.000000,36.683150,"DDS demands","Known Flow",561142.543848,102021.929971,,0.000000,,,,,,,,-16.020000,,,,-14.325371,-16.020000,,"",,,,,,,,"I2 PROFILE",,,
"94119900000267","Nodes","267",21.000000,27.335700,"DDS demands","Known Flow",560739.793738,102619.555134,,0.000000,,,,,,-6.020000,,,,,,-5.383191,-6.020000,,"",,,,,,"D1 PROFILE",,,,,
"94119909404131","Nodes","9404131",21.000000,27.032190,"DDS demands","Known Flow",560616.419758,102770.860617,,0.000000,,,,,,-16.860000,,,,,,-15.076514,-16.860000,,"",,,,,,"D1 PROFILE",,,,,
"94119909404132","Nodes","9404132",21.000000,26.937564,"DDS demands","Known Flow",560569.793692,102982.180232,,0.000000,,,,,,-16.729999,,,,,,-14.960265,-16.729999,,"",,,,,,"D1 PROFILE",,,,,
"94119909404288","Nodes","9404288",21.000000,31.451797,"DDS demands","Known Flow",560926.918789,101828.054918,,0.000000,,,,,,,,-65.760002,,,,-58.803772,-65.760002,,"",,,,,,,,"I2 PROFILE",,,
"94119900000027","Nodes","27",21.000000,31.527968,"Default Known Flow Node","Known Flow",560930.793790,101826.179918,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"94119909404206","Nodes","9404206,",21.000000,30.862791,"DDS demands","Known Flow",560927.918790,101800.554911,,0.000000,,,,-13.839999,,,,-45.660001,,,,-53.205967,-59.500000,,"",,,,"C4 PROFILE",,,,"I2 PROFILE",,,
"94119909404296","Nodes","9404296",21.000000,30.239010,"DDS demands","Known Flow",560888.793779,101898.929938,,0.000000,,,,,,,,-0.440000,,,,-0.393455,-0.440000,,"",,,,,,,,"I2 PROFILE",,,
"94119904904573","Nodes","4904573",21.000000,29.235284,"Default Known Flow Node","Known Flow",560861.166284,101993.310569,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
