"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"94117908306042","Nodes","8306042","21.000000","32.791977","DDS demands","Known Flow","513096.800000","116019.082812","","0.000000","","","","-19.180000","","","","","","-17.151099","-19.180000","","","","","","D1 PROFILE","","","","",""
"94117908306043","Nodes","8306043","21.000000","32.710597","DDS demands","Known Flow","513157.175000","116011.700000","","0.000000","","","","-3.859999","","","","","","-3.451680","-3.859999","","","","","","D1 PROFILE","","","","",""
"94117908306036","Nodes","8306036","21.000000","33.524139","DDS demands","Known Flow","513112.800000","116148.582812","","0.000000","","","","-8.779999","","","","","","-7.851233","-8.779999","","","","","","D1 PROFILE","","","","",""
"94117908306074","Nodes","-249812","21.000000","33.517228","DDS demands","Known Flow","513124.300000","116176.582812","","0.000000","","","","-8.090000","","","","","","-7.234223","-8.090000","","","","","","D1 PROFILE","","","","",""
"94117908306077","Nodes","-249818","21.000000","34.016727","Default Known Flow Node","Known Flow","513175.925000","116227.450000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"94117908306014","Nodes","8306014","21.000000","33.801045","DDS demands","Known Flow","513150.675000","116145.700000","","0.000000","","","","-4.239999","","","","","","-3.791483","-4.239999","","","","","","D1 PROFILE","","","","",""
"94117908306075","Nodes","-249815","21.000000","32.520540","DDS demands","Known Flow","513156.175000","116055.332812","","0.000000","","","","-8.270000","","","","","","-7.395182","-8.270000","","","","","","D1 PROFILE","","","","",""
"94117908306030","Nodes","8306030","21.000000","34.872014","Default Known Flow Node","Known Flow","513209.675000","116266.200000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"94117908306076","Nodes","-249817","21.000000","34.754397","DDS demands","Known Flow","513157.800000","116276.832812","","0.000000","","","","-7.210000","","","","","","-6.447311","-7.210000","","","","","","D1 PROFILE","","","","",""
"94117908306079","Nodes","-249821","21.000000","34.199156","Default Known Flow Node","Known Flow","513218.050000","116132.950000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"94117908306096","Nodes","-259392","21.000000","34.087260","DDS demands","Known Flow","513223.050000","116119.832812","","0.000000","","","","-4.709999","","","","","","-4.211766","-4.709999","","","","","","D1 PROFILE","","","","",""
"94117908306029","Nodes","8306029","21.000000","34.445140","DDS demands","Known Flow","513255.050000","116356.082812","","0.000000","","","","-1.809999","","","","","","-1.618534","-1.809999","","","","","","D1 PROFILE","","","","",""
"94117908306032","Nodes","8306032","21.000000","30.133521","DDS demands","Known Flow","513096.550000","116377.582812","","0.000000","","","","-11.069999","","","","","","-9.898992","-11.069999","","","","","","D1 PROFILE","","","","",""
"94117908306031","Nodes","8306031","21.000000","30.803687","DDS demands","Known Flow","513136.800000","116372.950000","","0.000000","","","","-6.099999","","","","","","-5.454729","-6.099999","","","","","","D1 PROFILE","","","","",""
"94117908306033","Nodes","8306033","21.000000","29.809713","DDS demands","Known Flow","513104.675000","116488.082812","","0.000000","","","","-11.929999","","","","","","-10.668019","-11.929999","","","","","","D1 PROFILE","","","","",""
"94117908306093","Nodes","-259388","21.000000","30.672677","DDS demands","Known Flow","513145.425000","116332.450000","","0.000000","","","","-6.329999","","","","","","-5.660399","-6.329999","","","","","","D1 PROFILE","","","","",""
"94117908306027","Nodes","8306027","21.000000","31.915581","DDS demands","Known Flow","513147.175000","116451.200000","","0.000000","","","","-9.130000","","","","","","-8.164209","-9.130000","","","","","","D1 PROFILE","","","","",""
"94117908306023","Nodes","P107894/01, Billingshurst Road, -24.46scmh","24.000000","31.926712","CSEP DDS Matched","Known Flow","513259.031991","116669.721497","","0.000000","","","","","-24.459999","","","","","-21.872570","-24.459999","","","","","","","DC PROFILE","","","",""
"94117908306024","Nodes","8306024","21.000000","32.454978","DDS demands","Known Flow","513320.050000","116478.950000","","0.000000","","","","-3.000000","","","","","","-2.682653","-3.000000","","","","","","D1 PROFILE","","","","",""
"94117908306025","Nodes","8306025","21.000000","32.477566","DDS demands","Known Flow","513351.800000","116375.332812","","0.000000","","","","-1.779999","","","","","","-1.591707","-1.779999","","","","","","D1 PROFILE","","","","",""
"94117908306098","Nodes","-271306","21.000000","27.257496","DDS demands","Known Flow","513036.050000","116271.082812","","0.000000","","","","-3.950000","","","","","","-3.532160","-3.950000","","","","","","D1 PROFILE","","","","",""
"94117908306099","Nodes","-271308","21.000000","26.863218","DDS demands","Known Flow","513048.425000","116200.950000","","0.000000","","","","-3.739999","","","","","","-3.344374","-3.739999","","","","","","D1 PROFILE","","","","",""
"94117908306100","Nodes","-271309","21.000000","29.550756","DDS demands","Known Flow","513054.425000","116470.700000","","0.000000","","","","-1.820000","","","","","","-1.627476","-1.820000","","","","","","D1 PROFILE","","","","",""
"94117908306021","Nodes","8306021","21.000000","32.350066","DDS demands","Known Flow","513255.675000","116500.582812","","0.000000","","","","-2.599999","","","","","","-2.324966","-2.599999","","","","","","D1 PROFILE","","","","",""
"94117908306020","Nodes","8306020","21.000000","32.030146","Default Known Flow Node","Known Flow","513260.425000","116604.582812","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"94117908306095","Nodes","-259391","21.000000","32.234687","DDS demands","Known Flow","513179.550000","116497.332812","","0.000000","","","","-3.380000","","","","","","-3.022456","-3.380000","","","","","","D1 PROFILE","","","","",""
"94117908306019","Nodes","8306019","21.000000","31.895440","DDS demands","Known Flow","513249.675000","116762.832812","","0.000000","","","","-5.260000","","","","","","-4.703586","-5.260000","","","","","","D1 PROFILE","","","","",""
"94117908306094","Nodes","-259390","21.000000","31.938663","DDS demands","Known Flow","513178.925000","116616.082812","","0.000000","","","","-0.910000","","","","","","-0.813738","-0.910000","","","","","","D1 PROFILE","","","","",""
"94117908306110","Nodes","-472825","21.000000","32.268390","Default Known Flow Node","Known Flow","513206.925000","115832.950000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"94117908306111","Nodes","-472826","21.000000","32.220764","DDS demands","Known Flow","513272.300000","115826.332812","","0.000000","","","","-0.970000","","","","","","-0.867391","-0.970000","","","","","","D1 PROFILE","","","","",""
"94117908306068","Nodes","-170428","21.000000","28.272320","Default Known Flow Node","Known Flow","512919.300000","116412.332812","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"94117908306067","Nodes","-1024079","21.000000","28.315834","DDS demands","Known Flow","512925.175000","116410.950000","","0.000000","","","","-4.249999","","","","","","-3.800425","-4.249999","","","","","","D1 PROFILE","","","","",""
"94117908306066","Nodes","P11127547, CSEP, RECTORY LANE, -35.72 SCMH","24.000000","28.227718","CSEP Unmatched","Known Flow","512923.425000","116403.700000","","0.000000","","","","","","","","","-35.720001","-31.941465","-35.720001","","","","","","","","","","","PL-DC PROFILE"
"94117908306063","Nodes","P00059229, SEP00347, MEIROS FARM, 203.91","27.000000","28.026305","CSEP DDS Matched","Known Flow","512882.300000","116407.582812","","0.000000","","","-38.769999","","-165.140004","","","","","-182.339969","-203.909999","","","","","CC PROFILE","","DC PROFILE","","","",""
"94117908306114","Nodes","-498467","21.000000","29.562059","Default Known Flow Node","Known Flow","513121.425000","116574.082812","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"94117908306118","Nodes","-498471","21.000000","32.425909","DDS demands","Known Flow","513341.675000","116507.832812","","0.000000","","","","-3.180000","","","","","","-2.843613","-3.180000","","","","","","D1 PROFILE","","","","",""
"94117908306115","Nodes","-498468","21.000000","29.517525","Default Known Flow Node","Known Flow","513121.925000","116576.200000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"94117908306112","Nodes","-498465","21.000000","29.492077","DDS demands","Known Flow","513115.300000","116590.200000","","0.000000","","","","-4.800000","","","","","","-4.292246","-4.800000","","","","","","D1 PROFILE","","","","",""
"94117908306116","Nodes","-498469","21.000000","29.543755","Default Known Flow Node","Known Flow","513126.800000","116575.450000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
