"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"94103202604243","Nodes","2604243","21.000000","29.335865","DDS demands","Known Flow","496959.270000","142867.195000","","0.000000","","","","","","","-9.159999","","","","","","","-8.191036","-9.159999","","","","","","","","","D1 PROFILE","","","","","",""
"94103202604293","Nodes","2604293","21.000000","29.988382","DDS demands","Known Flow","497057.988750","142881.538750","","0.000000","","","","","","","-16.940001","","","","","","","-15.148052","-16.940001","","","","","","","","","D1 PROFILE","","","","","",""
"94103200001652","Nodes","1652","21.000000","37.708588","Default Known Flow Node","Known Flow","497436.827284","144302.024553","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"94103200057261","Nodes","Logger 519","21.000000","37.704882","Val Log Post","Known Flow","497376.471920","144164.453419","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"94103200000259","Nodes","259","21.000000","40.537059","Default Known Flow Node","Known Flow","494829.895000","137508.695000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"94103202604154","Nodes","2604154, P00002074, ""COMBE LANE WORMLEY"", 48.73","23.250000","40.515455","CSEP DDS Matched","Known Flow","494879.020000","137542.960625","","0.000000","","","","","","","","-48.730001","","","","","","-43.575240","-48.730001","","","","","","","","","","DC PROFILE","","","","",""
"94103200000260","Nodes","260","21.000000","40.646797","Default Known Flow Node","Known Flow","494925.770000","137556.445000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"94103202604178","Nodes","2604178, P00061549, ""COMBE LANE WORMLEY"",9.92","22.999998","43.542057","CSEP DDS Matched","Known Flow","494952.850756","137953.652124","","0.000000","","","","","","","","-6.919999","","","","","","-6.187987","-6.919999","","","","","","","","","","DC PROFILE","","","","",""
"94103202604019","Nodes","2604019","21.000000","39.735872","Default Known Flow Node","Known Flow","493141.895000","140006.570000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"94103202604018","Nodes","2604018","21.000000","39.671376","Default Known Flow Node","Known Flow","493264.051250","140257.116875","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
